alter_cost,multiplier,priority_col,type,assembly,item_code1,item_code2,period,plant
-1,1,2,alternate,1970,4525,4505,1,16
-1,1,2,alternate,2689,4525,4505,1,16
-1,1,2,alternate,2870,4525,4505,1,16
5,1,1,alternate,1970,4514,4511,1,16
5,1,1,alternate,2689,4514,4511,1,16
5,1,1,alternate,2870,4514,4511,1,16
5,1,1,alternate,2871,4472,4471,1,16
-1,1,2,alternate,1970,4525,4505,2,16
-1,1,2,alternate,2689,4525,4505,2,16
-1,1,2,alternate,2870,4525,4505,2,16
5,1,1,alternate,1970,4514,4511,2,16
5,1,1,alternate,2689,4514,4511,2,16
5,1,1,alternate,2870,4514,4511,2,16
5,1,1,alternate,2871,4472,4471,2,16
-1,1,2,alternate,1970,4525,4505,3,16
-1,1,2,alternate,2689,4525,4505,3,16
-1,1,2,alternate,2870,4525,4505,3,16
5,1,1,alternate,1970,4514,4511,3,16
5,1,1,alternate,2689,4514,4511,3,16
5,1,1,alternate,2870,4514,4511,3,16
5,1,1,alternate,2871,4472,4471,3,16
-1,1,2,alternate,1970,4525,4505,4,16
-1,1,2,alternate,2689,4525,4505,4,16
-1,1,2,alternate,2870,4525,4505,4,16
5,1,1,alternate,1970,4514,4511,4,16
5,1,1,alternate,2689,4514,4511,4,16
5,1,1,alternate,2870,4514,4511,4,16
5,1,1,alternate,2871,4472,4471,4,16
-1,1,2,alternate,1970,4525,4505,5,16
-1,1,2,alternate,2689,4525,4505,5,16
-1,1,2,alternate,2870,4525,4505,5,16
5,1,1,alternate,1970,4514,4511,5,16
5,1,1,alternate,2689,4514,4511,5,16
5,1,1,alternate,2870,4514,4511,5,16
5,1,1,alternate,2871,4472,4471,5,16
-1,1,2,alternate,1970,4525,4505,6,16
-1,1,2,alternate,2689,4525,4505,6,16
-1,1,2,alternate,2870,4525,4505,6,16
5,1,1,alternate,1970,4514,4511,6,16
5,1,1,alternate,2689,4514,4511,6,16
5,1,1,alternate,2870,4514,4511,6,16
5,1,1,alternate,2871,4472,4471,6,16
-1,1,2,alternate,1970,4525,4505,7,16
-1,1,2,alternate,2689,4525,4505,7,16
-1,1,2,alternate,2870,4525,4505,7,16
5,1,1,alternate,1970,4514,4511,7,16
5,1,1,alternate,2689,4514,4511,7,16
5,1,1,alternate,2870,4514,4511,7,16
5,1,1,alternate,2871,4472,4471,7,16
-1,1,2,alternate,1970,4525,4505,8,16
-1,1,2,alternate,2689,4525,4505,8,16
-1,1,2,alternate,2870,4525,4505,8,16
5,1,1,alternate,1970,4514,4511,8,16
5,1,1,alternate,2689,4514,4511,8,16
5,1,1,alternate,2870,4514,4511,8,16
5,1,1,alternate,2871,4472,4471,8,16
-1,1,2,alternate,1970,4525,4505,9,16
-1,1,2,alternate,2689,4525,4505,9,16
-1,1,2,alternate,2870,4525,4505,9,16
5,1,1,alternate,1970,4514,4511,9,16
5,1,1,alternate,2689,4514,4511,9,16
5,1,1,alternate,2870,4514,4511,9,16
5,1,1,alternate,2871,4472,4471,9,16
-1,1,2,alternate,1970,4525,4505,10,16
-1,1,2,alternate,2689,4525,4505,10,16
-1,1,2,alternate,2870,4525,4505,10,16
5,1,1,alternate,1970,4514,4511,10,16
5,1,1,alternate,2689,4514,4511,10,16
5,1,1,alternate,2870,4514,4511,10,16
5,1,1,alternate,2871,4472,4471,10,16
-1,1,2,alternate,1970,4525,4505,11,16
-1,1,2,alternate,2689,4525,4505,11,16
-1,1,2,alternate,2870,4525,4505,11,16
5,1,1,alternate,1970,4514,4511,11,16
5,1,1,alternate,2689,4514,4511,11,16
