bucket,order_demand,forecast_demand_with_fr,item_code,period
0,4344,0,64,27
7,180,0,199,26
6,730,0,253,2
7,97,0,253,16
8,8,0,253,27
6,2350,0,273,3
6,100,0,279,17
7,500,0,279,21
6,2060,0,281,2
7,1494,0,281,16
8,743,0,281,28
16,2040,0,322,29
6,1900,0,326,14
7,80,0,326,21
0,75,0,4165,1
0,709,200,4165,2
0,64,0,4165,3
0,5,0,4165,6
0,3860,0,4165,7
0,205,0,4165,8
0,2,0,4165,9
0,4,0,4165,10
0,1,0,4165,11
0,345,0,4165,13
0,669,0,4165,14
0,92,0,4165,15
0,518,0,4165,16
0,2,0,4165,17
0,8,0,4165,19
0,984,0,4165,20
0,152,130,4165,21
0,19,0,4165,22
0,23,0,4165,23
0,25,20,4165,24
0,9,0,4165,26
0,500,0,4165,27
0,137,0,4165,28
0,6,0,4165,29
0,4463,1686,4165,30
0,1,0,4166,4
0,2,0,4166,7
0,503,0,4166,8
0,277,0,4166,9
0,25,0,4166,10
0,150,0,4166,12
0,2,0,4166,14
0,620,0,4166,15
0,5,0,4166,16
0,4,0,4166,17
0,1,0,4166,20
0,117,0,4166,21
0,14,0,4166,22
0,12,0,4166,29
0,315,0,4166,30
0,1669,0,4167,1
0,538,0,4167,2
0,4,0,4167,3
0,238,0,4167,7
0,621,0,4167,8
0,11,0,4167,9
0,6,0,4167,12
0,398,0,4167,13
0,249,0,4167,14
0,4,0,4167,15
0,2,0,4167,17
0,641,5,4167,20
0,157,0,4167,21
0,42,0,4167,22
0,12,0,4167,26
0,513,0,4167,28
0,58,0,4167,29
0,640,0,4167,30
0,56,0,4168,2
0,55000,78,4175,6
0,30000,0,4175,15
0,660000,741,4175,17
0,200000,735,4175,19
0,5000,1254,4179,1
0,3000000,372925,4181,1
0,130000,63095,4181,4
0,40000,9647,4181,6
0,130000,5502,4181,7
0,170000,376077,4181,9
0,30000,368117,4181,10
0,50000,367037,4181,11
0,6,367316,4181,13
0,20000,0,4181,15
0,440000,368555,4181,17
0,120000,369877,4181,19
0,721000,199897,4182,1
0,50000,51532,4182,2
0,100000,44299,4182,4
0,90000,34729,4182,6
0,100000,2313,4182,7
0,10000,325,4182,8
0,50000,135920,4182,9
0,20000,126295,4182,10
0,50000,126914,4182,11
0,40000,0,4182,15
0,880000,126397,4182,17
0,240000,126299,4182,19
0,60000,130391,4182,23
0,1000000,84855,4183,1
0,50000,3824,4183,2
0,50000,16994,4183,4
0,90000,3277,4183,6
0,60000,92181,4183,9
0,10000,88773,4183,10
0,12,85005,4183,13
0,50000,0,4183,15
0,40000,85076,4183,16
0,940000,85258,4183,17
0,250000,85461,4183,19
0,10000,85158,4183,23
0,80000,5645,4184,1
0,5000,180,4184,3
0,10000,48106,4184,11
0,2448386,776115,4186,1
0,190000,27504,4186,2
0,40000,146128,4186,4
0,50000,48865,4186,6
0,90000,13185,4186,7
0,40000,208512,4186,11
0,30000,0,4186,15
0,440000,210014,4186,17
0,860000,51044,4188,1
0,10000,44693,4188,9
0,600000,38328,4189,1
0,50000,9783,4189,6
0,30000,0,4189,15
0,500000,106634,4189,17
0,50000,106584,4189,23
0,950000,0,4191,10
0,1000000,0,4191,15
0,20000,0,4200,6
0,10000,0,4200,15
0,220000,0,4200,17
0,500000,278832,4221,1
0,160000,37606,4221,4
0,170000,21997,4221,6
0,160000,4194,4221,7
0,100000,130839,4221,9
0,50000,121629,4221,10
0,10000,121078,4221,11
0,10012,121058,4221,13
0,90000,0,4221,15
0,1650000,122001,4221,17
0,40000,121283,4221,23
0,30000,21,4222,6
0,10000,0,4222,15
0,280000,0,4222,17
0,50000,1190,4229,6
0,10000,17041,4229,9
0,20000,0,4229,15
0,440000,13049,4229,17
0,10000,13298,4229,23
0,20000,11628,4231,2
0,24000,14190,4231,8
0,20000,4740,4233,1
0,10000,719,4233,6
0,10000,0,4233,15
0,50000,15051,4233,17
0,10000,15044,4233,19
0,3200000,492981,4242,1
0,410000,33787,4242,2
0,5000,832,4242,8
0,210000,303595,4242,12
0,30000,254530,4242,13
0,40000,252373,4242,17
0,1200,2453,4243,9
0,5000,604,4244,2
0,10000,600,4244,8
0,5000,80,4244,11
0,5000,1750,4244,13
0,10000,7150,4245,2
0,29750,630,4245,8
0,312,1950,4245,11
0,10000,5762,4245,13
0,600,2280,4245,21
0,50000,7418,4246,2
0,14800,2670,4246,8
0,10000,11064,4246,9
0,2600,1698,4246,11
0,10000,1822,4246,13
0,5000,3700,4246,21
0,140000,16896,4247,1
0,10000,4367,4247,2
0,10000,663,4247,3
0,10000,5853,4247,11
0,30000,6111,4247,13
0,10000,0,4247,15
0,55000,5769,4247,17
0,35000,6559,4247,19
0,10000,200,4248,9
0,10000,360,4248,11
0,10000,1190,4248,13
0,5798000,2249898,4251,1
0,1710000,129235,4251,2
0,41500,47520,4251,8
0,10000,111229,4251,9
0,6552,8647,4251,11
0,10000,60510,4251,13
0,12600,63520,4251,21
0,27,660,4252,1
0,5000,0,4252,11
0,20000,13480,4254,1
0,60000,353,4254,2
0,10000,1934,4254,3
0,10000,9777,4254,4
0,10000,225,4254,7
0,27000,1971,4254,12
0,22000,0,4254,15
0,10000,1800,4254,16
0,26000,1611,4254,17
0,10450,660,4255,8
0,10000,2554,4255,9
0,520,40,4255,11
0,10000,2381,4255,13
0,1000,0,4255,21
0,1875326,879814,4257,1
0,10000,59849,4257,2
0,53700,38890,4257,8
0,14768,3557,4257,11
0,20000,30197,4257,13
0,28400,66660,4257,21
0,10000,952,4259,11
0,20000,880,4259,17
0,10000,1125,4259,19
0,10000,0,4260,2
0,10000,200,4260,8
0,10000,0,4260,11
0,130000,737,4262,2
0,10000,2803,4262,4
0,20000,1779,4262,11
0,25000,2075,4262,12
0,60000,1740,4262,17
0,55000,1915,4262,19
0,21688,120,4263,8
0,312,0,4263,11
0,2000,818,4263,13
0,10000,29857,4264,2
0,24050,10660,4264,8
0,5408,18107,4264,11
0,10000,16587,4264,13
0,10400,5290,4264,21
0,10000,33447,4265,2
0,26000,14450,4265,8
0,7488,10761,4265,11
0,10000,14469,4265,13
0,14400,28140,4265,21
0,2420000,584859,4266,1
0,1000000,25463,4266,2
0,130000,68173,4266,3
0,130000,40989,4266,7
0,50000,193923,4266,11
0,20000,0,4266,15
0,20000,190351,4266,16
0,530000,188443,4266,17
0,440000,206932,4266,19
0,10000,79000,4267,2
0,43800,23520,4267,8
0,11960,11126,4267,11
0,20000,41901,4267,13
0,23000,33920,4267,21
0,16200,16870,4268,8
0,832,4079,4268,11
0,2000,7711,4268,13
0,1600,41040,4268,21
0,10000,30,4270,8
0,10000,0,4270,11
0,10000,204,4270,13
0,10000,16281,4271,1
0,10000,310,4271,7
0,10000,4274,4271,11
0,35000,5196,4271,12
0,30000,0,4271,15
0,205000,4298,4271,17
0,220000,6856,4271,19
0,12000,230,4272,8
0,104,895,4272,11
0,200,0,4272,21
0,60000,0,4276,17
0,10000,0,4276,19
0,10000,0,4282,6
0,10000,0,4282,15
0,170000,0,4282,17
0,40000,0,4282,19
0,12000,0,4289,11
0,20000,0,4289,15
0,12000,120,4289,19
0,48000,0,4289,22
0,1800,2768,4290,9
0,12000,1427,4290,11
0,800,1387,4290,13
0,28000,0,4290,15
0,32000,1387,4290,19
0,50000,126,4290,22
0,17000,0,4291,2
0,1672000,202266,4292,1
0,340000,10529,4292,2
0,80000,60653,4292,4
0,80000,14868,4292,7
0,10000,1391,4292,8
0,60000,206725,4292,9
0,70000,191725,4292,11
0,80000,189706,4292,13
0,10000,1092,4292,21
0,7000,0,4293,15
0,2250,340,4294,8
0,104,50,4294,11
0,10000,216,4294,12
0,10000,1604,4294,13
0,200,4070,4294,21
0,20000,17059,4295,1
0,16000,3500,4295,4
0,24000,960,4295,7
0,16000,0,4295,11
0,4000,1144,4295,12
0,16018,0,4295,13
0,16000,6,4295,17
0,8000,0,4295,19
0,4000,0,4295,21
0,2060500,170968,4296,1
0,750000,15972,4296,2
0,30000,43252,4296,4
0,30000,387,4296,7
0,30000,12206,4296,11
0,52000,15484,4296,12
0,30030,15660,4296,13
0,52000,0,4296,15
0,272000,12047,4296,17
0,192000,12905,4296,19
0,10000,2389,4297,2
0,10000,3220,4297,8
0,10000,3590,4297,11
0,10000,2695,4297,12
0,10000,1820,4297,13
0,310000,72309,4298,1
0,120000,8080,4298,2
0,40000,3399,4298,6
0,5000,63979,4298,11
0,80006,64248,4298,13
0,50000,64274,4298,16
0,380000,63885,4298,17
0,10000,0,4298,21
0,10000,80,4299,11
0,10000,80,4299,12
0,10000,1465,4299,13
0,200000,102150,4300,1
0,450000,6906,4300,2
0,80000,7868,4300,4
0,200000,0,4300,7
0,20000,293,4300,11
0,100000,1673,4300,16
0,20000,15355,4303,1
0,90000,170,4303,2
0,10000,2731,4303,4
0,10000,0,4303,7
0,30000,0,4303,11
0,10000,35,4303,16
0,10000,240,4304,2
0,20000,0,4304,8
0,10000,800,4304,11
0,10000,692,4304,13
0,1000000,81130,4308,1
0,10000,10264,4308,2
0,20000,130,4308,8
0,5212192,2599855,4309,1
0,1960000,115151,4309,2
0,430000,701420,4309,4
0,460000,70862,4309,7
0,65000,5135,4309,8
0,490000,587737,4309,9
0,220000,532106,4309,11
0,212000,588629,4309,12
0,10000,560845,4309,13
0,212000,0,4309,15
0,440000,559103,4309,16
0,520000,528680,4309,17
0,548000,559807,4309,19
0,304000,8022,4309,22
0,50000,530058,4309,23
0,30000,175848,4310,2
0,50000,66690,4310,8
0,40000,19538,4310,11
0,40000,118686,4310,13
0,70000,98200,4310,21
0,30,310340,4310,22
0,957000,173766,4311,1
0,16000,6154,4311,2
0,20000,151240,4311,4
0,16000,22105,4311,7
0,4000,299,4311,8
0,28000,125349,4311,9
0,148000,113179,4311,11
0,56000,120341,4311,12
0,4018,113668,4311,13
0,40000,0,4311,15
0,20000,114102,4311,16
0,152000,113267,4311,17
0,4000,609,4311,21
0,16000,114366,4311,23
0,10000,3146,4312,4
0,40000,252,4312,6
0,10000,1290,4312,16
0,440000,0,4312,17
0,4000,13350,4314,1
0,36000,74,4314,2
0,3000,0,4314,8
0,15000,0,4314,11
0,3006,0,4314,13
0,12000,0,4314,15
0,12000,395,4314,19
0,3000,14,4314,21
0,14000,16,4314,22
0,3000,2583,4315,2
0,3000,130,4315,8
0,3000,218,4315,13
0,58000,34271,4318,1
0,175000,3356,4318,2
0,4000,0,4318,11
0,66000,1845,4318,12
0,7000,0,4318,13
0,1000,0,4318,16
0,8000,0,4318,21
0,1802500,1549818,4321,1
0,593000,89711,4321,2
0,3000,20206,4321,8
0,30000,75601,4321,12
0,9000,75913,4321,13
0,60000,2204,4321,15
0,18000,51065,4321,16
0,150000,12281,4321,17
0,150000,147563,4321,19
0,92000,187656,4321,22
0,60000,0,4322,17
0,15000,53354,4326,1
0,15000,0,4328,6
0,105000,0,4328,17
0,60000,0,4329,17
0,2000,13175,4332,1
0,12000,89,4332,12
0,26000,0,4332,17
0,8000,0,4332,19
0,68800,18536,4333,1
0,26000,583,4333,2
0,10000,14900,4333,4
0,6000,466,4333,7
0,26000,0,4333,11
0,24000,1110,4333,12
0,10000,0,4333,13
0,12000,0,4333,15
0,10000,24,4333,16
0,144000,0,4333,17
0,96000,1206,4333,19
0,20000,3290,4333,22
0,30000,3768,4340,6
0,210000,0,4340,17
0,39421,2826,4348,6
0,66816,0,4348,22
0,220000,0,4351,17
0,195000,7536,4364,6
0,270000,0,4364,17
0,15000,4710,4365,6
0,120000,0,4365,17
0,50000,18900,4368,3
0,50000,2070,4368,7
0,100000,33947,4368,9
0,10000,29455,4368,10
0,30000,26624,4368,11
0,74000,14010,4369,2
0,4000,161382,4369,3
0,19000,9623,4369,9
0,1000,3899,4369,11
0,4000,7841,4369,13
0,30000,3768,4370,6
0,270000,0,4370,17
0,75000,320,4370,19
0,544000,256822,4373,1
0,84000,31890,4373,3
0,88000,12035,4373,7
0,24000,15497,4373,10
0,44000,10821,4373,11
0,32000,10725,4373,17
0,16000,51646,4373,19
0,60000,8,4378,6
0,30000,0,4378,15
0,660000,9281,4378,17
0,180000,11104,4378,19
0,560000,1142136,4379,1
0,220000,62688,4379,2
0,60000,0,4380,6
0,30000,0,4380,15
0,600000,0,4380,17
0,165000,0,4380,19
0,15000,0,4385,15
0,285000,0,4385,17
0,105000,0,4385,19
0,292,17501,4394,1
0,160000,0,4397,6
0,80000,0,4397,15
0,1480000,0,4397,17
0,410000,0,4397,19
0,200000,0,4398,6
0,1150000,0,4398,17
0,400000,0,4398,19
0,250000,0,4399,6
0,130000,0,4399,15
0,2420000,0,4399,17
0,660000,0,4399,19
0,124000,0,4400,6
0,68000,0,4400,15
0,1208000,0,4400,17
0,328000,0,4400,19
0,1070000,0,4401,10
0,1140000,0,4401,15
0,90000,0,4402,6
0,440000,0,4402,17
0,160000,0,4402,19
0,90000,24,4403,6
0,45000,0,4403,15
0,765000,0,4403,17
0,210000,0,4403,19
0,15000,0,4404,6
0,105000,0,4404,17
0,30000,0,4404,19
0,120000,0,4405,6
0,60000,0,4405,15
0,1150000,0,4405,17
0,310000,0,4405,19
0,1030000,0,4406,10
0,1110000,0,4406,15
0,225000,0,4408,6
0,120000,0,4408,15
0,2100000,0,4408,17
0,570000,0,4408,19
0,8000,91540,4409,1
0,384000,9162,4409,2
0,16000,2106,4409,3
0,52000,2023,4409,11
0,12000,3397,4409,12
0,24000,1200,4409,13
0,136000,0,4409,15
0,64000,809,4409,17
0,76000,2493,4409,19
0,8000,0,4409,21
0,248000,0,4409,22
0,200,867,4412,1
0,18000,0,4412,2
0,750,329,4416,9
0,1000,20,4418,11
0,1000,0,4418,12
0,1000,0,4418,13
0,1000,0,4418,21
0,502800,303218,4421,1
0,58000,11730,4421,2
0,8000,14391,4421,3
0,4000,16510,4421,6
0,4000,1230,4421,8
0,28000,55937,4421,9
0,14000,37317,4421,11
0,6000,43048,4421,12
0,8000,39267,4421,13
0,21000,520,4421,15
0,4000,46437,4421,16
0,64000,35946,4421,17
0,30000,62333,4421,19
0,28000,11951,4421,22
0,12000,37401,4421,23
0,12000,37044,4421,24
0,30000,0,4427,6
0,15000,0,4427,15
0,210000,0,4427,17
0,60000,0,4427,19
0,30000,2826,4443,6
0,15000,0,4443,15
0,210000,0,4443,17
0,60000,0,4443,19
0,15000,5652,4448,6
0,105000,0,4448,17
0,30000,0,4448,19
0,10000,0,4455,6
0,10000,0,4455,15
0,110000,0,4455,17
0,30000,0,4455,19
0,15000,0,4456,2
0,30000,3768,4457,6
0,15000,0,4457,15
0,210000,0,4457,17
0,60000,0,4457,19
0,21000,240,4460,1
0,1500,1000,4460,2
0,196500,0,4460,10
0,210000,0,4460,15
0,36000,613,4469,1
0,6000,10,4471,6
0,3000,0,4471,15
0,54000,149,4471,17
0,15000,219,4471,19
0,300,170,4472,7
0,200,0,4472,8
0,3000,0,4474,2
0,349,0,4474,6
0,110000,0,4474,17
0,46000,0,4474,19
0,200,0,4528,14
0,170000,7684,4535,2
0,120000,0,4535,10
0,120000,0,4535,15
0,200,6869,4543,1
0,9000,147,4543,2
0,620,214,4543,11
0,1200,246,4543,13
0,3000,4830,4547,3
0,1500,72,4551,3
0,2400,45,4551,7
0,600,3049,4551,9
0,1000,2383,4551,11
0,7501,19457,4552,1
0,9000,2064,4552,2
0,220,1051,4552,6
0,220,1128,4552,11
