qty,item_code,plant
2700,63,78
16782,64,78
1200,64,84
1800,64,131
1050,65,84
3400,67,78
4900,68,78
3000,72,78
3040,139,78
450,160,78
1190,253,78
2600,272,78
1600,272,84
2271,273,78
135,273,84
3720,281,78
3600,302,78
8500,455,78
5000,458,78
10000,459,78
4000,460,78
8680,461,78
11570,1448,16
2390,1448,78
5500,1486,78
1500,2689,78
1500,2870,78
5040,2871,78
2650,4165,16
8600,4165,78
2000,4166,16
3500,4166,78
3000,4166,84
6660,4167,78
4500,4168,84
12700,4169,78
4446,4170,78
11386,4173,78
9370,4173,84
13809,4175,16
985795,4175,78
178526,4176,78
63696,4178,78
4906,4179,16
149223,4179,78
143960,4181,16
39817505,4181,78
233020,4182,16
7032334,4182,78
145032,4183,16
15061471,4183,78
7283,4184,16
20493458,4184,78
13600,4184,84
50920,4186,16
4806143,4186,78
77114,4188,16
8182641,4188,78
233032,4189,16
6165406,4189,78
9250898,4191,78
79434,4193,78
608,4193,84
2641178,4194,78
7930,4194,84
7096,4195,16
413594,4195,78
7566,4195,84
4258,4196,78
6832,4196,84
2409792,4198,78
3346,4198,84
113788,4199,78
3978,4199,84
4047162,4200,78
53640,4200,84
9248,4202,78
3382014,4204,78
54000,4204,84
67450,4205,78
7440,4205,84
4048,4206,78
170048,4207,78
10786,4207,84
6890,4209,16
45782,4209,78
79362,4210,78
7804,4210,84
41814,4212,16
36924,4212,78
2055,4212,84
4874,4213,16
51410,4213,78
3840,4213,84
30608,4214,78
2200,4214,84
48998,4215,78
7440,4215,84
223756,4216,78
4122,4216,84
498955,4217,78
10246,4217,84
237598,4218,78
5668,4218,84
598458,4219,78
2786,4219,84
293852,4220,78
3516,4220,84
169236,4221,16
124172854,4221,78
5914496,4222,78
39028,4222,84
4634,4223,16
125702,4223,78
13468,4223,84
13000,4224,78
6590746,4225,78
12028,4225,84
346544,4226,78
30102,4226,84
4384238,4228,78
57128,4229,16
32020730,4229,78
33302,4229,84
63876,4230,78
14693036,4231,78
189168,4233,16
5422166,4233,78
98186,4238,78
9064,4238,84
412495390,4242,78
8967648,4243,78
1342424,4244,78
11150954,4245,78
22874272,4246,78
18966,4247,16
15500204,4247,78
3765658,4248,78
1872676,4249,78
9990,4249,84
4840554,4250,78
149075472,4251,78
3127638,4252,78
5514,4252,84
132682,4254,16
17079912,4254,78
1816974,4255,78
63741190,4257,78
69072,4258,16
1566530,4258,78
5536,4258,84
19920,4259,16
3446722,4259,78
12900,4259,84
1977044,4260,78
4802,4260,84
1435978,4261,78
33044,4262,16
9866132,4262,78
40982,4262,84
5421638,4263,78
18866,4263,84
56371624,4264,78
67733950,4265,78
8264,4266,16
303493998,4266,78
131687392,4267,78
27508972,4268,78
68810,4269,78
4796,4269,84
4144130,4270,78
20182,4271,16
9477118,4271,78
2051676,4272,78
16600,4272,84
194772,4273,16
2114904,4273,78
13936,4273,84
24282,4274,16
1545312,4274,78
27134,4274,84
7200,4275,16
136818,4275,78
7330,4275,84
9990,4276,16
262472,4276,78
31584,4276,84
12695950,4282,78
4720,4282,84
98934,4283,78
2676636,4284,78
3240,4284,84
209106,4285,16
4679758,4285,78
20318,4285,84
4024638,4289,78
21600,4290,16
21720254,4290,78
18012508,4291,78
5220,4291,84
225974,4292,16
296393104,4292,78
9380,4292,131
44244,4293,16
155120,4293,42
45413560,4293,78
3430,4293,84
3630,4293,131
4132964,4294,78
3846,4294,84
9762,4295,16
30518168,4295,78
286026,4296,16
6210,4296,42
149746462,4296,78
4784,4296,131
7749918,4297,78
13286,4298,42
149918008,4298,78
17751348,4299,78
5240,4299,84
31944,4300,16
112802898,4300,78
128172,4302,16
24150544,4302,78
13702,4302,84
7732,4303,16
40649028,4303,78
2640,4303,84
16493730,4304,78
2858204,4306,78
3893728,4307,78
2400,4307,84
4996,4307,131
43260,4308,42
113013380,4308,78
1719783188,4309,78
151850,4309,131
170378174,4310,78
231623882,4311,78
7687160,4312,78
10608,4312,84
83262202,4313,78
172492,4313,84
34187236,4314,78
3996,4314,131
3868558,4315,78
17988,4316,16
20872658,4316,78
50982,4316,84
16080832,4317,78
20288638,4318,78
32942,4319,16
3192522,4319,78
13708,4319,84
372927714,4321,78
6698092,4322,78
25455476,4323,78
33140,4323,84
8640,4324,42
2004126,4324,78
20948,4324,84
45628,4325,78
7884,4325,84
26652,4326,42
22556006,4326,78
37090,4326,84
73519814,4327,78
19086,4327,84
115766,4328,16
11728,4328,42
1186520,4328,78
37762,4328,84
28010,4329,16
8942980,4329,78
5158,4329,84
6981098,4330,78
23180,4330,84
7270,4331,16
20776,4331,78
13071196,4332,78
6266,4332,84
43917818,4333,78
24840,4334,42
11072670,4334,78
2222,4334,131
12200,4335,78
6326,4335,84
13824,4336,16
7650,4336,42
464000,4336,78
30298,4336,84
115022,4337,78
17206,4337,84
18670,4338,16
403952,4338,78
29056,4338,84
48132,4339,78
26020,4339,84
185108,4340,16
24348,4340,42
10358580,4340,78
12858,4340,84
69880,4341,78
21540,4341,84
1223786,4342,78
9260,4342,84
13976,4343,16
167148,4343,78
5508,4343,84
4850,4344,78
7412,4344,84
713076,4346,78
156618,4348,42
7496922,4348,78
42130,4348,84
277112,4350,78
57588,4351,16
74988,4351,42
1229238,4351,78
27180,4351,84
900186,4356,78
13034,4358,16
113432,4358,78
174316708,4359,78
6000,4359,84
97050010,4362,78
107172,4364,16
6256766,4364,78
23354,4364,131
6364,4365,42
2962480,4365,78
7122,4365,84
255446,4366,78
54000,4367,42
9439734,4367,78
213279052,4368,78
3962,4369,16
85690446,4369,78
10056370,4370,78
106710,4373,16
235774092,4373,78
4800,4376,16
4500,4376,42
1868060,4376,78
7380,4376,131
14006810,4377,78
26854,4378,42
26265454,4378,78
15848,4378,84
138881512,4379,78
27820,4380,42
22460792,4380,78
424990,4382,78
42738,4383,42
655528,4383,78
5658,4383,84
9910,4385,42
5365006,4385,78
15198,4385,84
9774,4386,16
851816,4386,78
22320,4386,84
55328,4387,78
17700,4387,84
54257074,4388,78
327000,4388,84
150988,4389,78
1092492,4392,78
422794,4393,78
6324,4393,84
480030,4394,78
8368790,4395,78
4996,4395,84
10179972,4396,78
8852,4396,84
10926,4397,42
26397606,4397,78
213411892,4398,78
123974680,4399,78
46256226,4400,78
226772150,4401,78
92804,4401,131
39588802,4402,78
32364,4403,42
20540248,4403,78
9923220,4404,78
21588,4404,131
58068,4405,42
96176006,4405,78
145101218,4406,78
1729738,4407,78
43388372,4408,78
73066932,4409,78
272814,4412,78
12400,4412,84
43190,4414,78
114790,4415,78
16100,4415,84
827362,4416,78
217544,4417,78
2400,4417,84
351692,4418,78
32599258,4421,78
137360,4422,78
9198,4422,84
231368,4423,78
12242,4423,84
17550,4424,16
239042,4424,78
63862,4426,78
3528,4426,84
2238992,4427,78
4726,4427,84
243750,4428,78
4776,4428,84
1010262,4429,78
11554,4429,84
7004,4430,16
113800,4430,78
3840,4430,84
276346,4431,78
22240,4431,84
9000,4432,16
87256,4432,78
5196,4432,84
157184,4433,78
4466,4433,84
157738,4434,78
18966,4435,16
368276,4435,78
9388,4435,84
4740,4436,16
1942068,4436,78
1364612,4437,78
7180,4437,84
1718112,4438,78
12932,4438,84
1005096,4439,78
762772,4440,78
17344,4440,84
8746,4441,16
176912,4441,78
6134,4442,16
4977530,4442,78
3362,4442,84
407042,4443,78
4300,4443,84
290932,4444,78
12236,4444,84
4782,4445,16
272304,4445,78
7300,4445,84
8161126,4446,78
39216,4446,84
701896,4447,78
12016,4447,84
11248,4448,16
218736,4448,78
10228,4448,84
606532,4449,78
8518,4449,84
7249916,4450,78
12334,4450,84
487264,4451,78
14124,4451,84
1374432,4452,78
18932,4452,84
157718,4453,78
694268,4454,78
610016,4455,78
474256,4456,78
1075438,4457,78
8308,4457,84
562180,4458,78
1021624,4459,78
4304,4459,84
2683506,4460,78
3960,4460,84
876698,4466,78
6360,4466,84
382004,4467,78
17980,4468,78
723874,4469,78
2395924,4471,78
2984,4471,84
76174,4473,78
7320,4473,84
903500,4474,78
3776,4476,84
175204,4477,78
8900,4477,84
8390,4478,16
6966,4478,84
9202,4479,78
53594,4480,78
11422,4480,84
4086,4481,16
459340,4481,78
12654,4481,84
17216,4482,78
2474,4483,16
93330,4483,78
4770,4483,84
624622,4485,78
2418,4485,84
5230,4486,16
6020,4486,78
15000,4486,84
87284,4487,78
10058,4487,84
55414,4488,78
2744,4488,84
3642,4489,16
33436,4489,78
171798,4491,78
3380,4491,84
4750,4493,16
45850,4493,78
11352,4493,84
7670,4494,16
76746,4495,78
80000,4497,78
2510,4497,84
486246,4498,78
46086,4499,78
9110,4499,84
364304,4500,78
3906,4500,84
2400,4501,16
20446,4501,78
370974,4502,78
4686,4502,84
8707638,4503,78
269652,4504,78
7730,4504,84
10750,4505,16
15828,4505,78
12390,4505,84
90742,4506,78
6000,4506,84
3400,4507,16
33614,4507,78
4582,4508,16
27130,4508,78
242366,4509,78
2900,4509,84
5468,4510,78
64818,4511,78
9628,4511,84
12800,4512,16
93850,4512,78
5830,4512,84
44610,4513,78
10352,4513,84
8000,4514,78
15500,4515,16
86850,4515,78
11426,4515,84
86812,4516,78
6820,4516,84
3700,4517,16
95910,4517,78
6780,4517,84
39198,4518,78
5172,4519,16
27024,4519,78
74120,4520,78
2322,4520,84
85284,4521,78
2400,4521,84
25156,4522,78
5064,4522,84
295802,4523,78
9630,4523,84
10918,4524,78
2184,4525,16
16100,4525,78
2134,4526,78
5064,4526,84
39964,4528,78
15800,4528,84
19120,4530,78
16000,4531,16
14720,4531,78
6636,4534,78
666430,4535,78
11874,4535,84
6704,4536,78
13600,4538,16
13754,4538,78
3600,4539,16
8630,4539,78
24824,4540,78
7180,4540,84
116308,4541,78
2935384,4543,78
6060,4544,16
11571924,4544,78
29997642,4547,78
177768,4548,78
8400,4548,84
80408,4549,78
1996728,4550,78
1329456,4551,78
14352756,4552,78
13010,4552,84
291668,4553,78
12640,4554,16
1862860,4554,78
4422854,4555,78
3336,4555,84
30456,4556,78
13120,4556,84
13786,4557,16
152352,4557,78
4280,4558,78
118792824,4559,78
6162940,4560,78
6455344,4561,78
15336,4562,78
12370,4564,16
56198,4564,78
22774,4566,78
497096,4567,78
20000,4567,84
19700,4568,84
12800,4569,84
17200,4570,78
4180,4571,78
12300,4580,78
10000,4581,78
7500,4584,78
8670,4588,84
600,4589,84
3290,4590,78
4680,4592,78
10208,4601,78
4390,4609,78
16200,4612,16
7720,4612,78
9940,4615,78
16000,4616,78
11168,4622,16
57916,4622,78
9202,4624,16
647456,4624,78
28368,4625,78
8454,4626,16
35228,4626,78
14816,4627,78
8280,4628,16
5340,4628,78
8342,4629,16
631336,4629,78
8468,4630,16
181900,4630,78
246158,4631,78
8400,4632,84
13000,4634,78
18162,4637,78
10800,4638,78
3670,4640,16
21982,4640,78
16400,4641,16
2288,4643,78
12000,4643,84
4164,4644,78
5920,4645,16
6600,4645,78
4470,4647,78
65422,4649,78
2750,4649,84
68252,4650,78
16000,4650,84
114402,4651,78
3850,4651,84
4842444,4654,78
45432,4655,78
5447034,4656,78
834788,4660,78
3882,4660,84
184690,4669,78
31116,4671,78
2135550,4672,78
10756,4674,78
10486,4675,78
7800,4675,131
1033110,4676,78
2036526,4679,78
211062,4681,78
7666,4684,78
88074,4685,78
6000,4686,16
10191158,4686,78
6889424,4688,78
3440,4688,84
103034,4689,78
4914,4689,84
34140,4690,78
253410,4692,78
5070,4692,84
20832,4693,78
3192,4693,84
97144,4695,78
2586,4695,84
240630,4696,78
87140,4697,78
405694,4698,78
8426,4698,84
37974,4700,78
4104,4700,84
82244,4703,78
4140,4703,84
6460,4704,84
51492,4705,78
2656,4705,84
46954,4706,78
8340,4706,84
2928,4810,78
7000,4810,84
21,5007,78
