lead_time,transit_cost,orig_transit_cost,holding_cost,delta_flag,item_code,src_plant,dest_plant
2,0.0328,0,0.0082,0,63,78,84
1,0.0164,0,0.0082,0,63,78,53
2,0.0328,0,0.0082,0,63,78,131
2,0.0328,0,0.0082,0,63,78,69
2,0.0246,0,0.0082,0,63,78,42
2,0.0246,0,0.0082,0,63,78,16
2,0.0246,0,0.0082,0,63,16,78
1,0.0164,0,0.0082,0,63,53,78
2,0.016,0,0.004,0,64,78,84
1,0.008,0,0.004,0,64,78,53
2,0.016,0,0.004,0,64,78,131
2,0.016,0,0.004,0,64,78,69
2,0.012,0,0.004,0,64,78,42
2,0.012,0,0.004,0,64,78,16
2,0.016,0,0.004,0,64,84,78
2,0.012,0,0.004,0,64,16,78
1,0.008,0,0.004,0,64,53,78
2,0.012,0,0.004,0,64,42,78
2,0.016,0,0.004,0,64,131,78
2,0.048,0,0.012,0,65,78,84
1,0.024,0,0.012,0,65,78,53
2,0.048,0,0.012,0,65,78,131
2,0.048,0,0.012,0,65,78,69
2,0.036,0,0.012,0,65,78,42
2,0.036,0,0.012,0,65,78,16
2,0.048,0,0.012,0,65,84,78
2,0.036,0,0.012,0,65,16,78
1,0.024,0,0.012,0,65,53,78
2,0.0292,0,0.0073,0,67,78,84
1,0.0146,0,0.0073,0,67,78,53
2,0.0292,0,0.0073,0,67,78,131
2,0.0292,0,0.0073,0,67,78,69
2,0.0219,0,0.0073,0,67,78,42
2,0.0219,0,0.0073,0,67,78,16
1,0.0146,0,0.0073,0,67,53,78
2,0.0412,0,0.0103,0,68,78,84
1,0.0206,0,0.0103,0,68,78,53
2,0.0412,0,0.0103,0,68,78,131
2,0.0412,0,0.0103,0,68,78,69
2,0.0309,0,0.0103,0,68,78,42
2,0.0309,0,0.0103,0,68,78,16
1,0.0206,0,0.0103,0,68,53,78
2,0.008,0,0.002,0,72,78,84
1,0.004,0,0.002,0,72,78,53
2,0.008,0,0.002,0,72,78,131
2,0.008,0,0.002,0,72,78,69
2,0.006,0,0.002,0,72,78,42
2,0.006,0,0.002,0,72,78,16
1,0.004,0,0.002,0,72,53,78
2,0.35,0,0.0875,0,139,78,84
1,0.175,0,0.0875,0,139,78,53
2,0.35,0,0.0875,0,139,78,131
2,1.35,1,0.0875,0,139,78,69
2,0.2625,0,0.0875,0,139,78,42
2,0.2625,0,0.0875,0,139,78,16
2,1.35,1,0.0875,0,139,84,78
2,1.2625,1,0.0875,0,139,16,78
1,0,1,0,0,139,53,78
2,0.038,0,0.0095,0,160,78,84
1,0.019,0,0.0095,0,160,78,53
2,0.038,0,0.0095,0,160,78,131
2,0.038,0,0.0095,0,160,78,69
2,0.0285,0,0.0095,0,160,78,42
2,0.0285,0,0.0095,0,160,78,16
2,1.038,1,0.0095,0,160,84,78
2,1.0285,1,0.0095,0,160,16,78
1,1.019,1,0.0095,0,160,53,78
2,0.5184,0,0.1296,0,199,78,84
1,0.2592,0,0.1296,0,199,78,53
2,0.5184,0,0.1296,0,199,78,131
2,0.5184,0,0.1296,0,199,78,69
2,0.3888,0,0.1296,0,199,78,42
2,0.3888,0,0.1296,0,199,78,16
2,1.4136,1,0.1034,0,237,78,84
1,0.2068,0,0.1034,0,237,78,53
2,0.4136,0,0.1034,0,237,78,131
2,0.4136,0,0.1034,0,237,78,69
2,0.3102,0,0.1034,0,237,78,42
2,0.3102,0,0.1034,0,237,78,16
2,0,1,0,0,237,84,78
2,1.3102,1,0.1034,0,237,16,78
1,1.2068,1,0.1034,0,237,53,78
2,1.4064,1,0.1016,0,238,78,84
1,1.2032,1,0.1016,0,238,78,53
2,0.4064,0,0.1016,0,238,78,131
2,0.4064,0,0.1016,0,238,78,69
2,0.3048,0,0.1016,0,238,78,42
2,1.3048,1,0.1016,0,238,78,16
2,0,1,0,0,238,84,78
2,1.3048,1,0.1016,0,238,16,78
1,1.2032,1,0.1016,0,238,53,78
2,0.7756,0,0.1939,0,253,78,84
1,0.3878,0,0.1939,0,253,78,53
2,0.7756,0,0.1939,0,253,78,131
2,0.7756,0,0.1939,0,253,78,69
2,0.5817,0,0.1939,0,253,78,42
2,0.5817,0,0.1939,0,253,78,16
2,0.4148,0,0.1037,0,272,78,84
1,1.2074,1,0.1037,0,272,78,53
2,0.4148,0,0.1037,0,272,78,131
2,0.4148,0,0.1037,0,272,78,69
2,0.3111,0,0.1037,0,272,78,42
2,0.3111,0,0.1037,0,272,78,16
2,1.4148,1,0.1037,0,272,84,78
2,1.3111,1,0.1037,0,272,16,78
1,0,1,0,0,272,53,78
2,0.714,0,0.1785,0,273,78,84
1,0.357,0,0.1785,0,273,78,53
2,0.714,0,0.1785,0,273,78,131
2,0.714,0,0.1785,0,273,78,69
2,0.5355,0,0.1785,0,273,78,42
2,0.5355,0,0.1785,0,273,78,16
2,0.6384,0,0.1596,0,279,78,84
1,0.3192,0,0.1596,0,279,78,53
2,0.6384,0,0.1596,0,279,78,131
2,0.6384,0,0.1596,0,279,78,69
2,0.4788,0,0.1596,0,279,78,42
2,0.4788,0,0.1596,0,279,78,16
2,0.836,0,0.209,0,281,78,84
1,0.418,0,0.209,0,281,78,53
2,0.836,0,0.209,0,281,78,131
2,0.836,0,0.209,0,281,78,69
2,0.627,0,0.209,0,281,78,42
2,0.627,0,0.209,0,281,78,16
2,0.6252,0,0.1563,0,289,78,84
1,0.3126,0,0.1563,0,289,78,53
2,0.6252,0,0.1563,0,289,78,131
2,0.6252,0,0.1563,0,289,78,69
2,0.4689,0,0.1563,0,289,78,42
2,0.4689,0,0.1563,0,289,78,16
2,0.504,0,0.126,0,302,78,84
1,0.252,0,0.126,0,302,78,53
2,0.504,0,0.126,0,302,78,131
2,0.504,0,0.126,0,302,78,69
2,0.378,0,0.126,0,302,78,42
2,0.378,0,0.126,0,302,78,16
1,1.252,1,0.126,0,302,53,78
2,0.8224,0,0.2056,0,322,78,84
1,0.4112,0,0.2056,0,322,78,53
2,0.8224,0,0.2056,0,322,78,131
2,0.8224,0,0.2056,0,322,78,69
2,0.6168,0,0.2056,0,322,78,42
2,0.6168,0,0.2056,0,322,78,16
2,0.6132,0,0.1533,0,326,78,84
1,0.3066,0,0.1533,0,326,78,53
2,0.6132,0,0.1533,0,326,78,131
2,0.6132,0,0.1533,0,326,78,69
2,0.4599,0,0.1533,0,326,78,42
2,0.4599,0,0.1533,0,326,78,16
2,0.0336,0,0.0084,0,455,78,84
1,0.0168,0,0.0084,0,455,78,53
2,0.0336,0,0.0084,0,455,78,131
2,0.0336,0,0.0084,0,455,78,69
2,0.0252,0,0.0084,0,455,78,42
2,0.0252,0,0.0084,0,455,78,16
1,0,0,0,0,455,53,78
2,0.034,0,0.0085,0,456,78,84
1,0.017,0,0.0085,0,456,78,53
2,0.034,0,0.0085,0,456,78,131
2,0.034,0,0.0085,0,456,78,69
2,0.0255,0,0.0085,0,456,78,42
2,0.0255,0,0.0085,0,456,78,16
2,0.034,0,0.0085,0,456,84,78
2,0.0255,0,0.0085,0,456,16,78
1,0,0,0,0,456,53,78
2,0.0036,0,0.0009,0,458,78,84
1,0.0018,0,0.0009,0,458,78,53
2,0.0036,0,0.0009,0,458,78,131
2,0.0036,0,0.0009,0,458,78,69
2,0.0027,0,0.0009,0,458,78,42
2,0.0027,0,0.0009,0,458,78,16
1,0,0,0,0,458,53,78
2,0.028,0,0.007,0,459,78,84
1,0.014,0,0.007,0,459,78,53
2,0.028,0,0.007,0,459,78,131
2,0.028,0,0.007,0,459,78,69
2,0.021,0,0.007,0,459,78,42
2,0.021,0,0.007,0,459,78,16
2,0.021,0,0.007,0,459,16,78
1,0.014,0,0.007,0,459,53,78
2,0.0136,0,0.0034,0,460,78,84
1,0.0068,0,0.0034,0,460,78,53
2,0.0136,0,0.0034,0,460,78,131
2,0.0136,0,0.0034,0,460,78,69
2,0.0102,0,0.0034,0,460,78,42
2,0.0102,0,0.0034,0,460,78,16
2,0.0102,0,0.0034,0,460,16,78
1,0.0068,0,0.0034,0,460,53,78
2,0.0152,0,0.0038,0,461,78,84
1,0.0076,0,0.0038,0,461,78,53
2,0.0152,0,0.0038,0,461,78,131
2,0.0152,0,0.0038,0,461,78,69
2,0.0114,0,0.0038,0,461,78,42
2,0.0114,0,0.0038,0,461,78,16
1,0.0076,0,0.0038,0,461,53,78
2,1.0248,1,0.0062,0,1448,78,84
1,1.0124,1,0.0062,0,1448,78,53
2,0.0248,0,0.0062,0,1448,78,131
2,0.0248,0,0.0062,0,1448,78,69
2,0.0186,0,0.0062,0,1448,78,42
2,0.0186,0,0.0062,0,1448,78,16
2,1.0248,1,0.0062,0,1448,84,78
2,1.0186,1,0.0062,0,1448,16,78
1,0,1,0,0,1448,53,78
2,0.4204,0,0.1051,0,1485,78,84
1,0.2102,0,0.1051,0,1485,78,53
2,0.4204,0,0.1051,0,1485,78,131
2,1.4204,1,0.1051,0,1485,78,69
2,0.3153,0,0.1051,0,1485,78,42
2,0.3153,0,0.1051,0,1485,78,16
2,1.3153,1,0.1051,0,1485,16,78
2,0.442,0,0.1105,0,1486,78,84
1,0.221,0,0.1105,0,1486,78,53
2,0.442,0,0.1105,0,1486,78,131
2,0.442,0,0.1105,0,1486,78,69
2,0.3315,0,0.1105,0,1486,78,42
2,0.3315,0,0.1105,0,1486,78,16
2,1.442,1,0.1105,0,1486,84,78
2,1.3315,1,0.1105,0,1486,16,78
1,0,1,0,0,1486,53,78
2,1.192,1,0.048,0,1969,78,84
1,1.096,1,0.048,0,1969,78,53
