alter_cost,multiplier,priority_col,type,assembly,item_code1,item_code2,period,plant
0.0,1,1,interchange,,2939,2939,72,111
0.0,1,1,interchange,,2940,2940,72,111
0.0,1,1,interchange,,2795,2795,72,111
0.0,1,1,interchange,,2792,2792,72,111
0.0,1,1,interchange,,2794,2794,72,111
-1.0,1,2,alternate,3344,9794,12666,72,111
-1.0,1,2,alternate,3375,11081,11092,72,111
-1.0,1,2,alternate,3545,11435,11438,72,111
-1.0,1,2,alternate,4114,9960,12659,72,111
0.0,1,1,interchange,,2939,2939,73,111
0.0,1,1,interchange,,2940,2940,73,111
0.0,1,1,interchange,,2795,2795,73,111
0.0,1,1,interchange,,2792,2792,73,111
0.0,1,1,interchange,,2794,2794,73,111
-1.0,1,2,alternate,3344,9794,12666,73,111
-1.0,1,2,alternate,3375,11081,11092,73,111
-1.0,1,2,alternate,3545,11435,11438,73,111
-1.0,1,2,alternate,4114,9960,12659,73,111
0.0,1,1,interchange,,2939,2939,74,111
0.0,1,1,interchange,,2940,2940,74,111
0.0,1,1,interchange,,2795,2795,74,111
0.0,1,1,interchange,,2792,2792,74,111
0.0,1,1,interchange,,2794,2794,74,111
-1.0,1,2,alternate,3344,9794,12666,74,111
-1.0,1,2,alternate,3375,11081,11092,74,111
-1.0,1,2,alternate,3545,11435,11438,74,111
-1.0,1,2,alternate,4114,9960,12659,74,111
0.0,1,1,interchange,,2939,2939,75,111
0.0,1,1,interchange,,2940,2940,75,111
0.0,1,1,interchange,,2795,2795,75,111
0.0,1,1,interchange,,2792,2792,75,111
0.0,1,1,interchange,,2794,2794,75,111
-1.0,1,2,alternate,3344,9794,12666,75,111
-1.0,1,2,alternate,3375,11081,11092,75,111
-1.0,1,2,alternate,3545,11435,11438,75,111
-1.0,1,2,alternate,4114,9960,12659,75,111
0.0,1,1,interchange,,2939,2939,76,111
0.0,1,1,interchange,,2940,2940,76,111
0.0,1,1,interchange,,2795,2795,76,111
0.0,1,1,interchange,,2792,2792,76,111
0.0,1,1,interchange,,2794,2794,76,111
-1.0,1,2,alternate,3344,9794,12666,76,111
-1.0,1,2,alternate,3375,11081,11092,76,111
-1.0,1,2,alternate,3545,11435,11438,76,111
-1.0,1,2,alternate,4114,9960,12659,76,111
0.0,1,1,interchange,,2939,2939,77,111
0.0,1,1,interchange,,2940,2940,77,111
0.0,1,1,interchange,,2795,2795,77,111
0.0,1,1,interchange,,2792,2792,77,111
0.0,1,1,interchange,,2794,2794,77,111
-1.0,1,2,alternate,3344,9794,12666,77,111
-1.0,1,2,alternate,3375,11081,11092,77,111
-1.0,1,2,alternate,3545,11435,11438,77,111
-1.0,1,2,alternate,4114,9960,12659,77,111
0.0,1,1,interchange,,2939,2939,78,111
0.0,1,1,interchange,,2940,2940,78,111
0.0,1,1,interchange,,2795,2795,78,111
0.0,1,1,interchange,,2792,2792,78,111
0.0,1,1,interchange,,2794,2794,78,111
-1.0,1,2,alternate,3344,9794,12666,78,111
-1.0,1,2,alternate,3375,11081,11092,78,111
-1.0,1,2,alternate,3545,11435,11438,78,111
-1.0,1,2,alternate,4114,9960,12659,78,111
0.0,1,1,interchange,,2939,2939,79,111
0.0,1,1,interchange,,2940,2940,79,111
0.0,1,1,interchange,,2795,2795,79,111
0.0,1,1,interchange,,2792,2792,79,111
0.0,1,1,interchange,,2794,2794,79,111
-1.0,1,2,alternate,3344,9794,12666,79,111
-1.0,1,2,alternate,3375,11081,11092,79,111
-1.0,1,2,alternate,3545,11435,11438,79,111
-1.0,1,2,alternate,4114,9960,12659,79,111
0.0,1,1,interchange,,2939,2939,80,111
0.0,1,1,interchange,,2940,2940,80,111
0.0,1,1,interchange,,2795,2795,80,111
0.0,1,1,interchange,,2792,2792,80,111
0.0,1,1,interchange,,2794,2794,80,111
-1.0,1,2,alternate,3344,9794,12666,80,111
-1.0,1,2,alternate,3375,11081,11092,80,111
-1.0,1,2,alternate,3545,11435,11438,80,111
-1.0,1,2,alternate,4114,9960,12659,80,111
0.0,1,1,interchange,,2939,2939,81,111
0.0,1,1,interchange,,2940,2940,81,111
0.0,1,1,interchange,,2795,2795,81,111
0.0,1,1,interchange,,2792,2792,81,111
0.0,1,1,interchange,,2794,2794,81,111
-1.0,1,2,alternate,3344,9794,12666,81,111
-1.0,1,2,alternate,3375,11081,11092,81,111
-1.0,1,2,alternate,3545,11435,11438,81,111
-1.0,1,2,alternate,4114,9960,12659,81,111
0.0,1,1,interchange,,2939,2939,82,111
0.0,1,1,interchange,,2940,2940,82,111
0.0,1,1,interchange,,2795,2795,82,111
0.0,1,1,interchange,,2792,2792,82,111
0.0,1,1,interchange,,2794,2794,82,111
-1.0,1,2,alternate,3375,11081,11092,82,111
-1.0,1,2,alternate,3545,11435,11438,82,111
-1.0,1,2,alternate,4114,9960,12659,82,111
0.0,1,1,interchange,,2939,2939,83,111
0.0,1,1,interchange,,2940,2940,83,111
0.0,1,1,interchange,,2795,2795,83,111
0.0,1,1,interchange,,2792,2792,83,111
0.0,1,1,interchange,,2794,2794,83,111
-1.0,1,2,alternate,3375,11081,11092,83,111
-1.0,1,2,alternate,3545,11435,11438,83,111
-1.0,1,2,alternate,4114,9960,12659,83,111
0.0,1,1,interchange,,2939,2939,84,111
0.0,1,1,interchange,,2940,2940,84,111
0.0,1,1,interchange,,2795,2795,84,111
0.0,1,1,interchange,,2792,2792,84,111
0.0,1,1,interchange,,2794,2794,84,111
-1.0,1,2,alternate,3375,11081,11092,84,111
-1.0,1,2,alternate,3545,11435,11438,84,111
-1.0,1,2,alternate,4114,9960,12659,84,111
0.0,1,1,interchange,,2939,2939,85,111
0.0,1,1,interchange,,2940,2940,85,111
0.0,1,1,interchange,,2795,2795,85,111
0.0,1,1,interchange,,2792,2792,85,111
0.0,1,1,interchange,,2794,2794,85,111
-1.0,1,2,alternate,3375,11081,11092,85,111
-1.0,1,2,alternate,3545,11435,11438,85,111
-1.0,1,2,alternate,4114,9960,12659,85,111
0.0,1,1,interchange,,2939,2939,86,111
0.0,1,1,interchange,,2940,2940,86,111
0.0,1,1,interchange,,2795,2795,86,111
0.0,1,1,interchange,,2792,2792,86,111
0.0,1,1,interchange,,2794,2794,86,111
-1.0,1,2,alternate,3375,11081,11092,86,111
-1.0,1,2,alternate,3545,11435,11438,86,111
-1.0,1,2,alternate,4114,9960,12659,86,111
