item_code,period,order_demand,pre_demand
315,78,1,1
366,78,15,114
487,78,8,15
509,78,9,12
526,78,2,2
532,78,28,54
559,78,21,21
561,78,177,313
588,78,0,0
589,78,0,0
590,78,0,0
591,78,0,0
595,78,0,0
602,78,0,0
604,78,0,0
666,78,0,0
673,78,459,459
742,78,0,0
743,78,0,0
747,78,0,0
772,78,0,0
851,78,29,29
1054,78,36,36
1070,78,0,0
1071,78,0,0
1072,78,0,0
1248,78,14,14
1547,78,3,5
1548,78,2,2
1550,78,1,2
1590,78,1,3
1599,78,1,1
1632,78,0,0
1640,78,0,0
1660,78,75,75
1661,78,0,0
1663,78,34,34
1682,78,2,2
1856,78,0,0
1872,78,21,248
1911,78,0,0
1916,78,245,245
1960,78,0,0
1996,78,9,9
2027,78,240,240
2047,78,18,176
2115,78,4,4
2159,78,1,1
2176,78,1,2
2242,78,0,0
2264,78,2016,2016
2295,78,2043,12060
2304,78,20100,20100
2305,78,0,4032
2398,78,2010,2010
2782,78,0,0
2791,78,0,0
2792,78,0,0
2794,78,0,0
2795,78,0,0
2797,78,0,0
2802,78,0,0
2807,78,0,0
2860,78,0,0
2929,78,0,0
2939,78,0,0
2940,78,0,0
2941,78,0,0
2964,78,0,0
2992,78,0,0
2993,78,0,0
3000,78,0,0
3001,78,0,0
3133,78,0,0
3142,78,0,0
3231,78,0,0
3232,78,0,0
3233,78,0,0
3375,78,0,0
3598,78,0,0
3896,78,0,0
3899,78,0,0
4114,78,0,0
4363,78,0,0
4365,78,0,0
4498,78,0,0
4575,72,0,0
6538,78,1,2
6624,78,0,0
6625,78,0,0
6628,78,0,0
6633,78,1,4
6642,78,0,0
6653,78,1,3
6697,78,0,64
6706,78,1,272
6726,78,4,4
6732,78,0,0
6736,78,0,0
6766,78,0,0
6835,78,0,0
6840,78,0,0
6871,78,0,0
6879,78,23,51
6899,78,1,1
6923,78,12,12
6952,78,0,0
6998,78,0,0
7008,78,0,0
7034,78,0,0
7035,78,0,0
7036,78,0,0
7041,78,0,0
7043,78,0,0
7072,78,0,0
7083,78,3,16
7085,78,2,15
7088,78,1,7
7089,78,1,1
7104,78,0,0
7105,78,0,0
7106,78,3,61
7116,78,0,0
7148,78,0,0
7173,78,1,6
7202,78,0,0
7215,78,1,2
7217,78,1,4
7442,78,5,5
7443,78,8,8
7501,78,6,6
7527,78,1,2
7528,78,92,92
7535,78,3,8
7536,78,11,6608
7538,78,1056,2905
7544,78,1,812
7545,78,683,984
7548,78,1,20
