item_code,set
4788,176
4788,176
4788,176
4801,176
4801,176
3075,176
3075,176
3075,176
6581,176
6581,176
6752,176
6632,176
6632,176
6913,176
6913,176
6913,176
3083,176
3083,176
3083,176
3098,176
3098,176
3584,176
3584,176
3838,176
3838,176
3846,176
3846,176
4178,176
4178,176
4502,176
4502,176
4735,176
4735,176
6616,176
7004,176
7004,176
4213,176
4213,176
4213,176
3590,176
3590,176
3662,176
3662,176
3669,176
3669,176
3837,176
3837,176
3841,176
3841,176
3841,176
3844,176
3844,176
3844,176
3845,176
3845,176
4177,176
4177,176
4177,176
5000,176
5000,176
5047,176
5047,176
5721,176
5721,176
7065,176
7065,176
5620,176
5620,176
5648,176
5648,176
6634,176
6634,176
6634,176
6585,176
6585,176
6775,176
6879,176
4877,176
4877,176
4996,176
4996,176
5218,176
5218,176
5476,176
5476,176
5476,176
6751,176
6751,176
4734,176
4734,176
3545,176
3545,176
3545,176
2841,176
2841,176
6609,176
3441,176
3441,176
3441,176
2785,176
2785,176
2785,176
2988,176
2988,176
4964,176
4964,176
4964,176
3757,176
3757,176
3318,176
3318,176
2718,176
2718,176
3088,176
3088,176
3542,176
3542,176
3666,176
3666,176
4995,176
4995,176
4998,176
4998,176
5649,176
5649,176
6710,176
6710,176
6710,176
4733,176
4733,176
3843,176
3843,176
4503,176
4503,176
4503,176
5049,176
5049,176
3331,176
3331,176
5711,176
5711,176
6106,176
6106,176
6108,176
6108,176
4952,176
4952,176
3589,176
3589,176
4997,176
4997,176
4997,176
5048,176
5048,176
5602,176
5605,176
2694,176
2694,176
3840,176
3840,176
3882,176
3882,176
4951,176
4951,176
4994,176
4994,176
6109,176
6109,176
2801,176
2801,176
2801,176
3459,176
3459,176
3839,176
3839,176
3839,176
5561,176
5561,176
3100,176
3100,176
5189,176
5189,176
3422,176
3422,176
3895,176
3895,176
3093,176
3093,176
4181,176
4181,176
3349,176
3349,176
3667,176
3667,176
3842,176
3842,176
3842,176
3398,176
3398,176
3847,176
3847,176
4788,179
4788,179
4788,179
4801,179
4801,179
3075,179
3075,179
3075,179
6581,179
6581,179
6752,179
6632,179
6632,179
6913,179
6913,179
6913,179
3083,179
3083,179
3083,179
3098,179
3098,179
3584,179
3584,179
3838,179
3838,179
3846,179
3846,179
4178,179
4178,179
4502,179
4502,179
4735,179
4735,179
6616,179
7004,179
7004,179
4213,179
4213,179
4213,179
3590,179
3590,179
3662,179
3662,179
3669,179
3669,179
3837,179
3837,179
3841,179
3841,179
3841,179
3844,179
3844,179
3844,179
3845,179
3845,179
4177,179
4177,179
4177,179
5000,179
5000,179
5047,179
5047,179
5721,179
5721,179
7065,179
7065,179
5620,179
5620,179
5648,179
5648,179
6634,179
6634,179
6634,179
6585,179
6585,179
6775,179
6879,179
4877,179
4877,179
4996,179
4996,179
5218,179
5218,179
5476,179
5476,179
5476,179
6751,179
6751,179
4734,179
4734,179
3545,179
3545,179
3545,179
2841,179
2841,179
6609,179
3441,179
3441,179
3441,179
2785,179
2785,179
2785,179
2988,179
2988,179
4964,179
4964,179
4964,179
3757,179
3757,179
3318,179
3318,179
2718,179
2718,179
3088,179
3088,179
3542,179
3542,179
3666,179
3666,179
4995,179
4995,179
4998,179
4998,179
5649,179
5649,179
6710,179
6710,179
6710,179
4733,179
4733,179
3843,179
3843,179
4503,179
4503,179
4503,179
5049,179
5049,179
3331,179
3331,179
5711,179
5711,179
6106,179
6106,179
6108,179
6108,179
4952,179
4952,179
3589,179
3589,179
4997,179
4997,179
4997,179
5048,179
5048,179
5602,179
5605,179
2694,179
2694,179
3840,179
3840,179
3882,179
3882,179
4951,179
4951,179
4994,179
4994,179
6109,179
6109,179
2801,179
2801,179
2801,179
3459,179
3459,179
3839,179
3839,179
3839,179
5561,179
5561,179
3100,179
3100,179
5189,179
5189,179
3422,179
3422,179
3895,179
3895,179
3093,179
3093,179
4181,179
4181,179
3349,179
3349,179
3667,179
3667,179
3842,179
3842,179
3842,179
3398,179
3398,179
3847,179
3847,179
4788,47
4788,47
4788,47
5476,47
5476,47
5476,47
4964,47
4964,47
4964,47
5475,47
5475,47
4788,173
4788,173
4788,173
6581,173
6581,173
6752,173
4502,173
4502,173
6585,173
6585,173
6751,173
6751,173
6609,173
3318,173
3318,173
3088,173
3088,173
6710,173
6710,173
6710,173
2871,173
2871,173
4788,180
4788,180
4788,180
4178,180
4178,180
4735,180
4735,180
4503,180
4503,180
4503,180
4801,119
4801,119
3584,119
3584,119
3838,119
3838,119
5000,119
5000,119
4996,119
4996,119
3441,119
3441,119
3441,119
4995,119
4995,119
4998,119
4998,119
4997,119
4997,119
4997,119
4994,119
4994,119
3839,119
3839,119
3839,119
3422,119
3422,119
3398,119
3398,119
2871,119
2871,119
2823,119
2823,119
3317,119
3317,119
3496,119
3496,119
2827,119
2827,119
3400,119
3400,119
4993,119
4993,119
3075,69
3075,69
3075,69
6775,69
6774,69
6742,69
6592,69
6749,69
6740,69
6687,69
6768,69
6818,69
6676,69
6676,69
6769,69
6816,69
6591,69
6586,69
6586,69
6582,69
6766,69
6680,69
6714,69
6725,69
6736,69
6736,69
6703,69
6646,69
6732,69
6732,69
6555,69
6831,69
7205,69
6549,69
6598,69
6598,69
6571,69
6654,69
6700,69
6738,69
6827,69
6688,69
6608,69
6671,69
6767,69
6677,69
6683,69
6717,69
6723,69
6763,69
6822,69
6826,69
7211,69
6642,69
6726,69
6627,69
6557,69
6664,69
6724,69
6724,69
6832,69
7137,69
6731,69
6587,69
6623,69
6657,69
6682,69
6685,69
6748,69
6570,69
6681,69
6733,69
6635,69
6611,69
6699,69
6727,69
6649,69
6759,69
6581,170
6581,170
6752,170
6632,170
6632,170
6913,170
6913,170
6913,170
6616,170
7004,170
7004,170
7065,170
7065,170
6634,170
6634,170
6634,170
6585,170
6585,170
6879,170
6609,170
6539,170
6539,170
7263,170
7105,170
6782,170
6923,170
6923,170
6998,170
6750,170
6652,170
6652,170
6835,170
6835,170
6810,170
7036,170
7194,170
6932,170
6755,170
7200,170
6753,170
6836,170
7114,170
5556,170
6811,170
6833,170
6833,170
7089,170
7033,170
7084,170
7202,170
7035,170
7115,170
6992,170
6653,170
7000,170
7104,170
2712,170
2712,170
6991,170
6991,170
7083,170
7072,170
7088,170
7088,170
5555,170
7041,170
7041,170
7034,170
7034,170
6858,170
7043,170
7176,170
6785,170
6912,170
7248,170
3663,170
7201,170
7217,170
7192,170
7264,170
7216,170
6797,170
6907,170
6581,66
6581,66
6616,66
6585,66
6585,66
6609,66
6652,66
6652,66
6755,66
7200,66
7089,66
7202,66
6653,66
7043,66
6785,66
7201,66
6797,66
6752,93
6634,93
6634,93
6634,93
6632,71
6632,71
6753,71
6913,42
6913,42
6913,42
7065,42
7065,42
3083,114
3083,114
3083,114
5189,114
5189,114
4181,114
4181,114
7148,114
3052,114
3052,114
3846,76
3846,76
3895,76
3895,76
2934,76
2934,76
2934,76
3846,181
3846,181
3545,181
3545,181
3545,181
3542,181
3542,181
2802,181
2802,181
2802,181
4365,181
4365,181
3899,181
3899,181
3375,181
3375,181
4114,181
4114,181
4114,181
2939,181
2939,181
2939,181
2940,181
2940,181
2940,181
4363,181
4363,181
2794,181
2794,181
2794,181
4498,181
4498,181
2791,181
2791,181
2993,181
2993,181
4575,181
4575,181
2992,181
2992,181
3133,181
3133,181
2797,181
2797,181
2941,181
2941,181
2795,181
2795,181
2795,181
3896,181
3896,181
3664,181
3664,181
2792,181
2792,181
2792,181
4178,43
4178,43
4502,43
4502,43
5218,43
5218,43
4503,43
4503,43
4503,43
4343,43
4343,43
4735,94
4735,94
3590,94
3590,94
3845,94
3845,94
5049,94
5049,94
3842,94
3842,94
3842,94
7004,45
7004,45
6879,45
7194,45
5556,45
6992,45
6991,45
6991,45
5555,45
6912,45
7192,45
4213,22
4213,22
4213,22
3662,64
3662,64
4877,64
4877,64
4952,64
4952,64
3459,64
3459,64
3093,64
3093,64
3018,64
3018,64
3018,64
2971,64
2971,64
2916,64
2916,64
3049,64
3049,64
3049,64
2987,64
2987,64
2915,64
2915,64
3669,89
3669,89
3088,89
3088,89
3666,89
3666,89
3837,39
3837,39
3841,72
3841,72
3841,72
3840,72
3840,72
3844,97
3844,97
3844,97
4734,97
4734,97
3589,97
3589,97
5048,97
5048,97
4177,49
4177,49
4177,49
5620,49
5620,49
3882,49
3882,49
4951,49
4951,49
5619,49
5619,49
3460,49
3460,49
5047,74
5047,74
4733,74
4733,74
3843,74
3843,74
6751,171
6751,171
6710,171
6710,171
6710,171
6871,171
6871,171
6896,171
6896,171
6840,171
7173,171
7008,171
7174,171
7136,171
6708,171
6708,171
6633,171
6633,171
6675,171
6675,171
6783,171
6783,171
6813,171
7175,171
6841,171
7186,171
6812,171
6812,171
7106,171
7009,171
7116,171
7185,171
7037,171
7037,171
7038,171
7038,171
6898,171
6898,171
6872,171
6872,171
7135,171
3041,171
3041,171
3041,171
6899,171
6899,171
6751,91
6751,91
6710,91
6710,91
6710,91
6633,91
6633,91
3545,62
3545,62
3545,62
6609,65
2785,77
2785,77
2785,77
3331,77
3331,77
2988,20
2988,20
3757,55
3757,55
3757,175
3757,175
6539,175
6539,175
3232,175
3232,175
3232,175
3233,175
3233,175
4114,175
4114,175
4114,175
2939,175
2939,175
2939,175
3142,175
3142,175
2782,175
2782,175
3231,175
3231,175
3231,175
2929,175
2929,175
3001,175
3001,175
2807,175
2807,175
2949,175
2949,175
2949,175
2873,175
2873,175
3544,175
3544,175
3059,175
3059,175
3059,175
6565,175
2977,175
2977,175
2977,175
2917,175
2917,175
2917,175
6538,175
3058,175
3058,175
3058,175
2874,175
2874,175
2914,175
2914,175
3401,175
3401,175
3401,175
6553,175
6553,175
2736,175
2736,175
2736,175
2849,175
2849,175
2718,59
2718,59
2837,59
2837,59
2695,59
2695,59
2717,59
2717,59
3542,99
3542,99
3053,99
3053,99
3054,99
3054,99
2801,84
2801,84
2801,84
3100,52
3100,52
3349,115
3349,115
3667,102
3667,102
2871,117
2871,117
6591,68
6586,68
6586,68
6549,68
6598,68
6598,68
6587,68
6565,68
6607,68
6626,68
6618,68
6618,68
6618,68
6617,68
6625,68
6625,68
6628,68
6599,68
6624,68
6624,68
6588,68
6539,81
6539,81
7263,75
6835,75
6835,75
7114,75
7033,75
7104,75
7034,75
7034,75
7248,75
7217,75
7105,98
6782,98
7036,98
6836,98
7035,98
7115,98
7264,98
7216,98
6923,46
6923,46
6932,46
6998,50
6750,50
7088,50
7088,50
6858,50
6907,50
6810,104
6811,82
6833,40
6833,40
7084,48
7083,48
7072,48
7041,48
7041,48
7000,44
6871,73
6871,73
6896,73
6896,73
6840,73
7173,73
7008,73
7174,73
7136,95
6783,95
6783,95
6841,95
7186,95
7106,95
7009,95
7116,95
7185,95
7038,95
7038,95
6898,95
6898,95
6872,95
6872,95
7135,95
6708,78
6708,78
6675,105
6675,105
6813,83
6812,106
6812,106
7037,96
7037,96
6636,111
6743,111
6564,111
6567,111
6637,111
6572,111
6572,111
6744,111
2934,203
2934,203
2934,203
4508,203
4508,203
4508,203
3066,203
3066,203
3622,203
3622,203
3053,203
3053,203
3054,203
3054,203
7076,51
7076,51
7073,51
7074,51
7092,51
7042,51
7075,51
7075,51
7077,51
7052,63
7066,63
7215,63
7085,63
6885,63
6856,63
6867,63
6867,63
7078,63
7078,63
7138,63
6865,63
6886,63
6556,37
6556,37
7280,37
7281,37
6658,37
760,36
760,36
673,36
673,36
673,36
676,36
679,36
700,36
700,36
12683,36
699,36
725,36
725,36
768,36
672,36
871,36
12691,36
12691,36
12691,36
751,36
12689,36
673,35
673,35
673,35
12683,35
672,35
12691,35
12691,35
12691,35
12687,35
684,35
12681,35
701,35
12684,35
691,35
691,35
3050,92
3050,92
3492,92
3492,92
4221,41
4221,41
3104,54
3104,54
4508,101
4508,101
4508,101
3066,101
3066,101
7005,101
3622,101
3622,101
4508,100
4508,100
4508,100
3066,100
3066,100
2918,123
2918,123
698,0
698,0
698,0
12688,0
4506,29
4506,29
4506,29
3017,29
3017,29
3017,29
4506,79
4506,79
4506,79
3017,79
3017,79
3017,79
3493,70
3493,70
3491,90
3491,90
3668,80
3668,80
6645,124
6579,109
6562,109
6562,109
2933,126
2933,126
2932,126
2932,126
2720,58
2720,58
6686,67
6807,24
6806,24
6837,24
7067,24
7119,24
7157,24
3645,24
3645,24
6997,24
6795,24
6863,24
7228,24
6838,24
6946,24
6862,24
7012,24
6790,24
6808,24
7011,24
7080,24
7283,24
7304,24
6839,24
6698,24
6698,24
6794,24
3299,24
3299,24
3387,24
3387,24
3747,24
3751,24
3752,24
3746,24
3430,24
3430,24
6746,24
6746,24
6792,24
6696,24
6696,24
6721,24
6721,24
3778,24
3778,24
6842,24
3311,24
3311,24
4055,24
4055,24
7007,24
7040,24
4337,24
4337,24
6878,24
4825,24
4430,24
4430,24
7167,24
7230,24
6788,24
3298,24
3298,24
7168,24
6947,24
6951,24
7010,24
6694,24
6694,24
7039,24
7046,24
3648,24
3648,24
6995,24
7022,24
6846,24
3744,24
3744,24
6852,24
7025,24
6934,24
6697,24
6697,24
6705,24
6705,24
6877,24
7118,24
7170,24
3643,24
3643,24
6994,24
6845,24
7018,24
6720,24
6720,24
7017,24
6848,24
6952,24
7062,24
7305,24
6789,24
6722,24
6722,24
6691,24
6756,24
6756,24
6796,24
3272,24
3386,24
3386,24
3479,24
3479,24
3745,24
3745,24
3796,24
4619,24
4619,24
4404,24
4404,24
4282,24
7150,24
4579,24
4579,24
6791,24
7229,24
7128,24
3273,24
3273,24
3888,24
3888,24
7227,24
7172,24
3534,24
3534,24
4143,24
6953,24
4582,24
7129,24
6689,24
6689,24
7158,24
7159,24
3642,24
3642,24
6829,24
7001,24
3480,24
3480,24
3867,24
3286,24
3286,24
4746,24
4745,24
4426,24
4426,24
6849,24
3321,24
3321,24
6851,24
7081,24
7303,24
3749,24
3749,24
3750,24
3750,24
6954,24
3997,24
3997,24
7284,24
6805,24
6803,24
3780,24
3792,24
3792,24
3385,24
3385,24
6745,24
6745,24
3789,24
3789,24
3884,24
3884,24
3795,24
3795,24
4218,24
4218,24
4625,24
4744,24
7014,24
4580,24
4580,24
4429,24
4429,24
