line,shift,i_shift,capacity_type,work_day,max_capacity,set,period,plant
,1.0,1,Pcs,1.0,800.0,0,72,46
,1.0,1,Pcs,1.0,50.0,20,72,46
,1.0,1,Pcs,1.0,200.0,22,72,46
,1.0,1,Pcs,1.0,150.0,29,72,46
,1.0,1,Pcs,1.0,3493.0,36,72,46
,1.0,1,Pcs,1.0,80.0,37,72,46
,1.0,1,Pcs,1.0,200.0,39,72,46
,1.0,1,Pcs,1.0,30.0,40,72,46
,1.0,1,Pcs,1.0,200.0,41,72,46
,1.0,1,Pcs,1.0,30.0,42,72,46
,1.0,1,Pcs,1.0,500.0,43,72,46
,1.0,1,Pcs,1.0,34.0,45,72,46
,1.0,1,Pcs,1.0,500.0,47,72,46
,1.0,1,Pcs,1.0,197.0,48,72,46
,1.0,1,Pcs,1.0,500.0,49,72,46
,1.0,1,Pcs,1.0,35.0,50,72,46
,1.0,1,Pcs,1.0,100.0,51,72,46
,1.0,1,Pcs,1.0,100.0,52,72,46
,1.0,1,Pcs,1.0,50.0,54,72,46
,1.0,1,Pcs,1.0,100.0,59,72,46
,1.0,1,Pcs,1.0,230.0,63,72,46
,1.0,1,Pcs,1.0,500.0,64,72,46
,1.0,1,Pcs,1.0,370.0,66,72,46
,1.0,1,Pcs,1.0,474.0,69,72,46
,1.0,1,Pcs,1.0,500.0,70,72,46
,1.0,1,Pcs,1.0,80.0,71,72,46
,1.0,1,Pcs,1.0,500.0,72,72,46
,1.0,1,Pcs,1.0,10.0,73,72,46
,1.0,1,Pcs,1.0,402.0,74,72,46
,1.0,1,Pcs,1.0,90.0,75,72,46
,1.0,1,Pcs,1.0,60.0,76,72,46
,1.0,1,Pcs,1.0,500.0,77,72,46
,1.0,1,Pcs,1.0,45.0,78,72,46
,1.0,1,Pcs,1.0,30.0,79,72,46
,1.0,1,Pcs,1.0,500.0,80,72,46
,1.0,1,Pcs,1.0,80.0,82,72,46
,1.0,1,Pcs,1.0,15.0,83,72,46
,1.0,1,Pcs,1.0,500.0,84,72,46
,1.0,1,Pcs,1.0,199.0,89,72,46
,1.0,1,Pcs,1.0,500.0,90,72,46
,1.0,1,Pcs,1.0,120.0,91,72,46
,1.0,1,Pcs,1.0,500.0,92,72,46
,1.0,1,Pcs,1.0,100.0,93,72,46
,1.0,1,Pcs,1.0,500.0,94,72,46
,1.0,1,Pcs,1.0,140.0,95,72,46
,1.0,1,Pcs,1.0,500.0,97,72,46
,1.0,1,Pcs,1.0,125.0,98,72,46
,1.0,1,Pcs,1.0,100.0,101,72,46
,1.0,1,Pcs,1.0,500.0,102,72,46
,1.0,1,Pcs,1.0,65.0,104,72,46
,1.0,1,Pcs,1.0,80.0,106,72,46
,1.0,1,Pcs,1.0,400.0,111,72,46
,1.0,1,Pcs,1.0,44.0,114,72,46
,1.0,1,Pcs,1.0,303.0,119,72,46
,1.0,1,Pcs,1.0,500.0,123,72,46
,1.0,1,Pcs,1.0,50.0,124,72,46
,1.0,1,Pcs,1.0,260.0,170,72,46
,1.0,1,Pcs,1.0,80.0,171,72,46
,1.0,1,Point,1.0,42719509.0,176,72,46
,1.0,1,Point,1.0,13719509.0,179,72,46
,1.0,1,Pcs,1.0,400.0,203,72,46
,1.0,1,Pcs,1.0,800.0,0,73,46
,1.0,1,Pcs,1.0,50.0,20,73,46
,1.0,1,Pcs,1.0,200.0,22,73,46
,1.0,1,Pcs,1.0,150.0,29,73,46
,1.0,1,Pcs,1.0,2420.0,36,73,46
,1.0,1,Pcs,1.0,80.0,37,73,46
,1.0,1,Pcs,1.0,200.0,39,73,46
,1.0,1,Pcs,1.0,30.0,40,73,46
,1.0,1,Pcs,1.0,200.0,41,73,46
,1.0,1,Pcs,1.0,0.0,42,73,46
,1.0,1,Pcs,1.0,500.0,43,73,46
,1.0,1,Pcs,1.0,50.0,45,73,46
,1.0,1,Pcs,1.0,500.0,47,73,46
,1.0,1,Pcs,1.0,133.0,48,73,46
,1.0,1,Pcs,1.0,500.0,49,73,46
,1.0,1,Pcs,1.0,0.0,50,73,46
,1.0,1,Pcs,1.0,7.0,51,73,46
,1.0,1,Pcs,1.0,100.0,52,73,46
,1.0,1,Pcs,1.0,50.0,54,73,46
,1.0,1,Pcs,1.0,100.0,59,73,46
,1.0,1,Pcs,1.0,150.0,63,73,46
,1.0,1,Pcs,1.0,500.0,64,73,46
,1.0,1,Pcs,1.0,224.0,66,73,46
,1.0,1,Pcs,1.0,462.0,69,73,46
,1.0,1,Pcs,1.0,500.0,70,73,46
,1.0,1,Pcs,1.0,80.0,71,73,46
,1.0,1,Pcs,1.0,487.0,72,73,46
,1.0,1,Pcs,1.0,67.0,73,73,46
,1.0,1,Pcs,1.0,431.0,74,73,46
,1.0,1,Pcs,1.0,61.0,75,73,46
,1.0,1,Pcs,1.0,60.0,76,73,46
,1.0,1,Pcs,1.0,500.0,77,73,46
,1.0,1,Pcs,1.0,45.0,78,73,46
,1.0,1,Pcs,1.0,30.0,79,73,46
,1.0,1,Pcs,1.0,500.0,80,73,46
,1.0,1,Pcs,1.0,80.0,82,73,46
,1.0,1,Pcs,1.0,15.0,83,73,46
,1.0,1,Pcs,1.0,500.0,84,73,46
,1.0,1,Pcs,1.0,300.0,89,73,46
,1.0,1,Pcs,1.0,500.0,90,73,46
,1.0,1,Pcs,1.0,120.0,91,73,46
,1.0,1,Pcs,1.0,500.0,92,73,46
,1.0,1,Pcs,1.0,13.0,93,73,46
,1.0,1,Pcs,1.0,500.0,94,73,46
,1.0,1,Pcs,1.0,125.0,95,73,46
,1.0,1,Pcs,1.0,498.0,97,73,46
,1.0,1,Pcs,1.0,84.0,98,73,46
,1.0,1,Pcs,1.0,100.0,101,73,46
,1.0,1,Pcs,1.0,500.0,102,73,46
,1.0,1,Pcs,1.0,65.0,104,73,46
,1.0,1,Pcs,1.0,41.0,106,73,46
,1.0,1,Pcs,1.0,400.0,111,73,46
,1.0,1,Pcs,1.0,200.0,114,73,46
,1.0,1,Pcs,1.0,166.0,119,73,46
,1.0,1,Pcs,1.0,500.0,123,73,46
,1.0,1,Pcs,1.0,50.0,124,73,46
,1.0,1,Pcs,1.0,0.0,170,73,46
,1.0,1,Pcs,1.0,83.0,171,73,46
,1.0,1,Point,1.0,40859756.0,176,73,46
,1.0,1,Point,1.0,11859756.0,179,73,46
,1.0,1,Pcs,1.0,400.0,203,73,46
,1.0,1,Pcs,1.0,800.0,0,74,46
,1.0,1,Pcs,1.0,50.0,20,74,46
,1.0,1,Pcs,1.0,200.0,22,74,46
,1.0,1,Pcs,1.0,150.0,29,74,46
,1.0,1,Pcs,1.0,960.0,36,74,46
,1.0,1,Pcs,1.0,80.0,37,74,46
,1.0,1,Pcs,1.0,200.0,39,74,46
,1.0,1,Pcs,1.0,30.0,40,74,46
,1.0,1,Pcs,1.0,200.0,41,74,46
,1.0,1,Pcs,1.0,0.0,42,74,46
,1.0,1,Pcs,1.0,500.0,43,74,46
,1.0,1,Pcs,1.0,43.0,45,74,46
,1.0,1,Pcs,1.0,500.0,47,74,46
,1.0,1,Pcs,1.0,200.0,48,74,46
,1.0,1,Pcs,1.0,500.0,49,74,46
,1.0,1,Pcs,1.0,18.0,50,74,46
,1.0,1,Pcs,1.0,10.0,51,74,46
,1.0,1,Pcs,1.0,100.0,52,74,46
,1.0,1,Pcs,1.0,50.0,54,74,46
,1.0,1,Pcs,1.0,100.0,59,74,46
,1.0,1,Pcs,1.0,240.0,63,74,46
,1.0,1,Pcs,1.0,500.0,64,74,46
,1.0,1,Pcs,1.0,356.0,66,74,46
,1.0,1,Pcs,1.0,490.0,69,74,46
,1.0,1,Pcs,1.0,500.0,70,74,46
,1.0,1,Pcs,1.0,80.0,71,74,46
,1.0,1,Pcs,1.0,500.0,72,74,46
,1.0,1,Pcs,1.0,70.0,73,74,46
,1.0,1,Pcs,1.0,500.0,74,74,46
,1.0,1,Pcs,1.0,75.0,75,74,46
,1.0,1,Pcs,1.0,60.0,76,74,46
,1.0,1,Pcs,1.0,500.0,77,74,46
,1.0,1,Pcs,1.0,45.0,78,74,46
,1.0,1,Pcs,1.0,30.0,79,74,46
,1.0,1,Pcs,1.0,500.0,80,74,46
,1.0,1,Pcs,1.0,80.0,82,74,46
,1.0,1,Pcs,1.0,15.0,83,74,46
,1.0,1,Pcs,1.0,500.0,84,74,46
,1.0,1,Pcs,1.0,300.0,89,74,46
,1.0,1,Pcs,1.0,500.0,90,74,46
,1.0,1,Pcs,1.0,120.0,91,74,46
,1.0,1,Pcs,1.0,500.0,92,74,46
,1.0,1,Pcs,1.0,53.0,93,74,46
,1.0,1,Pcs,1.0,452.0,94,74,46
,1.0,1,Pcs,1.0,140.0,95,74,46
,1.0,1,Pcs,1.0,500.0,97,74,46
,1.0,1,Pcs,1.0,116.0,98,74,46
,1.0,1,Pcs,1.0,42.0,101,74,46
,1.0,1,Pcs,1.0,500.0,102,74,46
,1.0,1,Pcs,1.0,64.0,104,74,46
,1.0,1,Pcs,1.0,80.0,106,74,46
,1.0,1,Pcs,1.0,400.0,111,74,46
,1.0,1,Pcs,1.0,200.0,114,74,46
,1.0,1,Pcs,1.0,0.0,119,74,46
,1.0,1,Pcs,1.0,500.0,123,74,46
,1.0,1,Pcs,1.0,50.0,124,74,46
,1.0,1,Pcs,1.0,0.0,170,74,46
,1.0,1,Pcs,1.0,140.0,171,74,46
,1.0,1,Point,1.0,42175134.0,176,74,46
,1.0,1,Point,1.0,13175134.0,179,74,46
,1.0,1,Pcs,1.0,400.0,203,74,46
,1.0,1,Pcs,1.0,799.0,0,75,46
,1.0,1,Pcs,1.0,50.0,20,75,46
,1.0,1,Pcs,1.0,200.0,22,75,46
,1.0,1,Pcs,1.0,150.0,29,75,46
,1.0,1,Pcs,1.0,10.0,36,75,46
,1.0,1,Pcs,1.0,80.0,37,75,46
,1.0,1,Pcs,1.0,200.0,39,75,46
,1.0,1,Pcs,1.0,30.0,40,75,46
,1.0,1,Pcs,1.0,200.0,41,75,46
,1.0,1,Pcs,1.0,17.0,42,75,46
,1.0,1,Pcs,1.0,500.0,43,75,46
,1.0,1,Pcs,1.0,50.0,45,75,46
,1.0,1,Pcs,1.0,480.0,47,75,46
,1.0,1,Pcs,1.0,150.0,48,75,46
,1.0,1,Pcs,1.0,500.0,49,75,46
,1.0,1,Pcs,1.0,35.0,50,75,46
,1.0,1,Pcs,1.0,67.0,51,75,46
,1.0,1,Pcs,1.0,100.0,52,75,46
,1.0,1,Pcs,1.0,50.0,54,75,46
,1.0,1,Pcs,1.0,100.0,59,75,46
,1.0,1,Pcs,1.0,65.0,63,75,46
,1.0,1,Pcs,1.0,500.0,64,75,46
,1.0,1,Pcs,1.0,400.0,66,75,46
,1.0,1,Pcs,1.0,500.0,69,75,46
,1.0,1,Pcs,1.0,500.0,70,75,46
,1.0,1,Pcs,1.0,80.0,71,75,46
,1.0,1,Pcs,1.0,260.0,72,75,46
,1.0,1,Pcs,1.0,80.0,73,75,46
,1.0,1,Pcs,1.0,500.0,74,75,46
,1.0,1,Pcs,1.0,45.0,75,75,46
