line,locked_days,is_line,plant
,2.0,False,96
,2.0,False,97
,2.0,False,99
,2.0,False,100
,2.0,False,101
,2.0,False,102
,2.0,False,103
,2.0,False,104
,2.0,False,105
,2.0,False,106
,2.0,False,107
,2.0,False,108
,2.0,False,109
,2.0,False,110
,2.0,False,111
,2.0,False,112
,2.0,False,113
,2.0,False,114
,2.0,False,115
,2.0,False,116
,2.0,False,117
,2.0,False,118
,2.0,False,119
,2.0,False,120
,2.0,False,121
,2.0,False,122
,2.0,False,123
,2.0,False,124
,2.0,False,125
,2.0,False,126
,2.0,False,127
,2.0,False,128
,2.0,False,129
,2.0,False,130
,2.0,False,131
,2.0,False,132
,2.0,False,133
,2.0,False,134
,2.0,False,135
,2.0,False,136
,2.0,False,137
,2.0,False,138
,2.0,False,139
,2.0,False,140
,2.0,False,141
,2.0,False,142
,2.0,False,0
,2.0,False,1
,2.0,False,2
,2.0,False,3
,2.0,False,4
,2.0,False,5
,2.0,False,6
,2.0,False,7
,2.0,False,8
,2.0,False,9
,2.0,False,10
,2.0,False,11
,2.0,False,12
,2.0,False,13
,2.0,False,14
,2.0,False,15
,2.0,False,16
,2.0,False,17
,2.0,False,18
,2.0,False,19
,2.0,False,20
,2.0,False,21
,2.0,False,22
,2.0,False,23
,2.0,False,24
,2.0,False,25
,2.0,False,26
,2.0,False,27
,2.0,False,28
,2.0,False,29
,2.0,False,30
,2.0,False,31
,2.0,False,32
,2.0,False,33
,2.0,False,34
,2.0,False,35
,2.0,False,36
,2.0,False,37
,2.0,False,38
,2.0,False,39
,2.0,False,40
,2.0,False,41
,2.0,False,42
,2.0,False,43
,1.0,False,44
,1.0,False,45
83,1.0,True,46
,2.0,False,46
7,1.0,True,48
,2.0,False,48
FAT336,1.0,True,49
FAT040,1.0,True,49
,2.0,False,49
SMT_111,1.0,True,50
SMT_78,1.0,True,50
,2.0,False,50
,1.0,False,51
SMT235,1.0,True,52
RCU,1.0,True,52
A25,1.0,True,52
A24,1.0,True,52
A23,1.0,True,52
A22,1.0,True,52
A21,1.0,True,52
A19,1.0,True,52
A18,1.0,True,52
A17,1.0,True,52
A16,1.0,True,52
A15,1.0,True,52
A13,1.0,True,52
A12,1.0,True,52
A11,1.0,True,52
A10,1.0,True,52
A09,1.0,True,52
A08,1.0,True,52
A07,1.0,True,52
A06,1.0,True,52
A05,1.0,True,52
A04,1.0,True,52
A03,1.0,True,52
A02,1.0,True,52
A01,1.0,True,52
,2.0,False,52
BG11,1.0,True,53
BG10,1.0,True,53
BG9,1.0,True,53
BG8,1.0,True,53
BG7,1.0,True,53
BG6,1.0,True,53
45,1.0,True,53
42,1.0,True,53
41,1.0,True,53
40,1.0,True,53
39,1.0,True,53
38,1.0,True,53
37,1.0,True,53
36,1.0,True,53
35,1.0,True,53
34,1.0,True,53
33,1.0,True,53
32,1.0,True,53
30,1.0,True,53
29,1.0,True,53
28,1.0,True,53
27,1.0,True,53
10,1.0,True,53
9,1.0,True,53
8,1.0,True,53
7,1.0,True,53
6,1.0,True,53
5,1.0,True,53
4,1.0,True,53
2,1.0,True,53
,2.0,False,53
,2.0,False,54
,2.0,False,55
,2.0,False,56
,2.0,False,57
,2.0,False,58
,2.0,False,59
,2.0,False,60
,2.0,False,61
,2.0,False,62
,2.0,False,63
,2.0,False,64
,2.0,False,65
,2.0,False,66
,2.0,False,67
,2.0,False,68
,2.0,False,69
,2.0,False,70
,2.0,False,71
,2.0,False,72
,2.0,False,73
,2.0,False,74
,2.0,False,75
,2.0,False,76
,2.0,False,77
,2.0,False,78
,2.0,False,79
,2.0,False,80
,2.0,False,81
,2.0,False,82
,2.0,False,83
,2.0,False,84
,2.0,False,85
,2.0,False,86
,2.0,False,87
,2.0,False,88
,2.0,False,89
,2.0,False,90
,2.0,False,91
,2.0,False,92
,2.0,False,93
,2.0,False,94
,2.0,False,95
,2.0,False,47
