qty,period,item_code,plant
1425000.0,72,8442,78
685500.0,101,8442,78
4803000.0,129,8442,78
138000.0,136,8442,78
4590000.0,143,8442,78
3019500.0,150,8442,78
873000.0,157,8442,78
2623500.0,164,8442,78
1080000.0,72,8496,78
1980000.0,81,8496,78
4227000.0,129,8496,78
666000.0,136,8496,78
2052000.0,143,8496,78
19500.0,72,8600,78
57000.0,143,8600,78
3374682.0,72,8758,78
4896000.0,99,8758,78
354000.0,72,8813,78
1359000.0,81,8813,78
16038000.0,83,8813,78
44733000.0,85,8813,78
180000.0,86,8813,78
28671000.0,115,8813,78
135663000.0,143,8813,78
331941.0,72,8842,78
587700.0,78,8842,78
4627500.0,72,9044,78
839400.0,73,9044,78
2400.0,76,9044,78
893400.0,77,9044,78
879000.0,78,9044,78
933600.0,80,9044,78
5940000.0,82,9044,78
987600.0,84,9044,78
911400.0,85,9044,78
666600.0,87,9044,78
859800.0,88,9044,78
2029800.0,89,9044,78
1113000.0,92,9044,78
1097400.0,93,9044,78
300000.0,95,9044,78
1967400.0,96,9044,78
2605800.0,101,9044,78
3261600.0,108,9044,78
7575600.0,115,9044,78
1404600.0,122,9044,78
22596000.0,129,9044,78
127200.0,136,9044,78
13690200.0,143,9044,78
2044800.0,150,9044,78
6859200.0,157,9044,78
454800.0,164,9044,78
64800.0,72,9096,78
417600.0,157,9096,78
30241.0,72,9270,78
2679.0,72,9298,78
24000.0,79,9298,78
30300.0,115,9298,78
36000.0,143,9298,78
54000.0,164,9298,78
2422.0,72,9560,78
2416.0,143,9560,78
144.0,72,9611,78
144.0,84,9611,78
173.0,91,9611,78
288.0,93,9611,78
519.0,95,9611,78
808.0,101,9611,78
520.0,72,9647,78
30000.0,72,9750,78
134400.0,86,9750,78
828600.0,88,9750,78
365100.0,108,9750,78
2700000.0,115,9750,78
1500000.0,122,9750,78
182100.0,129,9750,78
300000.0,143,9750,78
105300.0,72,9752,78
150300.0,86,9752,78
306000.0,115,9752,78
306000.0,143,9752,78
148800.0,72,9754,78
300000.0,86,9754,78
600000.0,115,9754,78
796500.0,129,9754,78
900000.0,143,9754,78
427500.0,72,9757,78
600000.0,86,9757,78
900000.0,115,9757,78
2700.0,72,9758,78
92700.0,86,9758,78
87855.0,72,9762,78
60000.0,86,9762,78
12000.0,87,9762,78
16800.0,94,9762,78
9600.0,101,9762,78
85200.0,115,9762,78
167700.0,129,9762,78
156000.0,143,9762,78
102000.0,72,9880,78
120000.0,74,9880,78
120000.0,82,9880,78
16500.0,94,9880,78
103500.0,96,9880,78
120000.0,100,9880,78
252000.0,108,9880,78
237000.0,115,9880,78
96000.0,122,9880,78
103500.0,129,9880,78
135000.0,136,9880,78
150000.0,143,9880,78
720.0,73,7422,78
3000.0,75,7422,78
72.0,73,7450,78
852.0,75,7450,78
137.0,73,10163,78
84.0,75,10163,78
59.0,73,10205,78
84.0,75,10205,78
450.0,73,10520,78
90.0,73,10535,78
588.0,75,10535,78
1500.0,73,11263,78
1500.0,84,11263,78
48750.0,115,11263,78
31500.0,150,11263,78
5.0,74,344,78
2.0,75,344,78
4.0,78,344,78
1.0,82,344,78
1.0,83,344,78
1.0,84,344,78
1.0,85,344,78
1.0,86,344,78
3.0,87,344,78
1.0,88,344,78
1.0,94,344,78
1.0,101,344,78
10.0,108,344,78
30.0,122,344,78
3.0,150,344,78
2.0,157,344,78
2.0,164,344,78
121.0,74,509,78
122.0,78,509,78
12.0,79,509,78
12.0,80,509,78
13.0,81,509,78
17.0,82,509,78
17.0,83,509,78
17.0,84,509,78
16.0,85,509,78
17.0,86,509,78
307.0,87,509,78
17.0,88,509,78
267.0,94,509,78
212.0,101,509,78
278.0,108,509,78
333.0,115,509,78
323.0,122,509,78
300.0,129,509,78
61.0,74,532,78
34.0,75,532,78
47.0,78,532,78
12.0,79,532,78
12.0,80,532,78
13.0,81,532,78
31.0,82,532,78
30.0,83,532,78
30.0,84,532,78
30.0,85,532,78
30.0,86,532,78
120.0,87,532,78
32.0,88,532,78
26.0,94,532,78
85.0,101,532,78
62.0,108,532,78
24.0,115,532,78
132.0,122,532,78
14.0,129,532,78
49.0,136,532,78
14.0,143,532,78
633.0,74,559,78
42.0,75,559,78
519.0,74,585,78
147.0,75,585,78
1.0,74,1547,78
10.0,75,1547,78
13.0,78,1547,78
1.0,79,1547,78
1.0,80,1547,78
1.0,81,1547,78
1.0,82,1547,78
14.0,87,1547,78
5.0,94,1547,78
15.0,101,1547,78
24.0,108,1547,78
1.0,74,1680,78
6.0,75,1680,78
16.0,78,1680,78
