orig_production_cost,lot_size,fixed_days_supply,lead_time,component_holding_cost,production_cost,min_production,max_production,item_code,plant
23.7,5,10,4,0.38306172000000005,24.08306172,1000,1500,652,117
23.7,5,10,4,0.38306172000000005,24.08306172,1000,1500,652,117
8.58,6,1,7,0,8.58,240,1200,3232,117
8.58,6,1,7,0,8.58,240,1200,3232,117
8.88,6,3,6,0,8.88,240,1200,3233,117
7.11,8,1,6,0,7.11,240,2000,2802,117
12.44974788,10,3,7,0.3619,12.81164788,10,200,666,12
12.44974788,10,3,7,0.3619,12.81164788,10,200,666,12
4.46011218,1,7,4,0.19772,4.657832180000001,1,500,701,12
147.9189865,1,7,7,13.056400000000004,160.9753865,1,30,450,12
134.3904287,1,14,7,10.3453,144.7357287,1,500,353,12
107.1360933,1,14,7,8.1732,115.3092933,1,500,356,12
72.21399804,1,7,7,4.6907,76.90469804,1,20,371,12
13.0313295,1,14,7,0.973,14.0043295,1,50,539,12
24.35390278,1,5,3,0.983472,25.33737478,5,500,672,12
21.85664686,10,3,3,0.983472,22.84011886,50,1000,673,12
21.85664686,10,3,3,0.983472,22.84011886,50,1000,673,12
21.85664686,10,3,3,0.983472,22.84011886,50,1000,673,12
6.62305644,2,3,7,0.043399999999999994,6.66645644,50,200,677,12
1.00972608,2,3,7,0.0441,1.05382608,50,1200,678,12
2.172775596,1,7,3,0.078372,2.251147596,1,200,684,12
12.53506774,1,3,3,0.43567199999999995,12.97073974,1,349,691,12
12.53506774,1,3,3,0.43567199999999995,12.97073974,1,349,691,12
532.6886981,1,14,7,34.976200000000006,567.6648980800001,1,50,1618,12
879.1993736,1,7,7,33.13240000000001,912.3317735559999,1,50,2160,12
879.1993736,1,7,7,33.13240000000001,912.3317735559999,1,50,2160,12
159.2822076,1,7,7,8.603,167.8852076,1,50,1719,12
948.1941604,1,14,7,30.0566,978.2507604,1,50,1863,12
961.9222507,1,7,7,28.393400000000003,990.3156506600001,1,50,1864,12
381.6129037,1,14,7,29.761200000000002,411.37410367200005,1,50,1865,12
455.1545962,1,7,7,28.957600000000003,484.1121962,1,50,1866,12
152.4974052,1,7,7,8.603,161.1004052,1,50,1773,12
86.40322636,10,5,7,5.5306999999999995,91.93392636,10,50,2131,12
86.40322636,10,5,7,5.5306999999999995,91.93392636,10,50,2131,12
85.54329269,1,10,7,6.8334,92.37669269,1,50,2132,12
14.25622825,10,5,3,0.5015999999999999,14.75782825,10,390,12681,12
2.23451811,1,5,3,0.07769999999999999,2.31221811,1,1000,12683,12
