proportion,cumulate_production,inclusive,item_code,plant,start_date,end_date
100.0,0,1,6829,22,143,164
30.0,0,1,749,22,143,164
30.0,0,1,747,22,143,164
30.0,0,1,743,22,143,164
30.0,0,1,742,22,143,164
30.0,0,1,1766,22,143,164
30.0,0,1,1759,22,143,164
30.0,0,1,1640,22,143,164
30.0,0,1,1635,22,143,164
30.0,0,1,1634,22,143,164
30.0,0,1,1055,22,143,164
30.0,0,1,1054,22,143,164
30.0,0,1,856,22,143,164
30.0,0,1,838,22,143,164
30.0,0,1,836,22,143,164
30.0,0,1,772,22,143,164
30.0,0,1,757,22,143,164
30.0,0,1,1756,22,143,164
30.0,0,1,1672,22,143,164
100.0,0,1,3236,22,143,164
100.0,0,1,3346,22,143,164
100.0,0,1,7046,22,143,164
100.0,0,1,1300,22,143,164
100.0,0,1,1294,22,143,164
100.0,0,1,1295,22,143,164
100.0,0,1,1296,22,143,164
100.0,0,1,798,22,143,164
100.0,0,1,6808,22,143,164
100.0,0,1,7169,22,143,164
100.0,0,1,6807,22,143,164
100.0,0,1,6793,22,143,164
100.0,0,1,6791,22,143,164
100.0,0,1,932,22,143,164
40.0,0,1,7062,22,143,164
60.0,0,1,7303,22,143,164
30.0,0,1,1599,22,143,164
30.0,0,1,1633,22,143,164
30.0,0,1,1600,22,143,164
100.0,0,1,6806,22,143,164
100.0,0,1,6801,22,143,164
100.0,0,1,6798,22,143,164
100.0,0,1,6796,22,143,164
30.0,0,1,1901,22,143,164
0.0,0,1,1908,22,143,164
30.0,0,1,1900,22,143,164
30.0,0,1,1899,22,143,164
0.0,0,1,1885,22,143,164
30.0,0,1,1705,22,143,164
30.0,0,1,1648,22,143,164
30.0,0,1,1643,22,143,164
100.0,0,1,6839,22,143,164
100.0,0,1,6838,22,143,164
100.0,0,1,6837,22,143,164
100.0,0,1,7157,22,143,164
100.0,0,1,7167,22,143,164
100.0,0,1,7170,22,143,164
100.0,0,1,7228,22,143,164
100.0,0,1,7230,22,143,164
100.0,0,1,7229,22,143,164
100.0,0,1,6862,22,143,164
100.0,0,1,778,22,143,164
100.0,0,1,6799,22,143,164
30.0,0,1,1073,22,143,164
30.0,0,1,1071,22,143,164
30.0,0,1,1596,22,143,164
30.0,0,1,1072,22,143,164
30.0,0,1,1075,22,143,164
100.0,0,1,6874,22,143,164
100.0,0,1,7006,22,143,164
100.0,0,1,7001,22,143,164
30.0,0,1,1074,22,143,164
100.0,0,1,6953,22,143,164
30.0,0,1,7227,22,143,164
65.0,0,1,7007,22,143,164
65.0,0,1,6934,22,143,164
60.0,0,1,6994,22,143,164
100.0,0,1,7011,22,143,164
40.0,0,1,7012,22,143,164
100.0,0,1,7067,22,143,164
100.0,0,1,6997,22,143,164
30.0,0,1,1070,22,143,164
100.0,0,1,961,22,143,164
100.0,0,1,6802,22,143,164
