plant,period
96,72
97,72
99,72
100,72
101,72
103,72
104,72
105,72
106,72
107,72
109,72
110,72
112,72
113,72
114,72
116,72
119,72
120,72
121,72
122,72
123,72
124,72
125,72
126,72
127,72
128,72
129,72
130,72
131,72
133,72
134,72
135,72
136,72
137,72
138,72
139,72
140,72
141,72
142,72
0,72
1,72
2,72
4,72
5,72
6,72
17,72
18,72
19,72
20,72
21,72
23,72
24,72
25,72
26,72
28,72
29,72
30,72
32,72
33,72
35,72
37,72
38,72
39,72
40,72
41,72
42,72
43,72
44,72
45,72
46,72
46,72
48,72
49,72
49,72
50,72
51,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
52,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
53,72
54,72
55,72
56,72
57,72
60,72
61,72
62,72
63,72
64,72
65,72
66,72
67,72
68,72
69,72
70,72
71,72
72,72
73,72
74,72
75,72
76,72
77,72
78,72
79,72
80,72
84,72
87,72
89,72
90,72
91,72
92,72
93,72
94,72
95,72
47,72
96,73
97,73
99,73
100,73
101,73
102,73
103,73
104,73
105,73
106,73
107,73
108,73
109,73
110,73
111,73
112,73
113,73
114,73
115,73
116,73
117,73
118,73
119,73
120,73
121,73
122,73
123,73
124,73
125,73
126,73
127,73
128,73
129,73
130,73
131,73
132,73
133,73
134,73
135,73
136,73
137,73
138,73
139,73
140,73
141,73
142,73
0,73
1,73
2,73
3,73
4,73
5,73
6,73
7,73
8,73
9,73
10,73
11,73
12,73
13,73
14,73
15,73
16,73
17,73
18,73
19,73
20,73
21,73
22,73
23,73
24,73
25,73
26,73
27,73
28,73
29,73
30,73
31,73
32,73
33,73
34,73
35,73
36,73
37,73
38,73
39,73
40,73
41,73
42,73
43,73
44,73
45,73
46,73
46,73
48,73
48,73
49,73
49,73
49,73
50,73
50,73
50,73
51,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
52,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
53,73
54,73
55,73
56,73
57,73
58,73
59,73
60,73
61,73
62,73
63,73
64,73
65,73
66,73
67,73
68,73
69,73
70,73
71,73
72,73
73,73
74,73
75,73
76,73
77,73
78,73
79,73
80,73
81,73
82,73
83,73
84,73
85,73
86,73
87,73
88,73
89,73
90,73
91,73
92,73
93,73
94,73
95,73
47,73
96,74
97,74
99,74
100,74
101,74
102,74
103,74
104,74
105,74
106,74
107,74
108,74
109,74
110,74
111,74
112,74
113,74
114,74
115,74
116,74
117,74
118,74
119,74
120,74
121,74
122,74
123,74
124,74
125,74
126,74
127,74
128,74
129,74
130,74
131,74
132,74
133,74
134,74
135,74
136,74
137,74
138,74
139,74
140,74
141,74
142,74
0,74
1,74
2,74
3,74
4,74
5,74
6,74
7,74
8,74
9,74
10,74
11,74
12,74
13,74
14,74
15,74
16,74
17,74
18,74
19,74
20,74
21,74
22,74
23,74
24,74
25,74
26,74
27,74
28,74
29,74
30,74
31,74
32,74
33,74
34,74
35,74
36,74
37,74
38,74
39,74
40,74
41,74
42,74
43,74
44,74
45,74
46,74
46,74
48,74
48,74
49,74
49,74
49,74
50,74
50,74
50,74
51,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
52,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
53,74
54,74
55,74
56,74
57,74
58,74
59,74
60,74
61,74
62,74
63,74
64,74
65,74
66,74
67,74
68,74
69,74
70,74
71,74
72,74
73,74
74,74
75,74
76,74
77,74
78,74
79,74
80,74
81,74
82,74
83,74
84,74
85,74
86,74
87,74
88,74
89,74
90,74
91,74
92,74
93,74
94,74
95,74
47,74
96,75
97,75
99,75
100,75
101,75
102,75
103,75
104,75
105,75
106,75
107,75
108,75
109,75
110,75
111,75
112,75
113,75
114,75
115,75
116,75
117,75
118,75
119,75
120,75
121,75
122,75
123,75
124,75
125,75
126,75
127,75
128,75
129,75
130,75
131,75
132,75
133,75
134,75
135,75
136,75
137,75
138,75
139,75
140,75
141,75
142,75
0,75
1,75
2,75
3,75
4,75
5,75
6,75
7,75
8,75
9,75
10,75
11,75
12,75
13,75
14,75
15,75
16,75
17,75
18,75
19,75
20,75
21,75
22,75
23,75
24,75
25,75
26,75
27,75
28,75
29,75
30,75
31,75
32,75
33,75
34,75
35,75
36,75
37,75
38,75
39,75
40,75
41,75
42,75
43,75
44,75
45,75
46,75
46,75
48,75
48,75
49,75
49,75
49,75
50,75
50,75
50,75
51,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
52,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
53,75
54,75
55,75
56,75
57,75
58,75
59,75
60,75
61,75
62,75
63,75
64,75
65,75
66,75
67,75
68,75
69,75
70,75
71,75
72,75
73,75
74,75
75,75
76,75
77,75
78,75
79,75
80,75
81,75
82,75
83,75
84,75
85,75
86,75
87,75
88,75
89,75
90,75
91,75
92,75
93,75
94,75
95,75
47,75
96,76
97,76
99,76
100,76
101,76
102,76
103,76
104,76
105,76
106,76
107,76
108,76
109,76
110,76
111,76
112,76
113,76
114,76
115,76
116,76
117,76
118,76
119,76
120,76
121,76
122,76
123,76
124,76
125,76
126,76
127,76
128,76
129,76
130,76
131,76
132,76
133,76
134,76
135,76
136,76
137,76
138,76
139,76
140,76
141,76
142,76
0,76
1,76
2,76
3,76
4,76
5,76
6,76
7,76
8,76
9,76
10,76
11,76
12,76
13,76
14,76
15,76
16,76
17,76
18,76
19,76
20,76
21,76
22,76
23,76
24,76
25,76
26,76
27,76
28,76
29,76
30,76
31,76
32,76
33,76
34,76
35,76
36,76
37,76
38,76
39,76
40,76
41,76
42,76
43,76
44,76
45,76
46,76
46,76
48,76
48,76
49,76
49,76
49,76
50,76
50,76
50,76
51,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
52,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
53,76
54,76
55,76
56,76
57,76
58,76
59,76
60,76
61,76
62,76
63,76
64,76
65,76
66,76
67,76
68,76
69,76
70,76
71,76
72,76
73,76
74,76
75,76
76,76
77,76
78,76
79,76
80,76
81,76
82,76
83,76
84,76
85,76
86,76
87,76
88,76
89,76
90,76
91,76
92,76
93,76
94,76
95,76
47,76
96,77
97,77
99,77
100,77
101,77
102,77
103,77
104,77
105,77
106,77
107,77
108,77
109,77
110,77
111,77
112,77
113,77
114,77
115,77
116,77
117,77
118,77
119,77
120,77
121,77
122,77
123,77
124,77
125,77
126,77
127,77
128,77
129,77
130,77
131,77
132,77
133,77
134,77
135,77
136,77
137,77
138,77
139,77
140,77
141,77
142,77
0,77
1,77
2,77
3,77
4,77
5,77
6,77
7,77
8,77
9,77
10,77
11,77
12,77
13,77
14,77
15,77
16,77
17,77
18,77
19,77
20,77
21,77
22,77
23,77
24,77
25,77
26,77
27,77
28,77
29,77
30,77
31,77
32,77
33,77
34,77
35,77
36,77
37,77
38,77
39,77
40,77
41,77
42,77
43,77
44,77
45,77
46,77
46,77
48,77
48,77
49,77
49,77
49,77
50,77
50,77
50,77
51,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
52,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
53,77
54,77
55,77
56,77
57,77
58,77
59,77
60,77
61,77
62,77
63,77
64,77
65,77
66,77
67,77
68,77
69,77
70,77
71,77
72,77
73,77
74,77
75,77
76,77
77,77
78,77
79,77
80,77
81,77
82,77
83,77
84,77
85,77
86,77
87,77
88,77
89,77
90,77
91,77
92,77
93,77
94,77
95,77
47,77
96,78
97,78
99,78
100,78
101,78
103,78
104,78
105,78
106,78
107,78
109,78
110,78
111,78
112,78
113,78
114,78
115,78
116,78
117,78
119,78
120,78
121,78
122,78
123,78
124,78
125,78
126,78
127,78
128,78
129,78
130,78
131,78
132,78
133,78
134,78
135,78
136,78
137,78
138,78
139,78
140,78
141,78
142,78
0,78
1,78
2,78
3,78
4,78
5,78
6,78
7,78
9,78
10,78
11,78
12,78
13,78
14,78
15,78
17,78
18,78
19,78
20,78
21,78
22,78
23,78
24,78
25,78
26,78
28,78
29,78
30,78
32,78
33,78
34,78
35,78
36,78
37,78
38,78
39,78
40,78
41,78
42,78
43,78
44,78
45,78
46,78
46,78
48,78
48,78
49,78
49,78
49,78
50,78
50,78
50,78
51,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
52,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
53,78
54,78
55,78
56,78
57,78
58,78
60,78
61,78
62,78
63,78
64,78
65,78
66,78
67,78
68,78
69,78
70,78
71,78
72,78
73,78
74,78
75,78
76,78
77,78
78,78
79,78
80,78
81,78
84,78
85,78
86,78
87,78
88,78
89,78
90,78
91,78
92,78
93,78
94,78
95,78
47,78
96,79
97,79
99,79
100,79
101,79
103,79
104,79
105,79
106,79
107,79
109,79
110,79
112,79
113,79
114,79
116,79
119,79
120,79
121,79
122,79
123,79
124,79
125,79
126,79
127,79
128,79
129,79
130,79
131,79
133,79
134,79
135,79
136,79
137,79
138,79
139,79
140,79
141,79
142,79
0,79
1,79
2,79
4,79
5,79
6,79
17,79
18,79
19,79
20,79
21,79
23,79
24,79
25,79
26,79
28,79
29,79
30,79
32,79
33,79
35,79
37,79
38,79
39,79
40,79
41,79
42,79
43,79
44,79
45,79
46,79
48,79
49,79
49,79
50,79
51,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
52,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
53,79
54,79
55,79
56,79
57,79
60,79
61,79
62,79
63,79
64,79
65,79
66,79
67,79
68,79
69,79
70,79
71,79
72,79
73,79
74,79
75,79
76,79
77,79
78,79
79,79
80,79
87,79
89,79
90,79
91,79
92,79
93,79
94,79
95,79
47,79
96,80
97,80
99,80
100,80
101,80
102,80
103,80
104,80
105,80
106,80
107,80
108,80
109,80
110,80
111,80
112,80
113,80
114,80
115,80
116,80
117,80
118,80
119,80
120,80
121,80
122,80
123,80
124,80
125,80
126,80
127,80
128,80
129,80
130,80
131,80
132,80
133,80
134,80
135,80
136,80
137,80
138,80
139,80
140,80
141,80
142,80
0,80
1,80
2,80
3,80
4,80
5,80
6,80
7,80
8,80
9,80
10,80
11,80
12,80
13,80
14,80
15,80
16,80
17,80
18,80
19,80
20,80
21,80
22,80
23,80
24,80
25,80
26,80
27,80
28,80
29,80
30,80
31,80
32,80
33,80
34,80
35,80
36,80
37,80
38,80
39,80
40,80
41,80
42,80
43,80
44,80
45,80
46,80
46,80
48,80
48,80
49,80
49,80
49,80
50,80
50,80
50,80
51,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
52,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
53,80
54,80
55,80
56,80
57,80
58,80
59,80
60,80
61,80
62,80
63,80
