qty,plant,assembly,component
2.0,55,4173,3979
1.0,46,575,3979
1.0,46,539,3979
1.0,46,538,3979
1.0,46,537,3979
1.0,46,536,3979
1.0,46,533,3979
2.0,55,4173,3930
1.0,138,4126,3930
1.0,55,4126,3930
1.0,137,4104,3930
1.0,54,4104,3930
4.0,55,4173,3859
2.0,46,539,3859
2.0,46,538,3859
1.0,55,4173,3836
1.0,54,4144,3836
1.0,138,4126,3836
1.0,55,4126,3836
1.0,55,4124,3836
1.0,53,4124,3836
1.0,54,4118,3836
1.0,137,4104,3836
1.0,54,4104,3836
1.0,137,4103,3836
1.0,54,4103,3836
1.0,46,575,3836
1.0,46,537,3836
1.0,46,536,3836
1.0,46,533,3836
1.0,55,4173,3810
2.0,55,4173,3785
4.0,54,4146,3785
4.0,54,4144,3785
4.0,54,4140,3785
4.0,55,4134,3785
4.0,55,4128,3785
3.0,138,4126,3785
3.0,55,4126,3785
4.0,55,4124,3785
4.0,53,4124,3785
4.0,55,4121,3785
4.0,54,4120,3785
4.0,54,4118,3785
4.0,54,4116,3785
3.0,137,4104,3785
3.0,54,4104,3785
3.0,137,4103,3785
3.0,54,4103,3785
2.0,169,162,3785
1.0,169,162,3785
1.0,169,120,3785
1.0,169,120,3785
1.0,41,120,3785
1.0,41,120,3785
1.0,169,119,3785
1.0,169,119,3785
1.0,167,119,3785
1.0,167,119,3785
1.0,72,119,3785
1.0,72,119,3785
1.0,41,119,3785
1.0,41,119,3785
1.0,72,95,3785
1.0,72,95,3785
3.0,55,4173,3784
1.0,54,4146,3784
4.0,196,4141,3784
4.0,53,4141,3784
1.0,54,4140,3784
1.0,55,4134,3784
1.0,55,4128,3784
3.0,138,4126,3784
3.0,55,4126,3784
1.0,55,4121,3784
1.0,54,4120,3784
1.0,54,4116,3784
4.0,196,4114,3784
4.0,53,4114,3784
4.0,196,4113,3784
4.0,53,4113,3784
4.0,196,4110,3784
4.0,53,4110,3784
4.0,196,4109,3784
4.0,53,4109,3784
3.0,137,4104,3784
3.0,54,4104,3784
3.0,137,4103,3784
3.0,54,4103,3784
4.0,196,4097,3784
4.0,53,4097,3784
4.0,46,575,3784
4.0,46,539,3784
4.0,46,538,3784
4.0,46,537,3784
4.0,46,536,3784
4.0,46,533,3784
1.0,55,4173,3754
5.0,64,594,3754
5.0,64,593,3754
3.0,61,583,3754
1.0,61,581,3754
1.0,61,580,3754
2.0,64,574,3754
2.0,64,574,3754
2.0,64,573,3754
2.0,64,573,3754
3.0,64,570,3754
3.0,3,570,3754
3.0,213,568,3754
3.0,163,568,3754
1.0,61,557,3754
1.0,64,551,3754
1.0,3,542,3754
2.0,3,523,3754
6.0,64,514,3754
1.0,64,471,3754
1.0,64,436,3754
2.0,55,4173,3727
2.0,64,594,3727
2.0,64,593,3727
4.0,61,581,3727
4.0,61,580,3727
1.0,46,575,3727
8.0,64,574,3727
8.0,64,574,3727
8.0,64,573,3727
8.0,64,573,3727
4.0,61,557,3727
1.0,46,539,3727
1.0,46,538,3727
1.0,46,537,3727
1.0,46,536,3727
1.0,46,533,3727
4.0,3,528,3727
4.0,3,523,3727
2.0,55,4173,3693
7.0,169,160,3693
1.0,169,120,3693
1.0,41,120,3693
2.0,167,109,3693
1.0,167,109,3693
2.0,156,109,3693
1.0,156,109,3693
2.0,55,4173,3689
1.0,55,4173,3656
1.0,55,4173,3514
1.0,46,575,3514
1.0,46,537,3514
1.0,46,536,3514
1.0,46,533,3514
