period,bucket,order_demand,forecast_demand_with_fr,item_code
23,0,66,0,0
24,0,2,0,0
27,0,233,0,0
28,0,216,0,0
29,0,176,0,0
30,0,3,0,0
31,0,12,0,0
36,0,18,0,0
38,0,252,0,0
39,0,258,0,0
40,0,366,0,0
41,0,399,0,0
42,0,580,0,0
44,0,1,0,0
48,0,252,0,0
52,0,196,0,0
53,0,12,0,0
56,0,1509,0,0
63,0,63,0,0
70,0,256,0,0
91,0,132,0,0
98,0,0,3,0
23,0,1,0,4
27,0,1,0,4
28,0,2,0,4
31,0,1,0,4
63,0,2,6,4
70,0,1,0,4
91,0,3,0,4
98,0,3,0,4
28,0,1,0,5
33,0,1,0,5
35,0,1,0,5
47,0,1,0,5
23,0,1,0,6
25,0,2,0,6
26,0,4,0,6
27,0,11,0,6
28,0,2,0,6
29,0,2,0,6
30,0,2,0,6
32,0,11,0,6
33,0,1,0,6
34,0,3,0,6
35,0,17,0,6
37,0,0,2,6
40,0,6,0,6
41,0,2,0,6
42,0,3,0,6
46,0,0,3,6
50,0,2,0,6
56,0,35,0,6
63,0,5,0,6
119,0,0,2,6
23,0,66,0,13
24,0,22,0,13
25,0,44,0,13
26,0,22,0,13
27,0,16,0,13
28,0,10,0,13
29,0,34,0,13
30,0,22,0,13
31,0,88,0,13
32,0,60,0,13
33,0,12,0,13
34,0,156,0,13
35,0,4,0,13
36,0,94,0,13
37,0,12,106,13
38,0,46,0,13
39,0,40,4,13
40,0,8,0,13
42,0,18,0,13
43,0,10,0,13
44,0,30,0,13
45,0,12,0,13
46,0,28,2,13
47,0,10,0,13
48,0,22,0,13
49,0,42,0,13
50,0,78,0,13
51,0,106,0,13
53,0,8,0,13
54,0,0,10,13
55,0,22,0,13
56,0,290,4,13
63,0,78,14,13
70,0,6,14,13
77,0,288,2,13
84,0,50,20,13
91,0,12,4,13
98,0,154,0,13
105,0,0,10,13
112,0,8,2,13
119,0,2,0,13
23,0,100,37,18
24,0,300,12,18
25,0,0,12,18
28,0,0,249,18
29,0,0,249,18
30,0,0,248,18
31,0,0,248,18
32,0,0,248,18
35,0,0,69,18
36,0,0,69,18
37,0,0,69,18
38,0,0,68,18
39,0,0,68,18
