period,bucket,order_demand,forecast_demand_with_fr,item_code
23,0.0,66.0,0.0,0
24,0.0,2.0,0.0,0
27,0.0,233.0,0.0,0
28,0.0,216.0,0.0,0
29,0.0,176.0,0.0,0
30,0.0,3.0,0.0,0
31,0.0,12.0,0.0,0
36,0.0,18.0,0.0,0
38,0.0,252.0,0.0,0
39,0.0,258.0,0.0,0
40,0.0,366.0,0.0,0
41,0.0,399.0,0.0,0
42,0.0,580.0,0.0,0
44,0.0,1.0,0.0,0
48,0.0,252.0,0.0,0
52,0.0,196.0,0.0,0
53,0.0,12.0,0.0,0
56,0.0,1509.0,0.0,0
63,0.0,63.0,0.0,0
70,0.0,256.0,0.0,0
91,0.0,132.0,0.0,0
98,0.0,0.0,3.0,0
23,0.0,1.0,0.0,4
27,0.0,1.0,0.0,4
28,0.0,2.0,0.0,4
31,0.0,1.0,0.0,4
63,0.0,2.0,6.0,4
70,0.0,1.0,0.0,4
91,0.0,3.0,0.0,4
98,0.0,3.0,0.0,4
28,0.0,1.0,0.0,5
33,0.0,1.0,0.0,5
35,0.0,1.0,0.0,5
36,0.0,1.0,0.0,5
47,0.0,1.0,0.0,5
23,0.0,1.0,0.0,6
25,0.0,2.0,0.0,6
26,0.0,4.0,0.0,6
27,0.0,11.0,0.0,6
28,0.0,2.0,0.0,6
29,0.0,2.0,0.0,6
30,0.0,2.0,0.0,6
32,0.0,11.0,0.0,6
33,0.0,1.0,0.0,6
34,0.0,3.0,0.0,6
35,0.0,17.0,0.0,6
37,0.0,0.0,2.0,6
40,0.0,6.0,0.0,6
41,0.0,2.0,0.0,6
42,0.0,3.0,0.0,6
46,0.0,0.0,3.0,6
50,0.0,2.0,0.0,6
56,0.0,35.0,0.0,6
63,0.0,5.0,0.0,6
119,0.0,0.0,2.0,6
23,0.0,66.0,0.0,13
24,0.0,22.0,0.0,13
25,0.0,44.0,0.0,13
26,0.0,22.0,0.0,13
27,0.0,16.0,0.0,13
28,0.0,10.0,0.0,13
29,0.0,34.0,0.0,13
30,0.0,22.0,0.0,13
31,0.0,88.0,0.0,13
32,0.0,60.0,0.0,13
33,0.0,12.0,0.0,13
34,0.0,156.0,0.0,13
35,0.0,4.0,0.0,13
36,0.0,94.0,0.0,13
37,0.0,12.0,106.0,13
38,0.0,46.0,0.0,13
39,0.0,40.0,4.0,13
40,0.0,8.0,0.0,13
42,0.0,18.0,0.0,13
43,0.0,10.0,0.0,13
44,0.0,30.0,0.0,13
45,0.0,12.0,0.0,13
46,0.0,28.0,2.0,13
47,0.0,10.0,0.0,13
48,0.0,22.0,0.0,13
49,0.0,42.0,0.0,13
50,0.0,78.0,0.0,13
51,0.0,106.0,0.0,13
53,0.0,8.0,0.0,13
54,0.0,0.0,10.0,13
55,0.0,22.0,0.0,13
56,0.0,290.0,4.0,13
63,0.0,78.0,14.0,13
70,0.0,6.0,14.0,13
77,0.0,288.0,2.0,13
84,0.0,50.0,20.0,13
91,0.0,12.0,4.0,13
98,0.0,154.0,0.0,13
105,0.0,0.0,10.0,13
112,0.0,8.0,2.0,13
119,0.0,2.0,0.0,13
23,0.0,100.0,37.0,18
24,0.0,300.0,12.0,18
25,0.0,0.0,12.0,18
28,0.0,0.0,249.0,18
29,0.0,0.0,249.0,18
30,0.0,0.0,248.0,18
31,0.0,0.0,248.0,18
32,0.0,0.0,248.0,18
35,0.0,0.0,69.0,18
36,0.0,0.0,69.0,18
37,0.0,0.0,69.0,18
38,0.0,0.0,68.0,18
39,0.0,0.0,68.0,18
42,0.0,0.0,111.0,18
43,0.0,0.0,110.0,18
44,0.0,0.0,110.0,18
45,0.0,0.0,110.0,18
46,0.0,0.0,110.0,18
24,0.0,2.0,0.0,21
26,0.0,37.0,0.0,21
33,0.0,5.0,0.0,21
37,0.0,0.0,64.0,21
42,0.0,2.0,0.0,21
44,0.0,28.0,0.0,21
46,0.0,1.0,0.0,21
47,0.0,7.0,0.0,21
48,0.0,320.0,0.0,21
49,0.0,56.0,0.0,21
55,0.0,0.0,90.0,21
56,0.0,170.0,160.0,21
63,0.0,437.0,894.0,21
70,0.0,141.0,18.0,21
112,0.0,1288.0,0.0,21
27,0.0,808.0,0.0,23
119,0.0,1999.0,0.0,26
29,0.0,10.0,0.0,27
23,10.0,21.0,3.0,34
26,11.0,14.0,2.0,34
34,12.0,18.0,1.0,34
26,11.0,3.0,0.0,35
34,12.0,1.0,0.0,35
40,13.0,3.0,0.0,35
41,14.0,3.0,0.0,35
24,0.0,58.0,0.0,36
28,0.0,10.0,0.0,36
29,0.0,12.0,0.0,36
33,0.0,62.0,0.0,36
34,0.0,2.0,0.0,36
36,0.0,10.0,0.0,36
37,0.0,18.0,0.0,36
49,0.0,12.0,0.0,36
56,0.0,40.0,0.0,36
63,0.0,0.0,4.0,36
23,7.0,50.0,1.0,39
27,8.0,135.0,1.0,39
34,9.0,177.0,0.0,39
42,10.0,51.0,0.0,39
48,11.0,94.0,0.0,39
55,12.0,152.0,0.0,39
63,13.0,36.0,0.0,39
70,14.0,3.0,0.0,39
77,15.0,144.0,0.0,39
84,16.0,25.0,2.0,39
91,17.0,6.0,2.0,39
98,18.0,77.0,1.0,39
105,19.0,0.0,18.0,39
112,20.0,4.0,17.0,39
119,21.0,1.0,38.0,39
23,17.0,40.0,2.0,40
25,18.0,44.0,3.0,40
28,19.0,66.0,1.0,40
31,20.0,34.0,0.0,40
34,21.0,57.0,2.0,40
37,22.0,53.0,3.0,40
40,23.0,38.0,3.0,40
43,24.0,56.0,3.0,40
46,25.0,42.0,3.0,40
49,26.0,71.0,3.0,40
52,27.0,22.0,3.0,40
55,28.0,84.0,2.0,40
63,30.0,83.0,17.0,40
70,33.0,63.0,23.0,40
77,35.0,72.0,20.0,40
84,37.0,59.0,21.0,40
91,40.0,80.0,28.0,40
98,42.0,80.0,22.0,40
105,44.0,64.0,23.0,40
112,47.0,60.0,22.0,40
119,49.0,110.0,40.0,40
24,7.0,4.0,0.0,42
27,8.0,0.0,1.0,42
56,12.0,1.0,1.0,42
23,0.0,16.0,0.0,43
24,0.0,16.0,0.0,43
25,0.0,24.0,0.0,43
26,0.0,76.0,0.0,43
27,0.0,28.0,0.0,43
28,0.0,8.0,0.0,43
31,0.0,184.0,0.0,43
32,0.0,88.0,0.0,43
33,0.0,212.0,0.0,43
34,0.0,64.0,0.0,43
35,0.0,152.0,0.0,43
36,0.0,60.0,0.0,43
37,0.0,8.0,16.0,43
38,0.0,48.0,0.0,43
40,0.0,40.0,32.0,43
41,0.0,20.0,0.0,43
42,0.0,8.0,0.0,43
44,0.0,20.0,0.0,43
45,0.0,124.0,0.0,43
46,0.0,8.0,16.0,43
48,0.0,264.0,0.0,43
53,0.0,200.0,0.0,43
56,0.0,350.0,16.0,43
63,0.0,8.0,20.0,43
70,0.0,12.0,20.0,43
77,0.0,0.0,8.0,43
91,0.0,64.0,0.0,43
23,-2.0,0.0,5051.0,44
24,-2.0,0.0,5050.0,44
25,-2.0,0.0,5050.0,44
26,-2.0,0.0,5050.0,44
27,-2.0,0.0,5051.0,44
23,-2.0,0.0,232877.0,46
24,-2.0,0.0,232877.0,46
25,-2.0,0.0,232877.0,46
26,-2.0,0.0,232877.0,46
27,-2.0,0.0,232878.0,46
35,-2.0,0.0,18746.0,46
36,-2.0,0.0,18746.0,46
37,-2.0,0.0,18746.0,46
38,-2.0,0.0,18746.0,46
39,-2.0,0.0,18746.0,46
40,-2.0,0.0,18746.0,46
41,-2.0,0.0,18750.0,46
42,-2.0,0.0,5374.0,46
43,-2.0,0.0,5374.0,46
44,-2.0,0.0,5374.0,46
45,-2.0,0.0,5374.0,46
46,-2.0,0.0,5374.0,46
47,-2.0,0.0,5374.0,46
48,-2.0,0.0,5379.0,46
70,-2.0,0.0,5424.0,46
105,-2.0,0.0,77907.0,46
23,-2.0,0.0,73781.0,46
24,-2.0,0.0,73781.0,46
25,-2.0,0.0,73781.0,46
26,-2.0,0.0,73781.0,46
27,-2.0,0.0,73782.0,46
35,-2.0,0.0,5939.0,46
36,-2.0,0.0,5939.0,46
37,-2.0,0.0,5939.0,46
38,-2.0,0.0,5939.0,46
39,-2.0,0.0,5939.0,46
40,-2.0,0.0,5939.0,46
41,-2.0,0.0,5940.0,46
42,-2.0,0.0,1702.0,46
43,-2.0,0.0,1702.0,46
44,-2.0,0.0,1702.0,46
45,-2.0,0.0,1702.0,46
46,-2.0,0.0,1702.0,46
47,-2.0,0.0,1702.0,46
48,-2.0,0.0,1703.0,46
70,-2.0,0.0,1718.0,46
105,-2.0,0.0,24683.0,46
23,-2.0,0.0,191644.0,47
24,-2.0,0.0,191644.0,47
25,-2.0,0.0,191644.0,47
26,-2.0,0.0,191644.0,47
27,-2.0,0.0,191645.0,47
35,-2.0,0.0,27143.0,47
36,-2.0,0.0,27143.0,47
37,-2.0,0.0,27143.0,47
38,-2.0,0.0,27143.0,47
39,-2.0,0.0,27143.0,47
40,-2.0,0.0,27143.0,47
41,-2.0,0.0,27144.0,47
70,-2.0,0.0,7051.0,47
105,-2.0,0.0,2892.0,47
23,-2.0,0.0,129313.0,47
24,-2.0,0.0,129313.0,47
25,-2.0,0.0,129313.0,47
26,-2.0,0.0,129313.0,47
27,-2.0,0.0,129313.0,47
35,-2.0,0.0,18314.0,47
36,-2.0,0.0,18314.0,47
37,-2.0,0.0,18314.0,47
38,-2.0,0.0,18314.0,47
39,-2.0,0.0,18314.0,47
40,-2.0,0.0,18314.0,47
41,-2.0,0.0,18315.0,47
70,-2.0,0.0,4757.0,47
105,-2.0,0.0,1950.0,47
23,-2.0,0.0,864234.0,48
24,-2.0,542.0,864776.0,48
25,-2.0,8000.0,872234.0,48
26,-2.0,3000.0,867234.0,48
27,-2.0,0.0,864235.0,48
28,-2.0,0.0,21504.0,48
29,-2.0,0.0,21504.0,48
30,-2.0,0.0,21504.0,48
31,-2.0,0.0,21504.0,48
32,-2.0,0.0,21504.0,48
33,-2.0,0.0,21504.0,48
34,-2.0,0.0,21504.0,48
35,-2.0,0.0,57792.0,48
36,-2.0,0.0,57792.0,48
37,-2.0,0.0,57792.0,48
38,-2.0,0.0,57792.0,48
39,-2.0,0.0,57792.0,48
40,-2.0,0.0,57792.0,48
41,-2.0,0.0,57792.0,48
42,-2.0,0.0,10752.0,48
43,-2.0,0.0,10752.0,48
44,-2.0,0.0,10752.0,48
45,-2.0,0.0,10752.0,48
46,-2.0,0.0,10752.0,48
47,-2.0,0.0,10752.0,48
48,-2.0,0.0,10752.0,48
49,-2.0,0.0,1000264.0,48
50,-2.0,0.0,1000264.0,48
51,-2.0,0.0,1000264.0,48
52,-2.0,0.0,1000264.0,48
53,-2.0,0.0,1000264.0,48
54,-2.0,0.0,1000264.0,48
55,-2.0,0.0,1000269.0,48
56,-2.0,0.0,860832.0,48
63,-2.0,0.0,545664.0,48
70,-2.0,0.0,71894.0,48
105,-2.0,0.0,79031.0,48
23,-2.0,0.0,3107.0,49
24,-2.0,0.0,1492.0,49
25,-2.0,0.0,1492.0,49
26,-2.0,0.0,685.0,49
27,-2.0,0.0,688.0,49
35,-2.0,0.0,640.0,49
36,-2.0,0.0,640.0,49
37,-2.0,0.0,640.0,49
38,-2.0,0.0,640.0,49
39,-2.0,0.0,640.0,49
77,-2.0,0.0,27166.0,49
84,-2.0,0.0,2094.0,49
91,-2.0,0.0,2332.0,49
98,-2.0,0.0,625.0,49
105,-2.0,0.0,2513.0,49
112,-2.0,0.0,2600.0,49
119,-2.0,0.0,3461.0,49
23,-2.0,0.0,447844.0,51
24,-2.0,0.0,447440.0,51
25,-2.0,5540.0,452979.0,51
26,-2.0,0.0,447238.0,51
27,-2.0,0.0,447238.0,51
35,-2.0,0.0,22048.0,51
36,-2.0,0.0,22048.0,51
37,-2.0,0.0,22048.0,51
38,-2.0,0.0,22048.0,51
39,-2.0,0.0,22048.0,51
40,-2.0,0.0,21888.0,51
41,-2.0,5.0,21888.0,51
42,-2.0,0.0,6253.0,51
43,-2.0,0.0,6253.0,51
44,-2.0,0.0,6253.0,51
45,-2.0,0.0,6253.0,51
46,-2.0,0.0,6253.0,51
47,-2.0,0.0,6253.0,51
48,-2.0,0.0,6258.0,51
49,-2.0,0.0,142857.0,51
50,-2.0,0.0,142857.0,51
51,-2.0,0.0,142857.0,51
52,-2.0,0.0,142857.0,51
53,-2.0,0.0,142857.0,51
54,-2.0,0.0,142857.0,51
55,-2.0,0.0,142858.0,51
23,-2.0,0.0,667324.0,52
24,-2.0,0.0,666425.0,52
25,-2.0,19440.0,685865.0,52
26,-2.0,9000.0,674977.0,52
27,-2.0,0.0,665981.0,52
28,-2.0,0.0,18331.0,52
29,-2.0,0.0,18331.0,52
30,-2.0,0.0,18331.0,52
31,-2.0,0.0,18331.0,52
32,-2.0,0.0,18331.0,52
33,-2.0,0.0,18081.0,52
34,-2.0,2900.0,20985.0,52
35,-2.0,0.0,36571.0,52
36,-2.0,0.0,36571.0,52
37,-2.0,0.0,36571.0,52
38,-2.0,0.0,36571.0,52
39,-2.0,0.0,36571.0,52
40,-2.0,0.0,36411.0,52
41,-2.0,0.0,36413.0,52
42,-2.0,0.0,62496.0,52
43,-2.0,0.0,62496.0,52
44,-2.0,0.0,62496.0,52
45,-2.0,0.0,62496.0,52
46,-2.0,0.0,62496.0,52
47,-2.0,0.0,62496.0,52
48,-2.0,0.0,62496.0,52
49,-2.0,0.0,360502.0,52
50,-2.0,0.0,360502.0,52
51,-2.0,0.0,360502.0,52
52,-2.0,0.0,360502.0,52
53,-2.0,0.0,360502.0,52
54,-2.0,0.0,360502.0,52
55,-2.0,0.0,360508.0,52
84,-2.0,0.0,120.0,52
119,-2.0,0.0,24.0,52
23,0.0,12135.0,0.0,53
24,0.0,44.0,0.0,53
25,0.0,44.0,0.0,53
28,0.0,250.0,0.0,53
29,0.0,250.0,0.0,53
30,0.0,250.0,0.0,53
31,0.0,250.0,0.0,53
32,0.0,250.0,0.0,53
35,0.0,60.0,0.0,53
36,0.0,60.0,0.0,53
37,0.0,60.0,0.0,53
38,0.0,60.0,0.0,53
39,0.0,60.0,0.0,53
23,-2.0,0.0,812560.0,54
24,-2.0,0.0,812560.0,54
25,-2.0,0.0,812560.0,54
26,-2.0,0.0,812560.0,54
27,-2.0,0.0,812562.0,54
28,-2.0,0.0,61361.0,54
29,-2.0,0.0,61361.0,54
30,-2.0,0.0,61361.0,54
31,-2.0,0.0,61361.0,54
32,-2.0,0.0,61361.0,54
33,-2.0,0.0,61361.0,54
34,-2.0,0.0,61362.0,54
35,-2.0,0.0,82704.0,54
36,-2.0,0.0,82704.0,54
37,-2.0,0.0,82704.0,54
38,-2.0,0.0,82704.0,54
39,-2.0,0.0,82704.0,54
40,-2.0,0.0,82704.0,54
41,-2.0,5.0,82707.0,54
42,-2.0,0.0,41331.0,54
43,-2.0,0.0,41331.0,54
44,-2.0,0.0,41331.0,54
45,-2.0,0.0,41331.0,54
46,-2.0,0.0,41331.0,54
47,-2.0,0.0,41331.0,54
48,-2.0,0.0,41331.0,54
49,-2.0,0.0,12448.0,54
50,-2.0,0.0,12448.0,54
51,-2.0,0.0,12448.0,54
52,-2.0,0.0,12448.0,54
53,-2.0,0.0,12448.0,54
54,-2.0,0.0,12448.0,54
55,-2.0,0.0,12452.0,54
56,-2.0,0.0,308038.0,54
70,-2.0,0.0,759.0,54
84,-2.0,0.0,4234193.0,54
91,-2.0,0.0,2277.0,54
23,-2.0,0.0,442653.0,55
24,-2.0,0.0,442653.0,55
25,-2.0,0.0,442653.0,55
26,-2.0,0.0,442653.0,55
27,-2.0,0.0,442655.0,55
28,-2.0,0.0,46101.0,55
29,-2.0,0.0,46101.0,55
30,-2.0,0.0,46101.0,55
31,-2.0,0.0,46101.0,55
32,-2.0,0.0,46101.0,55
33,-2.0,0.0,46101.0,55
34,-2.0,0.0,46105.0,55
35,-2.0,0.0,26641.0,55
36,-2.0,0.0,26641.0,55
37,-2.0,0.0,26641.0,55
38,-2.0,0.0,26641.0,55
39,-2.0,0.0,26641.0,55
40,-2.0,0.0,26641.0,55
41,-2.0,5.0,26643.0,55
42,-2.0,0.0,52850.0,55
43,-2.0,0.0,52850.0,55
44,-2.0,0.0,52850.0,55
45,-2.0,0.0,52850.0,55
46,-2.0,0.0,52850.0,55
47,-2.0,0.0,52850.0,55
48,-2.0,0.0,52854.0,55
49,-2.0,0.0,23213.0,55
50,-2.0,0.0,23213.0,55
51,-2.0,0.0,23213.0,55
52,-2.0,0.0,23213.0,55
53,-2.0,0.0,23213.0,55
54,-2.0,0.0,23213.0,55
55,-2.0,0.0,23218.0,55
56,-2.0,0.0,18055.0,55
70,-2.0,0.0,2022160.0,55
77,-2.0,0.0,217.0,55
105,-2.0,0.0,217.0,55
23,-2.0,0.0,3027.0,56
24,-2.0,0.0,1009.0,56
25,-2.0,0.0,1009.0,56
31,-2.0,400.0,400.0,56
35,-2.0,0.0,800.0,56
36,-2.0,0.0,800.0,56
37,-2.0,0.0,800.0,56
38,-2.0,0.0,800.0,56
39,-2.0,0.0,800.0,56
56,-2.0,400.0,400.0,56
70,-2.0,0.0,45668.0,56
77,-2.0,0.0,3745.0,56
84,-2.0,0.0,1877.0,56
91,-2.0,400.0,3052.0,56
98,-2.0,0.0,2186.0,56
105,-2.0,400.0,3035.0,56
112,-2.0,0.0,2625.0,56
119,-2.0,400.0,3575.0,56
28,4.0,200.0,0.0,57
24,0.0,8.0,0.0,59
56,0.0,12.0,0.0,59
84,0.0,1.0,0.0,59
84,0.0,1.0,0.0,60
23,0.0,1.0,0.0,65
24,0.0,1.0,0.0,65
29,0.0,2.0,0.0,65
32,0.0,2.0,0.0,65
33,0.0,4.0,0.0,65
56,0.0,2.0,0.0,65
23,0.0,127.0,0.0,67
24,0.0,16.0,0.0,67
25,0.0,2.0,0.0,67
26,0.0,11.0,0.0,67
27,0.0,3.0,0.0,67
28,0.0,30.0,0.0,67
29,0.0,9.0,0.0,67
31,0.0,8.0,0.0,67
32,0.0,4.0,0.0,67
33,0.0,50.0,0.0,67
36,0.0,31.0,0.0,67
37,0.0,1.0,7.0,67
38,0.0,18.0,0.0,67
39,0.0,3.0,0.0,67
41,0.0,52.0,0.0,67
42,0.0,11.0,0.0,67
43,0.0,54.0,0.0,67
44,0.0,3.0,0.0,67
46,0.0,5.0,0.0,67
48,0.0,84.0,0.0,67
50,0.0,2.0,0.0,67
54,0.0,7.0,0.0,67
55,0.0,176.0,0.0,67
56,0.0,3.0,35.0,67
63,0.0,0.0,10.0,67
70,0.0,4.0,1.0,67
77,0.0,16.0,0.0,67
84,0.0,7.0,0.0,67
91,0.0,2.0,0.0,67
112,0.0,3.0,0.0,67
25,18.0,2.0,0.0,68
29,19.0,3.0,0.0,68
31,20.0,3.0,0.0,68
38,22.0,1.0,0.0,68
51,26.0,57.0,0.0,68
56,-3.0,0.0,1.0,68
56,28.0,0.0,0.0,68
63,30.0,1.0,0.0,68
84,37.0,1.0,0.0,68
91,40.0,1.0,0.0,68
27,0.0,46.0,0.0,70
48,0.0,5.0,0.0,70
27,8.0,1.0,0.0,72
24,7.0,2.0,0.0,74
27,8.0,2.0,0.0,74
105,19.0,1.0,0.0,74
23,10.0,1.0,0.0,75
32,8.0,2.0,0.0,76
91,17.0,2.0,0.0,76
31,4.0,27.0,0.0,77
51,5.0,1.0,0.0,77
26,7.0,133.0,0.0,78
31,8.0,79.0,0.0,78
54,11.0,3.0,0.0,78
23,0.0,557.0,0.0,79
24,0.0,293.0,0.0,79
25,0.0,151.0,0.0,79
26,0.0,209.0,0.0,79
27,0.0,453.0,0.0,79
28,0.0,585.0,0.0,79
29,0.0,74.0,0.0,79
30,0.0,582.0,0.0,79
32,0.0,1252.0,0.0,79
33,0.0,1444.0,0.0,79
