plant,holiday
41,26
41,27
41,34
41,41
41,48
41,55
27,27
27,34
27,41
27,48
27,55
156,34
156,41
156,48
156,55
24,27
24,34
24,41
24,48
24,55
85,27
85,33
85,34
85,40
85,41
85,47
85,48
85,54
85,55
113,27
113,34
113,41
113,48
113,55
118,27
118,34
118,41
118,48
118,55
19,26
19,27
19,33
19,34
19,40
19,41
19,47
19,48
19,54
19,55
141,27
141,34
141,41
141,48
141,55
135,27
135,34
135,41
135,48
135,55
12,26
12,27
12,33
12,34
12,40
12,41
12,47
12,48
12,54
12,55
232,27
232,34
232,41
232,48
232,55
9,26
9,27
9,33
9,34
9,40
9,41
9,47
9,48
9,54
9,55
115,26
115,27
115,34
115,41
115,48
115,55
16,26
16,27
16,33
16,34
16,40
16,41
16,47
16,48
16,54
16,55
170,26
170,27
170,33
170,34
170,40
170,41
170,47
170,48
170,54
170,55
3,27
3,34
3,41
3,48
3,55
123,34
123,41
123,48
123,55
200,27
200,34
200,41
200,48
200,55
139,27
139,34
139,41
139,48
139,55
119,27
119,34
119,41
119,48
119,55
86,34
86,41
86,48
86,55
46,27
46,34
46,41
46,48
46,55
158,27
158,33
158,34
158,40
158,41
158,47
158,48
158,54
158,55
114,26
114,27
114,34
114,41
114,48
114,55
44,26
44,27
44,34
44,41
44,48
44,55
4,27
4,34
4,41
4,48
4,55
150,26
150,27
150,34
150,41
150,48
150,55
14,27
14,34
14,41
14,48
14,55
87,33
87,34
87,40
87,41
87,47
87,48
87,54
87,55
17,27
17,34
17,41
17,48
17,55
8,27
8,34
8,41
8,48
8,55
167,27
167,34
167,41
167,48
167,55
45,26
45,27
45,34
45,41
45,48
45,55
116,27
116,33
116,34
116,40
116,41
116,47
116,48
116,54
116,55
10,27
10,34
10,41
10,48
10,55
33,27
33,34
33,41
33,48
33,55
169,34
169,41
169,48
169,55
198,27
198,34
198,41
198,48
198,55
13,27
13,33
13,34
13,40
13,41
13,47
13,48
13,54
13,55
18,27
18,34
18,41
18,48
18,55
141,27
141,34
141,41
141,48
141,55
33,27
33,34
33,41
33,48
33,55
15,27
15,34
15,41
15,48
15,55
