plant,qty,item_code
9,321,0
17,176,0
60,1432,0
110,119,0
169,21,0
17,5,4
17,1,5
17,2,6
60,1,6
13,24,13
27,20,13
110,8119,13
17,26,14
27,28,14
110,1134,14
110,4,15
13,2672,18
17,506,18
64,261,18
53,64,20
60,5788,20
137,2780,20
140,4005,20
149,473,20
196,808,20
46,63,22
60,715,22
60,3004,24
137,310,24
196,1860,24
110,21,26
149,4911,27
169,10,33
27,3,34
110,25,34
110,34,35
13,24,36
17,13,36
13,49,39
17,1,39
27,306,39
110,8,39
13,9,40
27,9,40
110,341,40
64,6,42
110,10,42
17,7,43
60,558,43
114,339,44
3,0,46
5,0,46
9,0,46
27,5,46
41,0,46
45,0,46
60,0,46
72,0,46
76,0,46
110,11170,46
116,0,46
123,0,46
169,0,46
3,0,47
5,0,47
41,0,47
46,0,47
64,0,47
72,0,47
76,0,47
78,0,47
83,0,47
110,0,47
114,0,47
116,0,47
123,0,47
140,0,47
3,0,48
5,0,48
9,0,48
27,490,48
34,0,48
41,0,48
45,0,48
60,0,48
76,0,48
110,11000,48
114,0,48
220,0,48
3,1120,49
9,672,49
60,10,49
64,1130,49
71,1,49
78,5,49
80,93,49
3,838,51
5,0,51
27,1200,51
41,0,51
46,0,51
60,0,51
71,2,51
76,5,51
78,0,51
80,0,51
83,0,51
110,5731,51
114,1830,51
123,1644,51
3,389,52
5,0,52
9,868,52
27,4151,52
41,0,52
45,0,52
46,114,52
60,4697,52
76,980,52
78,0,52
83,0,52
110,38096,52
116,0,52
140,0,52
150,0,52
3,104,53
5,0,53
9,0,53
17,0,53
27,12179,53
41,0,53
59,0,53
60,0,53
76,0,53
78,0,53
110,15983,53
114,0,53
116,0,53
123,0,53
169,0,53
220,1756,53
9,428,54
34,301,54
41,930,54
45,956,54
60,51270,54
72,1160,54
76,883,54
83,992,54
110,4753792,54
140,199,54
149,664,54
27,7000,55
34,187,55
41,282,55
45,457,55
46,1064,55
60,4589,55
64,186,55
83,242,55
110,2395794,55
140,550,55
149,1164,55
150,300,55
3,720,56
78,176,56
83,152,56
3,0,57
27,0,57
41,0,57
45,0,57
64,0,57
76,0,57
110,0,57
116,0,57
123,0,57
140,0,57
64,8,59
110,320,59
110,255,60
17,4,65
110,38,65
13,256,67
17,770,67
27,228,67
110,717,67
13,18,68
110,66,68
13,1,69
17,18,69
110,70,69
110,52,70
110,89,72
13,3,74
64,3,75
110,359,75
110,1,76
60,54,77
60,767,78
13,4126,79
17,24,79
27,70,79
64,46,79
71,50,79
110,5602,79
13,921,80
17,11581,80
27,18079,80
110,14682,80
118,165,80
226,4215,80
60,1,89
60,1,90
13,1129,91
17,6,91
64,23,91
110,3693,91
167,22,91
169,2,91
13,1954,95
17,44,95
27,137,95
64,165,95
110,4364,95
156,42,95
167,18,95
13,754,96
64,133,96
110,770,96
13,6,97
64,12,97
110,347,97
110,78,104
110,1014,106
60,125,107
13,2,109
17,3,109
110,332,109
167,891,109
60,928,117
13,40,118
17,23,118
64,4,118
110,62,118
13,189,119
17,35,119
27,687,119
41,9390,119
110,11813,119
167,7274,119
169,3100,119
226,2932,119
13,102,120
17,22,120
27,247,120
41,3641,120
64,46,120
110,268,120
156,23,120
169,1939,120
60,28,127
60,26,133
110,2,133
60,8,136
60,15,137
60,24,140
13,50,142
27,59,142
64,1208,142
110,1509,142
13,208,143
27,6,143
64,2220,143
110,50,143
60,1,147
60,96,148
60,21,156
60,3017,159
110,1,160
169,146,160
110,64,161
64,11,162
60,22,186
60,1,190
60,3,194
60,15,196
60,2,207
60,1,209
110,7,209
60,11,211
60,1,213
27,28,217
13,1067,218
110,606,218
110,1,219
60,26,222
60,37,223
60,1,225
13,3482,236
17,486,236
27,2210,236
60,33071,236
64,839,236
110,7514,236
226,920,236
60,2,237
60,8,239
60,36,242
60,83,249
60,989,251
60,71,254
60,128,256
64,1,256
60,20,260
60,6,262
60,6,264
60,13,266
110,1,271
60,1,275
60,32,276
60,7,278
60,34,282
60,2,288
64,112,294
13,87,295
110,122,295
110,104,424
110,253,429
110,156,431
110,125,459
46,94,533
46,358,539
60,10,557
60,11,567
60,3,580
60,130,582
60,10,583
17,61,584
110,63,584
123,1,584
27,4,585
64,37,585
13,15,586
27,7,586
64,59,586
110,16,586
9,10801,587
27,3889,587
64,238,587
71,320,587
13,3,589
64,16,589
13,5,592
27,14,592
64,137,592
110,96,592
64,72,593
110,3,593
13,254,596
17,458,596
110,8460,596
13,1441,598
17,298,598
110,30022,598
60,43,616
60,8,618
50,68287,634
50,1055371,635
50,1184230,641
50,1560623,642
3,27,646
5,1969,646
9,1554,646
13,638,646
17,752,646
27,76,646
60,9134,646
64,489,646
71,1794,646
83,14,646
110,6493,646
226,1200,646
17,528,647
46,42,648
110,241,648
17,144,649
64,57,649
9,8,651
17,573,651
13,177,652
17,3,652
64,183,652
110,198,652
118,162,652
110,17,654
64,28,655
110,62,655
13,727,656
17,509,656
27,341,656
110,756,656
118,128,656
226,2856,656
13,14,657
17,217,657
27,200,657
64,432,657
110,362,657
13,893,658
17,72,658
27,158,658
64,893,658
110,4247,658
118,137,658
226,100,658
13,382,659
17,173,659
64,624,659
110,211,659
13,16,660
17,21,660
110,372,660
226,200,660
13,172,661
17,2680,661
27,151,661
110,230,661
60,196,664
110,331,664
13,205,665
17,4333,665
64,567,665
110,8126,665
118,257,665
226,1986,665
13,109,666
17,457,666
110,646,666
226,262,666
13,4,667
17,45,667
64,87,667
110,369,667
17,159,668
60,1000,668
118,79,668
226,28,668
13,19,672
27,38,672
64,15,672
110,1194,672
13,14,673
27,222,673
64,14,673
110,160,673
13,125,674
27,33,674
64,66,674
110,748,674
13,44,675
17,34,675
27,219,675
64,190,675
110,1832,675
13,87,676
17,2511,676
110,617,676
110,596,677
226,228,677
17,1,681
60,196,681
110,70,681
17,50,682
64,210,682
110,460,682
110,5731,683
60,148,684
60,289,686
13,4,687
110,632,687
110,27,688
110,1282,689
17,30,691
13,1475,693
17,27,693
27,14,693
80,7,693
110,287,693
110,592,694
13,24,697
17,856,697
110,568,697
226,1002,697
9,170,699
110,824,699
17,6,700
60,201,700
110,1000,700
17,2657,701
64,92,701
110,575,701
226,1653,701
17,3072,702
110,550,702
118,590,702
226,1930,702
17,1059,705
110,959,705
118,70,705
226,24,705
13,286,706
27,119,706
64,129,706
110,205,706
13,31,707
27,8,707
110,310,707
13,960,708
17,100,708
64,119,708
110,1313,708
226,1,708
13,6,709
17,211,709
27,199,709
110,2468,709
118,10,709
13,240,710
17,344,710
64,25,710
110,6927,710
17,4,711
60,13,711
64,66,711
110,28,711
17,50,712
64,309,712
110,3502,712
17,66,713
27,84,713
64,1237,713
110,10587,713
17,799,714
110,167,716
27,4,721
64,4,721
110,94,721
9,32,722
17,252,722
110,288,722
60,1048,727
17,248,731
60,225,731
64,30,731
13,1161,732
27,50,732
60,248,732
64,89,732
110,1251,732
226,131,732
13,131,735
17,12,735
64,48,735
110,580,735
118,16,735
226,1,735
17,919,736
27,57,736
64,195,736
110,783,736
17,42,737
60,376,737
118,120,737
17,1,738
110,20,738
17,167,740
27,91,740
64,82,740
110,176,740
118,40,740
226,1522,740
13,461,741
64,446,741
110,3446,741
64,38,742
110,111,742
226,203,742
60,242,743
110,322,743
60,197,744
110,200,744
3,1531,748
110,45862,748
27,785,749
110,13017,749
60,433,750
17,12,751
64,15,751
110,73,751
110,3916,754
13,23,755
17,2,755
27,7,755
110,61,755
110,2396,757
17,8,759
110,1176,759
217,23,759
13,21,760
17,7,760
110,16,760
217,93,760
110,7825,761
13,9,762
17,8,762
110,267,762
217,3254,762
13,305,763
17,1,763
27,39,763
64,590,763
110,5216,763
60,179,766
60,32,780
60,18,782
60,43,784
60,82,793
60,36,795
60,36,797
17,2549,807
27,1245,807
110,5416,807
217,343583,807
110,662408,808
13,2535,809
17,172,809
27,124,809
64,974,809
110,12493,809
123,177,809
217,240,809
110,223813,810
13,151,811
17,100,811
27,597,811
64,870,811
110,80821,811
217,3693,811
13,3,812
17,79,812
110,12645,812
217,28088,812
110,38729,813
27,54,815
13,38,816
27,122,816
64,137,816
110,1999,816
123,73,816
110,7815,817
13,117,822
17,50,822
27,1,822
110,207,822
217,46,823
110,4,826
17,23,830
27,23,830
64,324,830
110,265,830
217,1123,830
110,8350,831
13,29,832
27,168,832
64,298,832
110,4304,832
110,291313,833
13,17,834
17,1,834
110,179,834
217,16,834
110,123918,835
13,31,836
17,6,836
110,51,836
217,6507,836
110,100840,837
13,12,839
64,50,839
110,19,839
110,7557,840
27,1,844
13,10,848
110,179,848
217,8989,848
110,64,849
60,53,853
60,22,854
110,1,855
217,26,855
110,1218,856
64,9,857
110,142,857
217,2060,857
17,1,859
60,5438,859
64,27,859
110,4,859
13,24,860
64,916,860
110,661,860
13,153,862
17,10,862
64,510,862
110,3759,862
13,2,864
64,7,864
13,64,866
110,35938,866
13,4,867
17,20,867
27,426,867
64,1906,867
110,33602,867
110,98,868
13,161,870
17,150,870
27,454,870
64,232,870
110,50491,870
13,8,873
110,57,873
13,3,875
17,4,875
64,1,875
118,2,875
13,170,876
17,17,876
64,1417,876
110,13188,876
13,7,878
17,199,878
64,2041,878
110,3761,878
118,43,878
13,109,880
17,23,880
64,252,880
110,1418,880
226,45,880
17,170,882
64,2111,882
110,22727,882
118,100,882
226,819,882
17,1,884
110,8,884
17,4,885
110,3,885
13,13,888
27,1,888
64,104,888
17,3,893
226,4,893
64,487,894
110,1,894
118,60,894
64,382,895
110,2848,895
118,7,895
13,6,897
17,395,897
64,2719,897
110,17658,897
118,108,897
226,1490,897
64,3,899
13,31,904
64,85,904
110,21412,904
226,166,904
17,572,905
64,658,905
110,22,905
118,6,905
13,69,907
17,4,907
64,98,907
110,2968,907
3,556,909
110,268973,909
156,1775,909
110,13500,910
169,370,910
3,563,911
60,542,911
110,220084,911
116,17820,911
156,561,911
41,300,912
60,112,912
78,68,912
110,1337089,912
169,3835,912
110,19549,913
169,2698,913
3,2882,914
110,343000,914
123,393,914
150,838,914
156,1262,914
76,4182,915
78,131,915
110,151113,915
169,288,915
27,3521,916
41,2822,916
45,7740,916
60,33656,916
64,26342,916
76,15600,916
78,7890,916
80,10000,916
87,480,916
110,8617915,916
167,1812,916
169,265,916
27,1564,917
60,13552,917
64,47396,917
76,56816,917
78,20207,917
87,7886,917
110,2967740,917
60,19712,918
64,26811,918
72,85094,918
76,10000,918
78,16905,918
80,39538,918
110,26396,918
150,8800,918
156,54,918
169,6169,918
3,138346,919
27,129730,919
41,52780,919
60,1884,919
78,33067,919
110,1379685,919
3,8,920
27,200,920
78,7093,920
110,325424,920
110,4000,921
110,142111,922
156,3067,922
167,906,922
169,382,922
76,192,923
110,326378,923
41,1151,924
110,56880,924
76,698,925
86,580,925
110,547161,925
76,130,926
87,6834,926
110,42501,926
169,71,926
41,507,927
110,121217,927
110,44636,928
156,2108,928
78,1580,929
110,166555,929
3,4783,930
27,4671,930
60,5029,930
64,4996,930
110,68800,930
114,5000,930
123,4799,930
3,9090,931
60,4923,931
110,33440,931
123,6982,931
3,3870,932
27,340,932
41,16465,932
60,54302,932
64,13107,932
78,17030,932
80,9215,932
110,1152870,932
114,7808,932
116,12054,932
123,18916,932
27,3721,933
110,97426,933
3,6274,934
27,3988,934
60,4989,934
64,4975,934
110,531596,934
123,15900,934
3,8193,935
27,15632,935
60,45445,935
64,29336,935
78,4550,935
110,1486677,935
116,8365,935
123,16404,935
220,9970,935
3,7392,936
27,6467,936
41,8249,936
60,62767,936
64,9003,936
78,18628,936
80,8923,936
110,2103230,936
114,5463,936
116,7286,936
123,1814,936
60,16167,940
80,519,940
78,10000,941
110,10000,941
60,14515,942
78,7401,942
110,51879,942
150,3300,942
3,5000,943
45,22137,943
46,4678,943
