plant,qty,item_code
9,321.0,0
17,176.0,0
60,1432.0,0
110,119.0,0
169,21.0,0
17,5.0,4
17,1.0,5
17,2.0,6
60,1.0,6
13,24.0,13
27,20.0,13
110,8119.0,13
17,26.0,14
27,28.0,14
110,1134.0,14
110,4.0,15
13,2672.0,18
17,506.0,18
64,261.0,18
53,64.0,20
60,5788.0,20
137,2780.0,20
140,4005.0,20
149,473.0,20
196,808.0,20
46,63.0,22
60,715.0,22
60,3004.0,24
137,310.0,24
196,1860.0,24
110,21.0,26
149,4911.0,27
169,10.0,33
27,3.0,34
110,25.0,34
110,34.0,35
13,24.0,36
17,13.0,36
13,49.0,39
17,1.0,39
27,306.0,39
110,8.0,39
13,9.0,40
27,9.0,40
110,341.0,40
64,6.0,42
110,10.0,42
17,7.0,43
60,558.0,43
114,339.0,44
3,887.0,46
5,548.0,46
9,422.0,46
27,397.0,46
41,265.0,46
45,167.0,46
60,2719.0,46
72,546.0,46
76,149.0,46
110,1394749.0,46
116,1616.0,46
123,1888.0,46
169,670.0,46
3,1578.0,47
5,282.0,47
41,267.0,47
46,1224.0,47
64,1972.0,47
72,9833.0,47
76,570.0,47
78,205.0,47
83,905.0,47
110,1540269.0,47
114,65.0,47
116,1461.0,47
123,26.0,47
140,1404.0,47
3,2083.0,48
5,646.0,48
9,3460.0,48
27,490.0,48
34,1562.0,48
41,80.0,48
45,299.0,48
60,32119.0,48
76,894.0,48
110,4814564.0,48
114,1485.0,48
220,17557.0,48
3,1120.0,49
9,672.0,49
60,10.0,49
64,1130.0,49
71,1.0,49
78,5.0,49
80,93.0,49
3,838.0,51
5,552.0,51
27,1200.0,51
41,1138.0,51
46,1051.0,51
60,8614.0,51
71,2.0,51
76,640.0,51
78,198.0,51
80,8.0,51
83,198.0,51
110,2143244.0,51
114,1830.0,51
123,1644.0,51
3,389.0,52
5,1518.0,52
9,868.0,52
27,4151.0,52
41,1034.0,52
45,1747.0,52
46,114.0,52
60,4697.0,52
76,980.0,52
78,215.0,52
83,1520.0,52
110,3287868.0,52
116,261.0,52
140,800.0,52
150,367.0,52
3,2737.0,53
5,5712.0,53
9,2204.0,53
17,3000.0,53
27,23994.0,53
41,5206.0,53
59,2578.0,53
60,228.0,53
76,178.0,53
78,3035.0,53
110,4251022.0,53
114,1476.0,53
116,9.0,53
123,5350.0,53
169,2673.0,53
220,1756.0,53
9,428.0,54
34,301.0,54
41,930.0,54
45,956.0,54
60,51270.0,54
72,1160.0,54
76,883.0,54
83,992.0,54
110,4753792.0,54
140,199.0,54
149,664.0,54
27,7000.0,55
34,187.0,55
41,282.0,55
45,457.0,55
46,1064.0,55
60,4589.0,55
64,186.0,55
83,242.0,55
110,2395794.0,55
140,550.0,55
149,1164.0,55
150,300.0,55
3,720.0,56
78,176.0,56
83,152.0,56
3,892.0,57
27,3795.0,57
41,713.0,57
45,7327.0,57
64,155.0,57
76,998.0,57
110,751187.0,57
116,728.0,57
123,772.0,57
140,663.0,57
64,8.0,59
110,320.0,59
110,255.0,60
17,4.0,65
110,38.0,65
13,256.0,67
17,770.0,67
27,228.0,67
110,717.0,67
13,18.0,68
110,66.0,68
13,1.0,69
17,18.0,69
110,70.0,69
110,52.0,70
110,89.0,72
13,3.0,74
64,3.0,75
110,359.0,75
110,1.0,76
60,54.0,77
60,767.0,78
13,4126.0,79
17,24.0,79
27,70.0,79
64,46.0,79
71,50.0,79
110,5602.0,79
13,921.0,80
17,11581.0,80
27,18079.0,80
110,14682.0,80
118,165.0,80
226,4215.0,80
60,1.0,89
60,1.0,90
13,1129.0,91
17,6.0,91
64,23.0,91
110,3693.0,91
167,22.0,91
169,2.0,91
13,1954.0,95
17,44.0,95
27,137.0,95
64,165.0,95
110,4364.0,95
156,42.0,95
167,18.0,95
13,754.0,96
64,133.0,96
110,770.0,96
13,6.0,97
64,12.0,97
110,347.0,97
110,78.0,104
110,1014.0,106
60,125.0,107
13,2.0,109
17,3.0,109
110,332.0,109
167,891.0,109
60,928.0,117
13,40.0,118
17,23.0,118
64,4.0,118
110,62.0,118
13,189.0,119
17,35.0,119
27,687.0,119
41,9390.0,119
110,11813.0,119
167,7274.0,119
169,3100.0,119
226,2932.0,119
13,102.0,120
17,22.0,120
27,247.0,120
41,3641.0,120
64,46.0,120
110,268.0,120
156,23.0,120
169,1939.0,120
60,28.0,127
60,26.0,133
110,2.0,133
60,8.0,136
60,15.0,137
60,24.0,140
13,50.0,142
27,59.0,142
64,1208.0,142
110,1509.0,142
13,208.0,143
27,6.0,143
64,2220.0,143
110,50.0,143
60,1.0,147
60,96.0,148
60,21.0,156
60,3017.0,159
110,1.0,160
169,146.0,160
110,64.0,161
64,11.0,162
60,22.0,186
60,1.0,190
60,3.0,194
60,15.0,196
60,2.0,207
60,1.0,209
110,7.0,209
60,11.0,211
60,1.0,213
27,28.0,217
13,1067.0,218
110,606.0,218
110,1.0,219
60,26.0,222
60,37.0,223
60,1.0,225
13,3482.0,236
17,486.0,236
27,2210.0,236
60,33071.0,236
64,839.0,236
110,7514.0,236
226,920.0,236
60,2.0,237
60,8.0,239
60,36.0,242
60,83.0,249
60,989.0,251
60,71.0,254
60,128.0,256
64,1.0,256
60,20.0,260
60,6.0,262
60,6.0,264
60,13.0,266
110,1.0,271
60,1.0,275
60,32.0,276
60,7.0,278
60,34.0,282
60,2.0,288
64,112.0,294
13,87.0,295
110,122.0,295
110,25200.0,305
156,8880.0,305
110,72.0,313
110,230.0,315
110,2708.0,322
123,22.0,322
110,124.0,328
3,120.0,329
110,3120.0,329
110,698.0,330
110,358.0,337
123,38.0,337
110,480.0,340
110,36.0,348
110,760.0,352
110,1326.0,353
220,110.0,353
41,117.0,357
110,11618.0,357
41,56.0,358
110,15016.0,358
41,40.0,359
110,17780.0,359
9,10.0,360
110,572.0,360
110,18.0,361
110,9340.0,362
123,444.0,362
110,282.0,363
123,234.0,363
110,1544.0,364
123,576.0,364
3,2912.0,365
110,17724.0,365
123,278.0,365
110,17360.0,368
123,2072.0,368
110,9.0,370
9,246.0,372
110,780.0,372
110,6.0,374
110,700.0,375
27,2974.0,376
110,6091.0,376
110,634.0,379
3,5.0,383
110,29.0,383
3,68.0,384
110,2334.0,384
110,1592.0,386
110,552.0,389
110,1032.0,390
110,4800.0,392
110,5000.0,394
3,58.0,395
110,3468.0,395
123,2.0,395
110,72.0,397
46,148.0,398
110,448.0,398
9,4.0,399
110,224.0,399
110,64.0,400
9,270.0,401
110,756.0,401
9,82.0,402
110,96.0,402
110,924.0,403
110,98.0,404
169,4.0,404
169,5.0,405
110,400.0,406
169,35.0,406
110,98.0,407
27,145.0,408
110,504.0,408
110,460.0,409
169,6.0,409
110,5854.0,410
110,22380.0,411
110,5450.0,412
72,3046.0,413
110,4640.0,413
72,1610.0,414
110,24790.0,414
110,68.0,415
110,1064.0,418
41,2950.0,419
72,6300.0,419
110,124450.0,419
167,2200.0,419
72,150.0,420
110,22550.0,420
169,400.0,420
110,8.0,422
110,104.0,424
9,68.0,425
110,17460.0,425
9,15.0,426
110,5907.0,426
27,1832.0,428
110,4958.0,428
110,253.0,429
110,156.0,431
110,240.0,432
169,44.0,432
13,161.0,434
17,53.0,434
64,231.0,434
110,838.0,434
123,1848.0,434
13,167.0,435
17,2.0,435
64,200.0,435
110,133.0,435
110,14.0,436
110,1958.0,447
156,9994.0,447
71,3.0,450
72,121.0,450
110,3246.0,450
123,5.0,450
71,19.0,451
110,1375.0,451
27,6.0,453
27,2.0,454
64,259.0,454
64,296.0,455
3,52.0,457
13,440.0,457
17,25.0,457
64,145.0,457
110,5258.0,457
17,2.0,458
64,284.0,458
123,1302.0,458
110,125.0,459
3,1.0,462
13,148.0,463
110,208.0,463
123,279.0,463
64,170.0,466
110,446.0,466
110,18.0,467
3,279.0,468
17,281.0,468
64,38.0,468
110,24.0,468
118,205.0,468
13,692.0,470
17,41.0,470
64,1806.0,470
110,1317.0,470
17,35.0,471
27,42.0,471
64,185.0,471
110,6797.0,471
13,6.0,474
17,4.0,474
64,2.0,474
13,2.0,475
17,2.0,475
64,115.0,475
110,2539.0,475
64,28.0,478
110,1551.0,478
13,41.0,480
17,26.0,480
64,665.0,480
110,7528.0,480
13,9.0,483
3,230.0,487
17,97.0,487
27,7.0,487
64,20.0,487
110,363.0,487
110,1.0,488
110,93.0,489
3,1.0,490
13,33.0,490
17,59.0,490
64,517.0,490
13,57.0,491
17,7.0,491
27,36.0,491
60,468.0,491
64,205.0,491
9,282.0,497
13,237.0,498
110,730.0,498
110,155.0,499
9,90.0,500
13,63.0,500
27,26.0,500
64,30.0,500
110,13.0,500
27,15.0,501
13,8.0,502
27,84.0,502
64,539.0,502
13,11.0,503
27,48.0,503
64,597.0,503
110,1.0,503
13,28.0,504
17,15.0,504
27,241.0,504
64,96.0,504
123,5075.0,504
13,376.0,505
17,138.0,505
27,23.0,505
64,171.0,505
123,829.0,505
13,5.0,506
17,57.0,506
27,306.0,506
64,2049.0,506
123,5.0,506
13,10.0,507
17,15.0,507
64,97.0,507
110,4.0,507
123,757.0,507
13,46.0,509
17,142.0,509
27,539.0,509
64,519.0,509
110,123.0,509
123,1463.0,509
13,31.0,512
27,8.0,512
64,921.0,512
110,116.0,512
64,2.0,514
64,31.0,515
9,84.0,516
9,274.0,517
13,126.0,517
27,2.0,517
64,65.0,517
110,9.0,517
13,2.0,519
27,27.0,519
64,90.0,519
64,1499.0,521
226,229.0,521
64,94.0,522
13,152.0,523
17,24.0,523
64,187.0,523
110,8093.0,523
123,2.0,523
110,96.0,524
156,862.0,524
169,1.0,524
17,4.0,528
64,29.0,528
3,386.0,529
13,27.0,529
17,354.0,529
64,410.0,529
64,76.0,531
46,94.0,533
46,358.0,539
60,3364.0,540
13,26.0,541
17,106.0,541
64,1287.0,541
110,250.0,541
3,3650.0,542
13,6.0,542
17,50.0,542
64,318.0,542
110,8716.0,542
226,25.0,542
9,1.0,544
13,54.0,544
27,1.0,544
64,16.0,544
110,14.0,544
13,1.0,545
27,3.0,545
64,62.0,545
110,15.0,545
13,143.0,548
27,10.0,548
9,487.0,549
13,66.0,549
27,5.0,549
64,168.0,549
17,39.0,551
64,20.0,551
110,36.0,551
9,43.0,553
64,632.0,553
27,1.0,554
64,1602.0,554
60,7.0,555
60,10.0,557
60,3523.0,558
3,426.0,560
13,22.0,560
17,71.0,560
64,2089.0,560
110,1.0,560
60,51.0,563
64,1084.0,564
60,11.0,567
110,1220.0,568
3,26340.0,570
27,86.0,570
64,21950.0,570
110,417.0,570
123,1.0,570
110,2.0,573
27,1.0,576
64,481.0,576
60,3.0,580
60,130.0,582
60,10.0,583
17,61.0,584
110,63.0,584
123,1.0,584
27,4.0,585
64,37.0,585
13,15.0,586
27,7.0,586
64,59.0,586
110,16.0,586
9,10801.0,587
27,3889.0,587
64,238.0,587
71,320.0,587
13,3.0,589
64,16.0,589
13,5.0,592
27,14.0,592
64,137.0,592
110,96.0,592
64,72.0,593
110,3.0,593
13,254.0,596
17,458.0,596
110,8460.0,596
13,1441.0,598
17,298.0,598
110,30022.0,598
60,43.0,616
60,8.0,618
50,68287.0,634
50,1055371.0,635
50,1262389.0,641
50,5422216.0,642
3,27.0,646
5,1969.0,646
9,1554.0,646
13,638.0,646
17,752.0,646
27,76.0,646
60,9134.0,646
64,489.0,646
71,1794.0,646
83,14.0,646
110,6493.0,646
226,1200.0,646
17,528.0,647
46,42.0,648
110,241.0,648
17,144.0,649
64,57.0,649
9,8.0,651
17,573.0,651
13,177.0,652
17,3.0,652
64,183.0,652
110,198.0,652
118,162.0,652
110,17.0,654
64,28.0,655
110,62.0,655
13,727.0,656
