plant,line,orig_plant,item_code
17,,17,34
64,,64,34
71,,71,34
10,,10,35
64,,64,35
71,,71,35
53,,53,37
196,,196,37
60,,60,37
53,,53,38
196,,196,38
60,,60,38
50,,50,47
126,,126,47
50,,50,49
50,,50,53
126,,126,53
50,,50,54
126,,126,54
50,,50,55
126,,126,55
50,,50,56
126,,126,48
50,,50,48
126,,126,51
50,,50,51
126,,126,52
50,,50,52
50,,50,57
126,,126,57
17,,17,68
118,,118,68
17,,17,69
116,,116,69
118,,118,69
141,1.0,141,69
16,,16,71
113,,113,71
17,,17,71
119,,119,71
118,,118,71
16,,16,73
113,,113,73
119,,119,73
118,,118,73
17,,17,73
167,,167,75
13,,13,79
71,,71,79
8,,8,79
9,,9,79
10,,10,79
14,,14,79
17,,17,79
156,,156,95
169,,169,95
72,,72,95
167,,167,95
86,,86,95
41,,41,95
8,,8,96
9,,9,96
10,,10,96
13,,13,96
14,,14,96
27,,27,96
44,,44,96
64,,64,96
71,,71,96
156,,156,109
167,,167,109
72,,72,109
86,,86,119
156,,156,119
41,,41,119
167,,167,119
169,,169,119
72,,72,119
169,,169,120
41,,41,120
156,,156,120
13,,13,123
14,,14,123
16,,16,123
17,,17,123
60,,60,123
64,,64,123
71,,71,123
8,,8,125
9,,9,125
10,,10,125
13,,13,125
14,,14,125
16,,16,125
17,,17,125
60,,60,125
64,,64,125
71,,71,125
13,,13,127
14,,14,127
17,,17,127
64,,64,127
71,,71,127
8,,8,128
9,,9,128
10,,10,128
64,,64,128
71,,71,128
13,,13,128
14,,14,128
17,,17,128
13,,13,136
64,,64,136
71,,71,136
13,,13,140
17,,17,140
64,,64,140
71,,71,140
123,,123,143
13,,13,143
27,,27,143
64,,64,143
13,,13,142
27,,27,142
64,,64,142
123,,123,142
46,,46,148
61,,61,148
17,,17,149
64,,64,149
71,,71,149
80,,80,149
17,,17,151
64,,64,151
17,,17,153
64,,64,153
27,,27,159
60,,60,159
13,,13,159
169,,169,162
72,,72,162
13,,13,166
60,,60,166
64,,64,166
71,,71,166
217,,217,166
226,,226,166
17,,17,209
64,,64,209
17,,17,211
64,,64,211
17,,17,213
64,,64,213
17,,17,207
64,,64,207
13,,13,217
64,,64,217
44,,44,241
64,,64,241
71,,71,241
44,,44,242
64,,64,242
71,,71,242
9,,9,243
14,,14,243
27,,27,243
45,,45,243
64,,64,243
71,,71,243
80,,80,243
27,,27,251
44,,44,251
64,,64,251
71,,71,251
80,,80,251
27,,27,252
44,,44,252
64,,64,252
71,,71,252
80,,80,252
44,,44,254
64,,64,254
79,,79,254
80,,80,254
44,,44,256
64,,64,256
13,,13,294
27,,27,294
64,,64,294
3,,3,459
27,,27,459
64,,64,459
46,,46,533
61,,61,533
54,,54,577
55,,55,577
60,,60,577
54,,54,578
55,,55,578
60,,60,578
228,,228,638
180,,180,638
227,,227,638
179,,179,639
227,,227,639
228,,228,639
179,,179,640
227,,227,640
228,,228,640
179,,179,641
227,,227,641
228,,228,641
180,,180,642
227,,227,642
228,,228,642
17,,17,644
60,,60,644
117,,117,766
226,,226,766
226,,226,774
226,,226,780
226,,226,782
226,,226,784
226,,226,799
117,,117,862
117,,117,864
217,,217,864
220,,220,864
117,,117,867
217,,217,867
220,,220,867
117,,117,870
217,,217,870
220,,220,870
221,,221,870
226,,226,870
117,,117,895
117,,117,897
217,,217,899
220,,220,899
217,,217,901
196,,196,4097
53,,53,4097
54,,54,4099
137,,137,4099
54,,54,4103
137,,137,4103
54,,54,4104
137,,137,4104
54,,54,4111
196,,196,4109
53,,53,4109
196,,196,4110
53,,53,4110
196,,196,4113
53,,53,4113
196,,196,4114
53,,53,4114
54,,54,4117
137,,137,4117
54,,54,4118
55,,55,4121
54,,54,4121
54,,54,4120
53,,53,4124
55,,55,4124
54,,54,4124
55,,55,4126
138,,138,4126
54,,54,4126
137,,137,4126
55,,55,4128
54,,54,4128
55,,55,4134
54,,54,4134
196,,196,4132
54,,54,4132
54,,54,4140
196,,196,4141
53,,53,4141
137,,137,4152
140,,140,4152
54,,54,4173
55,,55,4173
54,,54,4115
54,,54,4116
54,,54,4144
54,,54,4146
64,,64,39
71,,71,39
64,,64,40
71,,71,40
64,,64,42
71,,71,42
64,,64,76
71,,71,76
64,,64,77
71,,71,77
64,,64,78
71,,71,78
64,,64,82
71,,71,82
64,,64,88
71,,71,88
64,,64,89
71,,71,89
64,,64,90
71,,71,90
72,,72,91
41,,41,91
169,,169,91
86,,86,91
99,,99,91
156,,156,91
167,,167,91
64,,64,98
71,,71,98
61,,61,101
46,,46,101
61,,61,103
46,,46,103
61,,61,105
46,,46,105
61,,61,107
46,,46,107
64,,64,118
71,,71,118
60,,60,121
64,,64,121
71,,71,121
80,,80,121
17,,17,121
60,,60,124
64,,64,124
71,,71,124
64,,64,133
71,,71,133
13,,13,133
64,,64,134
71,,71,134
64,,64,137
71,,71,137
64,,64,139
71,,71,139
60,,60,141
64,,64,141
71,,71,141
9,,9,141
13,,13,141
14,,14,141
17,,17,141
64,,64,144
71,,71,144
64,,64,146
71,,71,146
64,,64,147
71,,71,147
64,,64,155
71,,71,155
64,,64,156
64,,64,157
71,,71,157
64,,64,161
71,,71,161
64,,64,164
71,,71,164
60,,60,170
64,,64,170
71,,71,170
64,,64,173
64,,64,175
71,,71,175
60,,60,177
72,,72,177
64,,64,179
71,,71,179
72,,72,179
64,,64,182
72,,72,182
64,,64,183
64,,64,185
80,,80,185
17,,17,185
64,,64,189
80,,80,189
17,,17,189
64,,64,193
71,,71,193
80,,80,193
64,,64,195
64,,64,196
71,,71,196
60,,60,197
60,,60,198
64,,64,198
60,,60,200
64,,64,200
64,,64,219
78,,78,219
64,,64,220
78,,78,220
64,,64,222
64,,64,223
64,,64,224
