set,period,plant,line,shift,i_shift,capacity_type,work_day,max_capacity
0,23,64,,1.0,1,Pcs,1.0,60.0
0,24,64,,1.0,1,Pcs,1.0,60.0
0,25,64,,1.0,1,Pcs,1.0,60.0
0,26,64,,1.0,1,Pcs,1.0,60.0
0,27,64,,1.0,1,Pcs,1.0,50.0
0,28,64,,1.0,1,Pcs,1.0,60.0
0,29,64,,1.0,1,Pcs,1.0,0.0
0,30,64,,1.0,1,Pcs,1.0,60.0
0,31,64,,1.0,1,Pcs,1.0,60.0
0,32,64,,1.0,1,Pcs,1.0,60.0
0,33,64,,1.0,1,Pcs,1.0,60.0
0,34,64,,1.0,1,Pcs,1.0,60.0
0,35,64,,1.0,1,Pcs,1.0,60.0
0,36,64,,1.0,1,Pcs,1.0,60.0
0,37,64,,1.0,1,Pcs,1.0,60.0
0,38,64,,1.0,1,Pcs,1.0,60.0
0,39,64,,1.0,1,Pcs,1.0,60.0
0,40,64,,1.0,1,Pcs,1.0,60.0
0,41,64,,1.0,1,Pcs,1.0,60.0
0,42,64,,1.0,1,Pcs,1.0,60.0
0,43,64,,1.0,1,Pcs,1.0,60.0
0,44,64,,1.0,1,Pcs,1.0,60.0
0,45,64,,1.0,1,Pcs,1.0,60.0
0,46,64,,1.0,1,Pcs,1.0,60.0
0,47,64,,1.0,1,Pcs,1.0,60.0
0,48,64,,1.0,1,Pcs,1.0,60.0
0,49,64,,1.0,1,Pcs,1.0,60.0
0,50,64,,1.0,1,Pcs,1.0,60.0
0,51,64,,1.0,1,Pcs,1.0,60.0
0,52,64,,1.0,1,Pcs,1.0,60.0
0,53,64,,1.0,1,Pcs,1.0,60.0
0,54,64,,1.0,1,Pcs,1.0,60.0
0,55,64,,1.0,1,Pcs,1.0,60.0
0,56,64,,1.0,1,Pcs,1.0,420.0
0,63,64,,1.0,1,Pcs,1.0,420.0
0,70,64,,1.0,1,Pcs,1.0,420.0
0,77,64,,1.0,1,Pcs,1.0,420.0
0,84,64,,1.0,1,Pcs,1.0,420.0
0,91,64,,1.0,1,Pcs,1.0,420.0
0,98,64,,1.0,1,Pcs,1.0,420.0
0,105,64,,1.0,1,Pcs,1.0,420.0
0,112,64,,1.0,1,Pcs,1.0,420.0
0,119,64,,1.0,1,Pcs,1.0,420.0
1,23,3,,1.0,1,Pcs,1.0,400.0
1,24,3,,1.0,1,Pcs,1.0,400.0
1,25,3,,1.0,1,Pcs,1.0,400.0
1,26,3,,1.0,1,Pcs,1.0,400.0
1,27,3,,1.0,1,Pcs,0.0,0.0
1,28,3,,1.0,1,Pcs,1.0,400.0
1,29,3,,1.0,1,Pcs,1.0,400.0
1,30,3,,1.0,1,Pcs,1.0,400.0
1,31,3,,1.0,1,Pcs,1.0,400.0
1,32,3,,1.0,1,Pcs,1.0,400.0
1,33,3,,1.0,1,Pcs,1.0,400.0
1,34,3,,1.0,1,Pcs,0.0,0.0
1,35,3,,1.0,1,Pcs,1.0,400.0
1,36,3,,1.0,1,Pcs,1.0,400.0
1,37,3,,1.0,1,Pcs,1.0,400.0
1,38,3,,1.0,1,Pcs,1.0,400.0
1,39,3,,1.0,1,Pcs,1.0,400.0
1,40,3,,1.0,1,Pcs,1.0,400.0
1,41,3,,1.0,1,Pcs,0.0,0.0
1,42,3,,1.0,1,Pcs,1.0,400.0
1,43,3,,1.0,1,Pcs,1.0,400.0
1,44,3,,1.0,1,Pcs,1.0,400.0
1,45,3,,1.0,1,Pcs,1.0,400.0
1,46,3,,1.0,1,Pcs,1.0,400.0
1,47,3,,1.0,1,Pcs,1.0,400.0
1,48,3,,1.0,1,Pcs,0.0,0.0
1,49,3,,1.0,1,Pcs,1.0,400.0
1,50,3,,1.0,1,Pcs,1.0,400.0
1,51,3,,1.0,1,Pcs,1.0,400.0
1,52,3,,1.0,1,Pcs,1.0,400.0
1,53,3,,1.0,1,Pcs,1.0,400.0
1,54,3,,1.0,1,Pcs,1.0,400.0
1,55,3,,1.0,1,Pcs,0.0,0.0
1,56,3,,1.0,1,Pcs,0.8571428571428571,2400.0
1,63,3,,1.0,1,Pcs,0.8571428571428571,2400.0
1,70,3,,1.0,1,Pcs,0.8571428571428571,2400.0
1,77,3,,1.0,1,Pcs,0.8571428571428571,2400.0
1,84,3,,1.0,1,Pcs,0.8571428571428571,2400.0
1,91,3,,1.0,1,Pcs,0.8571428571428571,2400.0
1,98,3,,1.0,1,Pcs,0.8571428571428571,2400.0
1,105,3,,1.0,1,Pcs,0.8571428571428571,2400.0
1,112,3,,1.0,1,Pcs,0.8571428571428571,2400.0
1,119,3,,1.0,1,Pcs,1.0,2800.0
2,23,3,,1.0,1,Pcs,1.0,1500.0
2,23,3,,1.0,1,Pcs,1.0,1500.0
2,24,3,,1.0,1,Pcs,1.0,1500.0
2,24,3,,1.0,1,Pcs,1.0,1500.0
2,25,3,,1.0,1,Pcs,1.0,900.0
2,25,3,,1.0,1,Pcs,1.0,900.0
2,26,3,,1.0,1,Pcs,1.0,1500.0
2,26,3,,1.0,1,Pcs,1.0,1500.0
2,27,3,,1.0,1,Pcs,0.0,0.0
2,27,3,,1.0,1,Pcs,0.0,0.0
2,28,3,,1.0,1,Pcs,1.0,1500.0
2,28,3,,1.0,1,Pcs,1.0,1500.0
2,29,3,,1.0,1,Pcs,1.0,1500.0
2,29,3,,1.0,1,Pcs,1.0,1500.0
2,30,3,,1.0,1,Pcs,1.0,1500.0
2,30,3,,1.0,1,Pcs,1.0,1500.0
2,31,3,,1.0,1,Pcs,1.0,1500.0
2,31,3,,1.0,1,Pcs,1.0,1500.0
2,32,3,,1.0,1,Pcs,1.0,1500.0
2,32,3,,1.0,1,Pcs,1.0,1500.0
2,33,3,,1.0,1,Pcs,1.0,1500.0
2,33,3,,1.0,1,Pcs,1.0,1500.0
2,34,3,,1.0,1,Pcs,0.0,0.0
2,34,3,,1.0,1,Pcs,0.0,0.0
2,35,3,,1.0,1,Pcs,1.0,1500.0
2,35,3,,1.0,1,Pcs,1.0,1500.0
2,36,3,,1.0,1,Pcs,1.0,1500.0
2,36,3,,1.0,1,Pcs,1.0,1500.0
2,37,3,,1.0,1,Pcs,1.0,1500.0
2,37,3,,1.0,1,Pcs,1.0,1500.0
2,38,3,,1.0,1,Pcs,1.0,1500.0
2,38,3,,1.0,1,Pcs,1.0,1500.0
2,39,3,,1.0,1,Pcs,1.0,1500.0
2,39,3,,1.0,1,Pcs,1.0,1500.0
2,40,3,,1.0,1,Pcs,1.0,1500.0
2,40,3,,1.0,1,Pcs,1.0,1500.0
2,41,3,,1.0,1,Pcs,0.0,0.0
2,41,3,,1.0,1,Pcs,0.0,0.0
2,42,3,,1.0,1,Pcs,1.0,1500.0
2,42,3,,1.0,1,Pcs,1.0,1500.0
2,43,3,,1.0,1,Pcs,1.0,1500.0
2,43,3,,1.0,1,Pcs,1.0,1500.0
2,44,3,,1.0,1,Pcs,1.0,1500.0
2,44,3,,1.0,1,Pcs,1.0,1500.0
2,45,3,,1.0,1,Pcs,1.0,1500.0
2,45,3,,1.0,1,Pcs,1.0,1500.0
2,46,3,,1.0,1,Pcs,1.0,1500.0
2,46,3,,1.0,1,Pcs,1.0,1500.0
2,47,3,,1.0,1,Pcs,1.0,1500.0
2,47,3,,1.0,1,Pcs,1.0,1500.0
2,48,3,,1.0,1,Pcs,0.0,0.0
2,48,3,,1.0,1,Pcs,0.0,0.0
2,49,3,,1.0,1,Pcs,1.0,1500.0
2,49,3,,1.0,1,Pcs,1.0,1500.0
2,50,3,,1.0,1,Pcs,1.0,1500.0
2,50,3,,1.0,1,Pcs,1.0,1500.0
2,51,3,,1.0,1,Pcs,1.0,1500.0
2,51,3,,1.0,1,Pcs,1.0,1500.0
2,52,3,,1.0,1,Pcs,1.0,1500.0
2,52,3,,1.0,1,Pcs,1.0,1500.0
2,53,3,,1.0,1,Pcs,1.0,1500.0
2,53,3,,1.0,1,Pcs,1.0,1500.0
2,54,3,,1.0,1,Pcs,1.0,1500.0
2,54,3,,1.0,1,Pcs,1.0,1500.0
2,55,3,,1.0,1,Pcs,0.0,0.0
2,55,3,,1.0,1,Pcs,0.0,0.0
2,56,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,56,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,63,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,63,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,70,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,70,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,77,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,77,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,84,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,84,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,91,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,91,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,98,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,98,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,105,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,105,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,112,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,112,3,,1.0,1,Pcs,0.8571428571428571,9000.0
2,119,3,,1.0,1,Pcs,1.0,10500.0
2,119,3,,1.0,1,Pcs,1.0,10500.0
3,23,123,,1.0,1,Pcs,1.0,1500.0
3,23,123,,1.0,1,Pcs,1.0,1500.0
3,24,123,,1.0,1,Pcs,1.0,1500.0
3,24,123,,1.0,1,Pcs,1.0,1500.0
3,25,123,,1.0,1,Pcs,1.0,1500.0
3,25,123,,1.0,1,Pcs,1.0,1500.0
3,26,123,,1.0,1,Pcs,1.0,1500.0
3,26,123,,1.0,1,Pcs,1.0,1500.0
