set,plant,capacity_type,item_code
126,114,Point,584
24,3,Pcs,584
55,3,Pcs,584
93,3,Pcs,584
115,3,Point,584
27,123,Pcs,584
56,123,Pcs,584
127,123,Point,584
25,27,Pcs,584
26,64,Pcs,584
120,64,Point,584
125,64,Point,584
116,27,Point,584
24,3,Pcs,459
201,3,Pcs,459
115,3,Point,459
25,27,Pcs,459
26,64,Pcs,459
62,54,Pcs,4105
63,137,Pcs,4105
62,54,Pcs,4099
63,137,Pcs,4099
62,54,Pcs,4103
63,137,Pcs,4103
62,54,Pcs,4104
63,137,Pcs,4104
62,54,Pcs,4115
62,54,Pcs,4116
62,54,Pcs,4117
63,137,Pcs,4117
4,46,Pcs,534
118,46,Point,534
5,61,Pcs,534
124,61,Point,534
4,46,Pcs,537
118,46,Point,537
5,61,Pcs,537
124,61,Point,537
4,46,Pcs,539
118,46,Point,539
5,61,Pcs,539
124,61,Point,539
4,46,Pcs,533
118,46,Point,533
5,61,Pcs,533
124,61,Point,533
4,46,Pcs,536
118,46,Point,536
5,61,Pcs,536
124,61,Point,536
4,46,Pcs,538
118,46,Point,538
5,61,Pcs,538
124,61,Point,538
6,46,Pcs,439
195,46,Pcs,493
118,46,Point,493
195,46,Pcs,494
118,46,Point,494
194,46,Pcs,102
194,46,Pcs,104
194,46,Pcs,106
194,46,Pcs,108
194,46,Pcs,117
194,46,Pcs,101
194,46,Pcs,103
194,46,Pcs,105
194,46,Pcs,107
194,46,Pcs,116
123,60,Point,581
124,61,Point,581
123,60,Point,580
124,61,Point,580
123,60,Point,583
124,61,Point,583
177,80,Pcs,250
177,80,Pcs,255
177,80,Pcs,243
177,80,Pcs,245
177,80,Pcs,247
177,80,Pcs,249
177,80,Pcs,251
177,80,Pcs,252
177,80,Pcs,254
178,80,Pcs,186
92,17,Pcs,186
178,80,Pcs,190
178,80,Pcs,194
178,80,Pcs,185
92,17,Pcs,185
178,80,Pcs,189
178,80,Pcs,193
67,13,Pcs,96
68,27,Pcs,96
105,27,Pcs,96
69,64,Pcs,96
106,64,Pcs,96
94,13,Pcs,79
80,71,Pcs,79
95,17,Pcs,79
94,13,Pcs,236
80,71,Pcs,236
95,17,Pcs,236
37,27,Pcs,594
38,64,Pcs,594
142,64,Pcs,594
147,64,Pcs,594
120,64,Point,594
122,64,Point,594
116,27,Point,594
37,27,Pcs,586
38,64,Pcs,586
141,64,Pcs,586
35,10,Pcs,586
37,27,Pcs,587
38,64,Pcs,587
35,10,Pcs,587
37,27,Pcs,593
38,64,Pcs,593
142,64,Pcs,593
147,64,Pcs,593
120,64,Point,593
122,64,Point,593
116,27,Point,593
145,27,Pcs,142
89,64,Pcs,142
145,27,Pcs,159
8,64,Pcs,585
38,64,Pcs,585
120,64,Point,585
122,64,Point,585
21,64,Pcs,140
61,64,Pcs,140
26,64,Pcs,479
200,64,Pcs,479
120,64,Point,479
125,64,Point,479
38,64,Pcs,589
142,64,Pcs,589
38,64,Pcs,592
141,64,Pcs,592
35,10,Pcs,592
61,64,Pcs,127
61,64,Pcs,133
61,64,Pcs,136
61,64,Pcs,137
61,64,Pcs,139
61,64,Pcs,144
131,64,Pcs,596
120,64,Point,596
125,64,Point,596
116,27,Point,596
131,64,Pcs,598
120,64,Point,598
125,64,Point,598
116,27,Point,598
131,64,Pcs,595
120,64,Point,595
125,64,Point,595
116,27,Point,595
131,64,Pcs,597
120,64,Point,597
125,64,Point,597
116,27,Point,597
89,64,Pcs,143
12,156,Pcs,91
13,167,Pcs,91
129,167,Point,91
9,41,Pcs,91
117,41,Point,91
121,72,Point,91
10,72,Pcs,91
11,86,Pcs,91
14,169,Pcs,91
130,169,Point,91
12,156,Pcs,95
128,156,Point,95
13,167,Pcs,95
129,167,Point,95
9,41,Pcs,95
117,41,Point,95
121,72,Point,95
10,72,Pcs,95
11,86,Pcs,95
14,169,Pcs,95
130,169,Point,95
12,156,Pcs,97
128,156,Point,97
12,156,Pcs,109
128,156,Point,109
13,167,Pcs,109
129,167,Point,109
10,72,Pcs,109
12,156,Pcs,119
13,167,Pcs,119
129,167,Point,119
9,41,Pcs,119
117,41,Point,119
121,72,Point,119
10,72,Pcs,119
11,86,Pcs,119
14,169,Pcs,119
130,169,Point,119
12,156,Pcs,120
128,156,Point,120
9,41,Pcs,120
117,41,Point,120
14,169,Pcs,120
130,169,Point,120
13,167,Pcs,75
18,61,Pcs,604
18,61,Pcs,608
18,61,Pcs,603
18,61,Pcs,607
18,61,Pcs,611
18,61,Pcs,612
18,61,Pcs,613
18,61,Pcs,614
18,61,Pcs,615
124,61,Point,446
124,61,Point,557
124,61,Point,582
121,72,Point,162
10,72,Pcs,162
14,169,Pcs,162
91,169,Pcs,160
130,169,Point,160
28,17,Pcs,68
76,17,Pcs,68
60,17,Rate,68
29,118,Pcs,68
28,17,Pcs,69
76,17,Pcs,69
60,17,Rate,69
29,118,Pcs,69
30,141,Pcs,69
77,141,Pcs,69
76,17,Pcs,72
59,118,Rate,72
76,17,Pcs,71
59,118,Rate,71
65,196,Pcs,4097
65,196,Pcs,4109
65,196,Pcs,4110
65,196,Pcs,4113
65,196,Pcs,4114
197,126,Pcs,47
196,50,Pcs,47
197,126,Pcs,53
196,50,Pcs,53
197,126,Pcs,54
102,50,Pcs,54
196,50,Pcs,54
197,126,Pcs,55
103,50,Pcs,55
196,50,Pcs,55
197,126,Pcs,47
196,50,Pcs,47
199,126,Pcs,44
198,50,Pcs,44
199,126,Pcs,48
198,50,Pcs,48
199,126,Pcs,51
198,50,Pcs,51
199,126,Pcs,52
198,50,Pcs,52
196,50,Pcs,46
196,50,Pcs,49
196,50,Pcs,56
196,50,Pcs,46
17,114,Pcs,488
126,114,Point,488
15,3,Pcs,488
24,3,Pcs,488
205,3,Pcs,488
115,3,Point,488
16,27,Pcs,488
25,27,Pcs,488
26,64,Pcs,488
206,64,Pcs,488
120,64,Point,488
125,64,Point,488
116,27,Point,488
17,114,Pcs,487
126,114,Point,487
15,3,Pcs,487
24,3,Pcs,487
205,3,Pcs,487
115,3,Point,487
16,27,Pcs,487
25,27,Pcs,487
26,64,Pcs,487
206,64,Pcs,487
120,64,Point,487
125,64,Point,487
116,27,Point,487
114,114,Pcs,483
126,114,Point,483
24,3,Pcs,483
112,3,Pcs,483
202,3,Pcs,483
115,3,Point,483
27,123,Pcs,483
204,123,Pcs,483
127,123,Point,483
25,27,Pcs,483
113,27,Pcs,483
26,64,Pcs,483
203,64,Pcs,483
116,27,Point,483
110,114,Pcs,523
126,114,Point,523
31,3,Pcs,523
181,3,Pcs,523
107,3,Pcs,523
115,3,Point,523
34,123,Pcs,523
127,123,Point,523
32,27,Pcs,523
108,27,Pcs,523
33,64,Pcs,523
182,64,Pcs,523
109,64,Pcs,523
120,64,Point,523
125,64,Point,523
116,27,Point,523
75,114,Pcs,528
126,114,Point,528
31,3,Pcs,528
188,3,Pcs,528
73,3,Pcs,528
115,3,Point,528
34,123,Pcs,528
190,123,Pcs,528
32,27,Pcs,528
74,27,Pcs,528
33,64,Pcs,528
189,64,Pcs,528
120,64,Point,528
125,64,Point,528
116,27,Point,528
174,114,Pcs,542
126,114,Point,542
24,3,Pcs,542
171,3,Pcs,542
185,3,Pcs,542
115,3,Point,542
25,27,Pcs,542
172,27,Pcs,542
26,64,Pcs,542
173,64,Pcs,542
186,64,Pcs,542
120,64,Point,542
125,64,Point,542
116,27,Point,542
72,114,Pcs,541
24,3,Pcs,541
70,3,Pcs,541
25,27,Pcs,541
71,27,Pcs,541
26,64,Pcs,541
184,64,Pcs,541
116,27,Point,541
114,114,Pcs,475
24,3,Pcs,475
112,3,Pcs,475
202,3,Pcs,475
115,3,Point,475
25,27,Pcs,475
113,27,Pcs,475
26,64,Pcs,475
203,64,Pcs,475
120,64,Point,475
116,27,Point,475
114,114,Pcs,490
24,3,Pcs,490
112,3,Pcs,490
202,3,Pcs,490
115,3,Point,490
27,123,Pcs,490
204,123,Pcs,490
127,123,Point,490
25,27,Pcs,490
113,27,Pcs,490
126,114,Point,478
24,3,Pcs,478
2,3,Pcs,478
57,3,Pcs,478
27,123,Pcs,478
3,123,Pcs,478
58,123,Pcs,478
127,123,Point,478
25,27,Pcs,478
116,27,Point,478
24,3,Pcs,499
175,3,Pcs,499
27,123,Pcs,499
127,123,Point,499
25,27,Pcs,499
26,64,Pcs,499
39,64,Pcs,499
120,64,Point,499
125,64,Point,499
116,27,Point,499
24,3,Pcs,457
52,3,Pcs,457
115,3,Point,457
25,27,Pcs,457
26,64,Pcs,457
53,64,Pcs,457
116,27,Point,457
24,3,Pcs,458
48,3,Pcs,458
27,123,Pcs,458
49,123,Pcs,458
127,123,Point,458
25,27,Pcs,458
116,27,Point,458
24,3,Pcs,459
201,3,Pcs,459
115,3,Point,459
25,27,Pcs,459
26,64,Pcs,459
24,3,Pcs,459
201,3,Pcs,459
115,3,Point,459
25,27,Pcs,459
26,64,Pcs,459
24,3,Pcs,463
48,3,Pcs,463
27,123,Pcs,463
49,123,Pcs,463
127,123,Point,463
25,27,Pcs,463
116,27,Point,463
24,3,Pcs,468
2,3,Pcs,468
57,3,Pcs,468
115,3,Point,468
27,123,Pcs,468
3,123,Pcs,468
58,123,Pcs,468
25,27,Pcs,468
116,27,Point,468
24,3,Pcs,470
50,3,Pcs,470
150,3,Pcs,470
25,27,Pcs,470
26,64,Pcs,470
51,64,Pcs,470
120,64,Point,470
116,27,Point,470
24,3,Pcs,471
50,3,Pcs,471
150,3,Pcs,471
25,27,Pcs,471
