plant,proportion,start_date,end_date,cumulate_production,inclusive,item_code
61,0.0,70,76,0,1,537
46,100.0,70,76,0,1,537
61,0.0,84,90,0,1,537
46,100.0,84,90,0,1,537
61,0.0,77,83,0,1,537
46,100.0,77,83,0,1,537
61,0.0,49,55,0,1,537
46,100.0,49,55,0,1,537
61,0.0,91,119,0,1,537
46,100.0,91,119,0,1,537
61,0.0,35,41,0,1,537
46,100.0,35,41,0,1,537
61,0.0,23,27,0,1,537
46,100.0,23,27,0,1,537
61,0.0,63,69,0,1,537
46,100.0,63,69,0,1,537
61,0.0,42,48,0,1,537
46,100.0,42,48,0,1,537
61,0.0,28,34,0,1,537
46,100.0,28,34,0,1,537
61,0.0,56,62,0,1,537
46,100.0,56,62,0,1,537
13,50.0,63,69,0,1,218
64,50.0,63,69,0,1,218
13,50.0,35,41,0,1,218
64,50.0,35,41,0,1,218
13,50.0,70,76,0,1,218
64,50.0,70,76,0,1,218
13,50.0,84,90,0,1,218
64,50.0,84,90,0,1,218
13,50.0,49,55,0,1,218
64,50.0,49,55,0,1,218
13,50.0,42,48,0,1,218
64,50.0,42,48,0,1,218
13,50.0,56,62,0,1,218
64,50.0,56,62,0,1,218
13,50.0,91,119,0,1,218
64,50.0,91,119,0,1,218
13,50.0,28,34,0,1,218
64,50.0,28,34,0,1,218
13,50.0,23,27,0,1,218
64,50.0,23,27,0,1,218
13,50.0,77,83,0,1,218
64,50.0,77,83,0,1,218
64,100.0,84,90,0,1,250
45,0.0,84,90,0,1,250
64,100.0,35,41,0,1,250
45,0.0,35,41,0,1,250
64,100.0,23,27,18,1,250
45,0.0,23,27,0,1,250
64,100.0,49,55,0,1,250
45,0.0,49,55,0,1,250
64,100.0,70,76,0,1,250
45,0.0,70,76,0,1,250
64,100.0,42,48,0,1,250
45,0.0,42,48,0,1,250
64,100.0,28,34,6,1,250
45,0.0,28,34,0,1,250
64,100.0,91,119,0,1,250
45,0.0,91,119,0,1,250
64,100.0,63,69,0,1,250
45,0.0,63,69,0,1,250
64,100.0,77,83,0,1,250
45,0.0,77,83,0,1,250
64,100.0,56,62,0,1,250
45,0.0,56,62,0,1,250
72,100.0,23,27,0,1,889
72,100.0,56,62,0,1,889
72,100.0,35,41,0,1,889
72,100.0,84,90,0,1,889
72,100.0,63,69,0,1,889
72,100.0,91,119,0,1,889
72,100.0,42,48,0,1,889
72,100.0,49,55,0,1,889
72,100.0,28,34,0,1,889
72,100.0,70,76,0,1,889
72,100.0,77,83,0,1,889
13,100.0,84,90,0,1,295
13,100.0,35,41,0,1,295
13,100.0,23,27,0,1,295
13,100.0,63,69,0,1,295
13,100.0,28,34,0,1,295
13,100.0,56,62,0,1,295
13,100.0,42,48,0,1,295
13,100.0,91,119,0,1,295
13,100.0,70,76,0,1,295
13,100.0,49,55,0,1,295
13,100.0,77,83,0,1,295
46,100.0,49,55,0,1,539
61,0.0,49,55,0,1,539
46,100.0,70,76,0,1,539
61,0.0,70,76,0,1,539
