avail_period,plant,qty,item_code
23,126,14.0,51
24,50,34758.0,51
26,126,64.0,51
27,126,116.0,51
37,126,21888.0,51
38,126,43776.0,51
39,126,43776.0,51
40,126,21888.0,51
41,126,21888.0,51
42,126,21888.0,51
43,126,21888.0,51
23,126,86.0,57
24,126,42091.0,57
26,126,48819.0,57
27,126,65664.0,57
30,126,20213.0,57
31,126,43776.0,57
32,126,21888.0,57
35,126,21888.0,57
36,126,21888.0,57
42,126,21888.0,57
43,126,21888.0,57
45,126,21888.0,57
46,126,21888.0,57
47,126,21888.0,57
48,126,43776.0,57
49,126,43776.0,57
50,126,43776.0,57
51,126,21888.0,57
52,126,43776.0,57
53,126,65664.0,57
54,126,43776.0,57
55,126,43776.0,57
56,126,175104.0,57
23,118,20.0,69
24,17,300.0,69
24,118,100.0,69
23,13,1.0,96
23,156,1.0,97
23,167,200.0,109
29,167,1.0,109
30,167,144.0,109
31,167,120.0,109
35,167,176.0,109
36,167,120.0,109
38,167,1.0,109
45,167,200.0,109
47,167,200.0,109
91,167,19.0,109
23,72,1518.0,119
23,169,1354.0,119
24,169,1572.0,119
26,169,1500.0,119
28,41,1000.0,119
28,72,1000.0,119
29,72,1000.0,119
29,167,60.0,119
30,41,4.0,119
31,72,1000.0,119
31,167,4783.0,119
31,169,1500.0,119
32,72,1000.0,119
32,169,1500.0,119
33,72,1000.0,119
33,169,1500.0,119
35,169,1500.0,119
37,41,4.0,119
37,72,1000.0,119
37,167,1600.0,119
39,41,1000.0,119
44,72,1000.0,119
56,72,32.0,119
63,72,4.0,119
70,169,3.0,119
77,169,17.0,119
23,41,4.0,120
23,169,16.0,120
24,41,66.0,120
25,169,3.0,120
27,169,800.0,120
28,41,1200.0,120
29,41,600.0,120
30,41,806.0,120
30,169,9.0,120
31,41,600.0,120
37,41,606.0,120
38,41,600.0,120
39,169,600.0,120
41,169,600.0,120
51,169,24.0,120
63,169,9.0,120
70,169,4.0,120
77,169,4.0,120
84,41,12.0,120
91,41,3.0,120
23,64,11.0,127
26,13,10.0,127
28,13,10.0,127
23,13,14.0,159
26,13,1200.0,159
28,13,1200.0,159
29,13,5.0,159
23,169,1.0,160
24,169,30.0,160
23,169,52.0,162
35,169,100.0,162
23,64,6.0,249
24,64,6.0,249
31,64,6.0,249
23,64,1.0,260
25,64,9.0,260
23,64,6.0,276
24,64,10.0,276
31,64,6.0,276
23,123,1.0,458
25,123,160.0,458
26,123,100.0,458
36,123,2.0,458
50,57,4.0,458
53,57,12.0,458
54,57,9.0,458
55,57,19.0,458
56,57,5.0,458
23,64,6.0,467
33,64,60.0,467
56,57,3.0,467
63,57,3.0,467
23,64,306.0,470
24,64,700.0,470
25,64,100.0,470
26,64,606.0,470
48,57,3.0,470
49,57,6.0,470
23,3,3.0,490
25,3,150.0,490
26,3,90.0,490
30,3,114.0,490
23,64,240.0,491
24,64,200.0,491
25,64,180.0,491
28,64,380.0,491
29,64,200.0,491
30,64,600.0,491
23,64,30.0,503
27,64,48.0,503
23,123,3.0,507
55,57,13.0,507
56,57,5.0,507
63,57,3.0,507
23,3,6.0,528
25,3,290.0,528
28,3,50.0,528
29,3,50.0,528
30,3,130.0,528
55,3,4.0,528
70,3,8.0,528
77,3,10.0,528
23,61,174.0,540
23,64,48.0,549
25,10,200.0,549
28,10,60.0,549
29,10,2.0,549
30,10,232.0,549
48,64,72.0,549
23,3,3.0,560
51,3,4.0,560
23,3,13.0,570
23,64,972.0,570
24,64,1176.0,570
25,3,401.0,570
25,64,400.0,570
26,3,900.0,570
27,64,400.0,570
28,3,1100.0,570
28,64,600.0,570
29,3,600.0,570
23,64,6.0,589
23,64,41.0,593
46,64,22.0,593
23,10,14.0,598
23,64,800.0,598
24,64,800.0,598
29,10,9.0,598
32,64,400.0,598
36,64,1600.0,598
23,179,75.0,640
26,227,324744.0,640
23,226,1.0,796
23,54,80.0,4118
23,196,24.0,4141
29,53,10033.0,4141
29,196,59686.0,4141
32,53,3005.0,4141
41,53,2100.0,4141
24,50,2277.0,46
26,50,16587.0,46
29,50,1069.0,46
35,50,85219.0,46
36,50,87581.0,46
40,50,49538.0,46
24,50,19819.0,47
43,50,83311.0,47
44,50,162513.0,47
47,50,72378.0,47
24,50,82756.0,48
26,126,280860.0,48
28,126,18816.0,48
29,50,94080.0,48
29,126,56448.0,48
30,126,75264.0,48
33,50,23520.0,48
34,50,47040.0,48
35,126,37632.0,48
36,126,18816.0,48
37,126,112896.0,48
38,126,94080.0,48
39,126,56448.0,48
40,50,117600.0,48
40,126,37632.0,48
42,126,18816.0,48
45,126,56448.0,48
47,50,94080.0,48
49,126,37632.0,48
50,126,94080.0,48
51,126,244608.0,48
52,126,301056.0,48
53,126,112896.0,48
56,50,164640.0,48
56,126,602112.0,48
63,50,23520.0,48
63,126,545664.0,48
70,126,206976.0,48
24,50,11788.0,52
24,126,25.0,52
26,126,18859.0,52
28,126,11162.0,52
29,50,164640.0,52
33,126,15.0,52
34,126,32.0,52
35,126,112947.0,52
36,126,55.0,52
37,126,18816.0,52
38,126,18816.0,52
41,126,37632.0,52
42,126,112896.0,52
43,126,150528.0,52
44,126,56448.0,52
45,126,37632.0,52
46,126,37632.0,52
24,50,85857.0,53
28,50,602.0,53
29,50,129133.0,53
40,50,120317.0,53
24,50,151982.0,54
26,50,42052.0,54
27,50,99423.0,54
28,50,169213.0,54
29,50,474958.0,54
33,50,190198.0,54
40,50,379794.0,54
41,50,95169.0,54
42,50,94359.0,54
43,50,96595.0,54
44,50,193311.0,54
47,50,74218.0,54
48,50,94869.0,54
49,50,198498.0,54
52,50,100000.0,54
53,50,100000.0,54
56,50,100000.0,54
56,126,100000.0,54
24,50,603120.0,55
27,50,90998.0,55
28,50,107649.0,55
29,50,167966.0,55
33,50,43283.0,55
34,50,107673.0,55
35,50,64340.0,55
36,50,21483.0,55
40,50,169751.0,55
41,50,21085.0,55
42,50,171422.0,55
47,50,21342.0,55
49,50,330844.0,55
54,126,25000.0,55
56,50,25000.0,55
24,64,26.0,133
33,64,8.0,133
24,64,18.0,136
24,64,4.0,137
24,10,232.0,497
25,10,156.0,497
33,10,300.0,497
24,123,37.0,509
25,123,500.0,509
26,123,500.0,509
84,123,4.0,509
91,123,4.0,509
24,64,400.0,512
24,64,360.0,516
25,64,284.0,516
27,64,180.0,516
24,10,228.0,548
26,10,306.0,548
29,10,252.0,548
46,27,78.0,548
24,64,84.0,554
24,61,3.0,611
25,64,2.0,76
25,64,7.0,266
27,64,1.0,266
25,123,202.0,505
27,123,600.0,505
25,10,50.0,545
28,10,50.0,545
25,123,120.0,584
31,3,18.0,584
31,123,40.0,584
48,57,2.0,584
50,57,6.0,584
53,57,6.0,584
25,61,13.0,615
34,61,24.0,615
25,64,9.0,616
26,64,13.0,146
26,64,43.0,223
27,64,19.0,223
26,64,2.0,224
26,13,2976.0,236
28,13,2232.0,236
30,17,11160.0,236
31,13,2976.0,236
26,64,59.0,453
26,10,10.0,500
30,10,100.0,500
26,61,1.0,613
26,179,73.0,639
26,227,4644404.0,639
39,227,1350000.0,639
56,227,1350000.0,639
26,179,357660.0,641
26,227,2029279.0,641
39,227,900000.0,641
26,228,185.0,642
27,64,44.0,40
27,64,2.0,237
27,64,9.0,239
27,64,8.0,241
27,64,50.0,251
34,64,79.0,251
27,64,10.0,254
28,64,2.0,89
29,64,1.0,89
28,64,13.0,207
28,64,13.0,242
28,64,4.0,269
28,64,3.0,271
28,64,500.0,531
29,64,500.0,531
30,64,500.0,531
31,64,300.0,531
29,118,20.0,74
29,46,8.0,117
77,46,274.0,117
29,46,5.0,148
29,13,2.0,218
29,64,3.0,282
29,64,100.0,551
30,64,94.0,551
29,10,1.0,596
29,196,2852.0,4110
29,54,606.0,4121
29,53,460.0,4124
29,54,184.0,4124
29,54,1911.0,4128
29,54,2100.0,4134
56,54,3800.0,4134
29,54,60.0,4144
30,13,200.0,142
32,13,600.0,142
35,13,200.0,142
30,64,1.0,182
30,64,3.0,194
31,64,1.0,90
31,64,9.0,139
31,61,16.0,555
31,61,48.0,563
31,64,220.0,564
32,46,6.0,107
33,64,100.0,592
34,64,200.0,592
46,64,10.0,592
36,169,253.0,543
37,169,200.0,543
38,169,200.0,543
39,169,200.0,543
41,169,200.0,543
42,169,200.0,543
43,169,200.0,543
47,169,200.0,543
48,64,32.0,517
48,64,155.0,550
48,54,70.0,4173
49,57,8.0,468
55,57,12.0,468
56,57,3.0,468
49,57,6.0,3508
63,57,22.0,3508
53,57,2.0,478
56,57,155.0,79
56,72,12.0,91
77,41,63.0,91
84,41,4.0,91
56,72,12.0,95
63,72,3.0,95
77,41,111.0,95
77,156,1.0,95
77,169,68.0,95
98,41,163.0,95
56,57,1.0,434
56,57,1.0,480
56,57,3.0,3502
56,57,12.0,3503
56,57,38.0,3505
56,57,18.0,3507
56,54,250.0,4116
70,3,5.0,542
77,3,11.0,542
77,3,3.0,487
77,3,19.0,529
