alter_cost,multiplier,period,plant,priority_col,type,assembly,item_code1,item_code2
-1.0,1,36,56,2,alternate,54,3575,4111
-1.0,1,37,56,2,alternate,54,3575,4111
-1.0,1,38,56,2,alternate,54,3575,4111
-1.0,1,39,56,2,alternate,54,3575,4111
-1.0,1,40,56,2,alternate,54,3575,4111
-1.0,1,41,56,2,alternate,54,3575,4111
-1.0,1,42,56,2,alternate,54,3575,4111
-1.0,1,43,56,2,alternate,54,3575,4111
-1.0,1,44,56,2,alternate,54,3575,4111
-1.0,1,45,56,2,alternate,54,3575,4111
-1.0,1,46,56,2,alternate,54,3575,4111
-1.0,1,47,56,2,alternate,54,3575,4111
-1.0,1,48,56,2,alternate,54,3575,4111
-1.0,1,49,56,2,alternate,54,3575,4111
-1.0,1,50,56,2,alternate,54,3575,4111
-1.0,1,51,56,2,alternate,54,3575,4111
-1.0,1,52,56,2,alternate,54,3575,4111
-1.0,1,53,56,2,alternate,54,3575,4111
-1.0,1,54,56,2,alternate,54,3575,4111
-1.0,1,55,56,2,alternate,54,3575,4111
-1.0,1,56,56,2,alternate,54,3575,4111
-1.0,1,57,56,2,alternate,54,3575,4111
-1.0,1,58,56,2,alternate,54,3575,4111
-1.0,1,59,56,2,alternate,54,3575,4111
-1.0,1,60,56,2,alternate,54,3575,4111
-1.0,1,61,56,2,alternate,54,3575,4111
-1.0,1,62,56,2,alternate,54,3575,4111
-1.0,1,63,56,2,alternate,54,3575,4111
-1.0,1,64,56,2,alternate,54,3575,4111
-1.0,1,65,56,2,alternate,54,3575,4111
-1.0,1,66,56,2,alternate,54,3575,4111
-1.0,1,67,56,2,alternate,54,3575,4111
-1.0,1,68,56,2,alternate,54,3575,4111
-1.0,1,69,56,2,alternate,54,3575,4111
-1.0,1,70,56,2,alternate,54,3575,4111
-1.0,1,77,56,2,alternate,54,3575,4111
-1.0,1,84,56,2,alternate,54,3575,4111
-1.0,1,91,56,2,alternate,54,3575,4111
-1.0,1,98,56,2,alternate,54,3575,4111
-1.0,1,105,56,2,alternate,54,3575,4111
-1.0,1,112,56,2,alternate,54,3575,4111
-1.0,1,119,56,2,alternate,54,3575,4111
-1.0,1,126,56,2,alternate,54,3575,4111
-1.0,1,133,56,2,alternate,54,3575,4111
-1.0,1,36,138,2,alternate,54,3575,4111
-1.0,1,37,138,2,alternate,54,3575,4111
-1.0,1,38,138,2,alternate,54,3575,4111
-1.0,1,39,138,2,alternate,54,3575,4111
-1.0,1,40,138,2,alternate,54,3575,4111
-1.0,1,41,138,2,alternate,54,3575,4111
-1.0,1,42,138,2,alternate,54,3575,4111
-1.0,1,43,138,2,alternate,54,3575,4111
-1.0,1,44,138,2,alternate,54,3575,4111
-1.0,1,45,138,2,alternate,54,3575,4111
-1.0,1,46,138,2,alternate,54,3575,4111
-1.0,1,47,138,2,alternate,54,3575,4111
-1.0,1,48,138,2,alternate,54,3575,4111
-1.0,1,49,138,2,alternate,54,3575,4111
-1.0,1,50,138,2,alternate,54,3575,4111
-1.0,1,51,138,2,alternate,54,3575,4111
-1.0,1,52,138,2,alternate,54,3575,4111
-1.0,1,53,138,2,alternate,54,3575,4111
-1.0,1,54,138,2,alternate,54,3575,4111
-1.0,1,55,138,2,alternate,54,3575,4111
-1.0,1,56,138,2,alternate,54,3575,4111
-1.0,1,57,138,2,alternate,54,3575,4111
-1.0,1,58,138,2,alternate,54,3575,4111
-1.0,1,59,138,2,alternate,54,3575,4111
-1.0,1,60,138,2,alternate,54,3575,4111
-1.0,1,61,138,2,alternate,54,3575,4111
-1.0,1,62,138,2,alternate,54,3575,4111
-1.0,1,63,138,2,alternate,54,3575,4111
-1.0,1,64,138,2,alternate,54,3575,4111
-1.0,1,65,138,2,alternate,54,3575,4111
-1.0,1,66,138,2,alternate,54,3575,4111
-1.0,1,67,138,2,alternate,54,3575,4111
-1.0,1,68,138,2,alternate,54,3575,4111
-1.0,1,69,138,2,alternate,54,3575,4111
-1.0,1,70,138,2,alternate,54,3575,4111
-1.0,1,77,138,2,alternate,54,3575,4111
-1.0,1,84,138,2,alternate,54,3575,4111
-1.0,1,91,138,2,alternate,54,3575,4111
-1.0,1,98,138,2,alternate,54,3575,4111
-1.0,1,105,138,2,alternate,54,3575,4111
-1.0,1,112,138,2,alternate,54,3575,4111
-1.0,1,119,138,2,alternate,54,3575,4111
-1.0,1,126,138,2,alternate,54,3575,4111
-1.0,1,133,138,2,alternate,54,3575,4111
-1.0,1,36,18,2,alternate,78,815,543
-1.0,1,36,127,2,alternate,78,815,543
-1.0,1,36,128,2,alternate,78,815,543
-1.0,1,36,18,2,alternate,79,815,543
-1.0,1,36,127,2,alternate,79,815,543
-1.0,1,36,128,2,alternate,79,815,543
5.0,1,36,18,1,alternate,79,810,809
5.0,1,37,18,1,alternate,79,810,809
5.0,1,38,18,1,alternate,79,810,809
5.0,1,39,18,1,alternate,79,810,809
5.0,1,40,18,1,alternate,79,810,809
5.0,1,41,18,1,alternate,79,810,809
5.0,1,42,18,1,alternate,79,810,809
5.0,1,43,18,1,alternate,79,810,809
5.0,1,44,18,1,alternate,79,810,809
5.0,1,45,18,1,alternate,79,810,809
5.0,1,46,18,1,alternate,79,810,809
5.0,1,47,18,1,alternate,79,810,809
5.0,1,48,18,1,alternate,79,810,809
5.0,1,49,18,1,alternate,79,810,809
5.0,1,50,18,1,alternate,79,810,809
5.0,1,51,18,1,alternate,79,810,809
5.0,1,52,18,1,alternate,79,810,809
5.0,1,53,18,1,alternate,79,810,809
5.0,1,54,18,1,alternate,79,810,809
5.0,1,55,18,1,alternate,79,810,809
5.0,1,56,18,1,alternate,79,810,809
5.0,1,57,18,1,alternate,79,810,809
5.0,1,58,18,1,alternate,79,810,809
5.0,1,59,18,1,alternate,79,810,809
5.0,1,60,18,1,alternate,79,810,809
5.0,1,61,18,1,alternate,79,810,809
5.0,1,62,18,1,alternate,79,810,809
5.0,1,63,18,1,alternate,79,810,809
5.0,1,64,18,1,alternate,79,810,809
5.0,1,65,18,1,alternate,79,810,809
5.0,1,66,18,1,alternate,79,810,809
5.0,1,67,18,1,alternate,79,810,809
5.0,1,68,18,1,alternate,79,810,809
5.0,1,69,18,1,alternate,79,810,809
5.0,1,70,18,1,alternate,79,810,809
5.0,1,77,18,1,alternate,79,810,809
5.0,1,84,18,1,alternate,79,810,809
5.0,1,91,18,1,alternate,79,810,809
5.0,1,98,18,1,alternate,79,810,809
5.0,1,105,18,1,alternate,79,810,809
5.0,1,112,18,1,alternate,79,810,809
5.0,1,119,18,1,alternate,79,810,809
5.0,1,126,18,1,alternate,79,810,809
5.0,1,133,18,1,alternate,79,810,809
5.0,1,36,127,1,alternate,79,810,809
5.0,1,37,127,1,alternate,79,810,809
5.0,1,38,127,1,alternate,79,810,809
5.0,1,39,127,1,alternate,79,810,809
5.0,1,40,127,1,alternate,79,810,809
5.0,1,41,127,1,alternate,79,810,809
5.0,1,42,127,1,alternate,79,810,809
5.0,1,43,127,1,alternate,79,810,809
5.0,1,44,127,1,alternate,79,810,809
5.0,1,45,127,1,alternate,79,810,809
5.0,1,46,127,1,alternate,79,810,809
5.0,1,47,127,1,alternate,79,810,809
5.0,1,48,127,1,alternate,79,810,809
5.0,1,49,127,1,alternate,79,810,809
5.0,1,50,127,1,alternate,79,810,809
5.0,1,51,127,1,alternate,79,810,809
5.0,1,52,127,1,alternate,79,810,809
5.0,1,53,127,1,alternate,79,810,809
5.0,1,54,127,1,alternate,79,810,809
5.0,1,55,127,1,alternate,79,810,809
5.0,1,56,127,1,alternate,79,810,809
5.0,1,57,127,1,alternate,79,810,809
5.0,1,58,127,1,alternate,79,810,809
5.0,1,59,127,1,alternate,79,810,809
5.0,1,60,127,1,alternate,79,810,809
5.0,1,61,127,1,alternate,79,810,809
5.0,1,62,127,1,alternate,79,810,809
5.0,1,63,127,1,alternate,79,810,809
5.0,1,64,127,1,alternate,79,810,809
5.0,1,65,127,1,alternate,79,810,809
5.0,1,66,127,1,alternate,79,810,809
5.0,1,67,127,1,alternate,79,810,809
5.0,1,68,127,1,alternate,79,810,809
5.0,1,69,127,1,alternate,79,810,809
5.0,1,70,127,1,alternate,79,810,809
5.0,1,77,127,1,alternate,79,810,809
5.0,1,84,127,1,alternate,79,810,809
5.0,1,91,127,1,alternate,79,810,809
5.0,1,98,127,1,alternate,79,810,809
5.0,1,105,127,1,alternate,79,810,809
5.0,1,112,127,1,alternate,79,810,809
5.0,1,119,127,1,alternate,79,810,809
5.0,1,126,127,1,alternate,79,810,809
5.0,1,133,127,1,alternate,79,810,809
5.0,1,36,128,1,alternate,79,810,809
5.0,1,37,128,1,alternate,79,810,809
5.0,1,38,128,1,alternate,79,810,809
5.0,1,39,128,1,alternate,79,810,809
5.0,1,40,128,1,alternate,79,810,809
5.0,1,41,128,1,alternate,79,810,809
5.0,1,42,128,1,alternate,79,810,809
5.0,1,43,128,1,alternate,79,810,809
5.0,1,44,128,1,alternate,79,810,809
5.0,1,45,128,1,alternate,79,810,809
5.0,1,46,128,1,alternate,79,810,809
5.0,1,47,128,1,alternate,79,810,809
5.0,1,48,128,1,alternate,79,810,809
5.0,1,49,128,1,alternate,79,810,809
5.0,1,50,128,1,alternate,79,810,809
5.0,1,51,128,1,alternate,79,810,809
5.0,1,52,128,1,alternate,79,810,809
5.0,1,53,128,1,alternate,79,810,809
5.0,1,54,128,1,alternate,79,810,809
5.0,1,55,128,1,alternate,79,810,809
5.0,1,56,128,1,alternate,79,810,809
5.0,1,57,128,1,alternate,79,810,809
5.0,1,58,128,1,alternate,79,810,809
5.0,1,59,128,1,alternate,79,810,809
5.0,1,60,128,1,alternate,79,810,809
5.0,1,61,128,1,alternate,79,810,809
5.0,1,62,128,1,alternate,79,810,809
5.0,1,63,128,1,alternate,79,810,809
5.0,1,64,128,1,alternate,79,810,809
5.0,1,65,128,1,alternate,79,810,809
5.0,1,66,128,1,alternate,79,810,809
5.0,1,67,128,1,alternate,79,810,809
5.0,1,68,128,1,alternate,79,810,809
5.0,1,69,128,1,alternate,79,810,809
5.0,1,70,128,1,alternate,79,810,809
5.0,1,77,128,1,alternate,79,810,809
