plant,qty,item_code,pre_qty
18,2.0,1,2.0
18,2.0,2,2.0
18,3.0,4,3.0
10,1.0,7,1.0
119,2.0,8,2.0
14,56.0,10,56.0
29,15.0,10,15.0
119,10231.0,10,10231.0
18,6.0,11,6.0
68,173.0,13,173.0
14,750.0,17,750.0
18,2502.0,17,2502.0
72,292.0,17,292.0
119,88.0,17,88.0
60,150.0,18,150.0
61,2319.0,18,2319.0
91,72.0,18,72.0
119,6457.0,18,6457.0
153,3711.0,18,3711.0
210,161.0,18,161.0
51,280.0,19,280.0
61,60.0,19,60.0
119,20040.0,19,20040.0
210,100.0,19,100.0
60,200.0,21,200.0
61,34.0,21,34.0
68,6024.0,21,6024.0
210,22.0,21,22.0
51,87.0,22,87.0
119,1400.0,22,1400.0
210,10.0,22,10.0
21,583.0,23,583.0
61,125.0,23,125.0
119,10990.0,23,10990.0
210,100.0,23,100.0
21,6.0,25,6.0
60,86.0,25,86.0
61,60.0,25,60.0
68,280.0,25,280.0
210,9.0,25,9.0
61,62.0,26,62.0
68,3597.0,26,3597.0
210,83.0,26,83.0
119,2040.0,27,2040.0
51,716.0,31,716.0
68,55151.0,31,55151.0
68,91385.0,35,91385.0
68,21478.0,36,21478.0
10,3.0,37,3.0
18,16.0,37,16.0
72,3.0,37,3.0
85,76.0,37,76.0
10,10.0,38,10.0
18,67.0,38,67.0
72,20.0,38,20.0
85,113.0,38,113.0
29,2.0,39,2.0
72,4.0,39,4.0
119,23.0,40,23.0
14,10.0,41,10.0
18,166.0,41,166.0
119,58.0,41,58.0
14,4.0,45,4.0
18,1.0,45,1.0
29,3.0,45,3.0
72,79.0,45,79.0
119,188.0,45,188.0
14,42.0,46,42.0
29,12.0,46,12.0
119,461.0,46,461.0
72,13.0,48,13.0
119,48.0,48,65.0
14,48.0,49,48.0
18,7.0,49,7.0
29,36.0,49,36.0
68,202.0,49,202.0
4,0.0,51,400.0
72,0.0,51,143.0
119,0.0,51,7911.0
123,0.0,51,23.0
4,0.0,52,1140.0
6,0.0,52,675.0
10,0.0,52,896.0
