plant,qty,item_code,pre_qty
18,2,1,2
18,2,2,2
18,3,4,3
10,1,7,1
119,2,8,2
14,56,10,56
29,15,10,15
119,10231,10,10231
18,6,11,6
68,173,13,173
14,750,17,750
18,2502,17,2502
72,292,17,292
119,88,17,88
60,150,18,150
61,2319,18,2319
91,72,18,72
119,6457,18,6457
153,3711,18,3711
210,161,18,161
51,280,19,280
61,60,19,60
119,20040,19,20040
210,100,19,100
60,200,21,200
61,34,21,34
68,6024,21,6024
210,22,21,22
51,87,22,87
119,1400,22,1400
210,10,22,10
21,583,23,583
61,125,23,125
119,10990,23,10990
210,100,23,100
21,6,25,6
60,86,25,86
61,60,25,60
68,280,25,280
210,9,25,9
61,62,26,62
68,3597,26,3597
210,83,26,83
119,2040,27,2040
51,716,31,716
68,55151,31,55151
68,91385,35,91385
68,21478,36,21478
10,3,37,3
18,16,37,16
72,3,37,3
85,76,37,76
10,10,38,10
18,67,38,67
72,20,38,20
85,113,38,113
29,2,39,2
72,4,39,4
119,23,40,23
14,10,41,10
18,166,41,166
119,58,41,58
14,4,45,4
18,1,45,1
29,3,45,3
72,79,45,79
119,188,45,188
14,42,46,42
29,12,46,12
119,461,46,461
72,13,48,13
119,48,48,65
14,48,49,48
18,7,49,7
29,36,49,36
68,202,49,202
4,0,51,400
72,0,51,143
119,0,51,7911
123,0,51,23
4,0,52,1140
6,0,52,675
10,0,52,896
29,0,52,895
46,0,52,265
68,0,52,3681
84,0,52,221
87,0,52,1913
119,2590,52,456660
125,0,52,2928
133,0,52,557
181,0,52,59
6,0,53,115
46,0,53,1448
51,0,53,1516
68,0,53,5979
72,0,53,965
80,0,53,9233
84,0,53,380
87,0,53,2130
91,0,53,483
119,156,53,552944
123,0,53,2149
125,0,53,1213
133,0,53,4300
153,0,53,412
10,0,54,1946
46,0,54,1448
51,0,54,272
61,0,54,1265
68,0,54,25184
84,0,54,644
87,0,54,4758
119,9829,54,5306041
123,0,54,2611
125,0,54,2153
235,0,54,803
253,0,54,553
89,2,55,2
4,0,57,746
46,0,57,719
68,0,57,11735
79,0,57,1
87,0,57,1160
91,0,57,357
119,7057,57,971923
133,0,57,48
153,0,57,1270
4,1487,58,1487
6,0,58,968
10,0,58,1970
29,432,58,432
46,0,58,1346
51,100,58,100
68,0,58,7334
84,1000,58,6984
91,0,58,1100
119,35542,58,1588284
125,0,58,751
133,105,58,105
153,0,58,81
235,0,58,134
6,0,59,4426
10,0,59,6793
51,0,59,3299
66,0,59,2074
68,0,59,4870
84,0,59,3178
87,2000,59,4136
119,9869,59,4159785
123,0,59,3954
125,0,59,2051
126,0,59,5967
133,0,59,4476
153,0,59,3339
181,0,59,1326
258,0,59,320
68,0,61,5
119,0,61,12558
10,1459,60,1459
29,10013,60,10013
46,3424,60,3424
51,2047,60,2047
61,1283,60,1283
66,148,60,148
68,14397,60,14397
80,2455,60,2455
84,871,60,871
87,739,60,739
91,127,60,127
119,5173570,60,5173570
125,1315,60,1315
126,469,60,469
