item_type,holding_cost,asl,item_code,orig_item,penalty_cost
Forecast Component,0.001,30,810,810,1.0
Forecast Component,0.001,30,820,820,1.0
Forecast Component,0.003,30,800,800,3.0
Forecast Component,0.001,30,809,809,1.0
Forecast Component,0.001,30,57,57,1.0
Forecast Component,0.001,30,57,57,1.0
Forecast Component,0.001,30,58,58,1.0
Forecast Component,0.001,30,58,58,1.0
Forecast Component,0.002,30,59,59,2.0
Forecast Component,0.002,30,59,59,2.0
Forecast Component,0.002,30,59,59,2.0
Forecast Component,0.002,30,59,59,2.0
Forecast Component,0.002,30,60,60,2.0
Forecast Component,0.002,30,60,60,2.0
Forecast Component,0.002,30,60,60,2.0
Forecast Component,0.002,30,60,60,2.0
Forecast Component,0.002,30,62,62,2.0
Forecast Component,0.002,30,62,62,2.0
Forecast Component,0.002,30,62,62,2.0
Forecast Component,0.001,30,819,819,1.0
Forecast Component,0.002,30,831,831,2.0
Forecast Component,0.001,30,111,111,1.0
Forecast Component,0.001,30,111,111,1.0
Forecast Component,0.001,30,111,111,1.0
Forecast Component,0.001,30,97,97,1.0
Forecast Component,0.003,30,825,825,3.0
Forecast Component,0.003,30,825,825,3.0
Forecast Component,0.001,30,68,68,1.0
Forecast Component,0.001,30,68,68,1.0
Forecast Component,0.001,30,68,68,1.0
Forecast Component,0.001,30,64,64,1.0
Forecast Component,0.001,30,64,64,1.0
Forecast Component,0.003,30,799,799,3.0
Forecast Component,0.001,30,51,51,1.0
Forecast Component,0.001,30,51,51,1.0
Forecast Component,0.001,30,51,51,1.0
Forecast Component,0.002,30,52,52,1.0
Forecast Component,0.002,30,52,52,1.0
Forecast Component,0.002,30,52,52,1.0
Forecast Component,0.002,30,52,52,1.0
Forecast Component,0.002,30,53,53,1.0
Forecast Component,0.002,30,53,53,1.0
Forecast Component,0.001,30,54,54,1.0
Forecast Component,0.001,30,54,54,1.0
Forecast Component,0.001,30,54,54,1.0
Forecast Component,0.001,30,54,54,1.0
Forecast Component,0.002,30,55,55,2.0
Raw Material,0.0,360,769,769,0.0
Raw Material,0.0,121,4170,4170,0.0
Raw Material,0.0,360,708,708,0.0
Raw Material,0.0,360,3797,3797,0.0
Raw Material,0.0,360,767,767,0.0
Raw Material,0.0,31,757,757,0.0
Raw Material,0.0,44,784,784,0.0
Raw Material,0.0,360,3768,3768,0.0
Raw Material,0.0,360,3668,3668,0.0
Order Only,0.0,30,4073,4073,0.0
Order Only,0.0,30,3939,3939,0.0
Order Only,0.001,30,4059,4059,1.0
Order Only,0.0,30,3941,3941,0.0
Order Only,0.0,30,4061,4061,0.0
Order Only,0.001,30,4063,4063,1.0
Order Only,0.0,30,4065,4065,0.0
Order Only,0.0,30,141,141,0.0
Order Only,0.0,30,143,143,0.0
Order Only,0.0,30,3944,3944,0.0
Type4 Component,0.0,30,103,103,0.0
Order Only,0.003,30,587,587,3.0
Normal,0.0,30,258,258,0.0
Normal,0.0,30,185,185,0.0
Normal,0.003,30,187,187,3.0
Normal,0.0,30,189,189,0.0
Order Only,0.0,30,191,191,0.0
Normal,0.001,30,4025,4025,1.0
Normal,0.001,30,4027,4027,1.0
Order Only,0.0,30,113,113,0.0
Order Only,0.001,30,4029,4029,1.0
Order Only,0.0,30,4077,4077,0.0
Type4 Component,0.001,30,201,201,1.0
Order Only,0.0,30,208,208,0.0
Order Only,0.0,30,210,210,0.0
Order Only,0.0,30,212,212,0.0
Order Only,0.0,30,214,214,0.0
Normal,0.001,30,4033,4033,1.0
Normal,0.001,30,4031,4031,1.0
Normal,0.001,30,4035,4035,1.0
Order Only,0.0,30,126,126,0.0
Order Only,0.0,30,4038,4038,0.0
Normal,0.0,30,743,743,0.0
Order Only,0.0,30,170,170,0.0
Order Only,0.0,30,172,172,0.0
Order Only,0.0,30,174,174,0.0
Order Only,0.002,30,216,216,2.0
Order Only,0.0,30,183,183,0.0
Order Only,0.0,30,153,153,0.0
Normal,0.0,30,237,237,0.0
Normal,0.002,30,239,239,2.0
Order Only,0.002,30,715,715,2.0
Order Only,0.002,30,619,619,2.0
Normal,0.0,30,231,231,0.0
Normal,0.002,30,128,128,2.0
Type4 Component,0.003,30,578,578,3.0
Type4 Component,0.003,30,578,578,3.0
Type4 Component,0.003,30,578,578,3.0
Order Only,0.005,30,198,198,5.0
Normal,0.0,30,725,725,0.0
Normal,0.0,30,727,727,0.0
Order Only,0.0,30,286,286,0.0
Normal,0.0,30,290,290,0.0
Type4 Component,0.0,30,294,294,0.0
Normal,0.0,30,296,296,0.0
Order Only,0.0,30,4084,4084,0.0
Order Only,0.0,30,260,260,0.0
Normal,0.0,30,266,266,0.0
Normal,0.001,30,790,790,1.0
Order Only,0.0,30,226,226,0.0
Normal,0.002,30,250,250,2.0
Normal,0.0,30,245,245,0.0
Order Only,0.0,30,4041,4041,0.0
Normal,0.0,30,130,130,0.0
Normal,0.0,30,132,132,0.0
Order Only,0.0,30,233,233,0.0
Order Only,0.0,30,235,235,0.0
Order Only,0.0,30,151,151,0.0
Order Only,0.0,30,136,136,0.0
Order Only,0.001,30,4043,4043,1.0
Normal,0.001,30,4045,4045,1.0
Normal,0.0,30,598,598,0.0
Order Only,0.004,30,719,719,4.0
Order Only,0.001,30,4047,4047,1.0
Type4 Component,0.002,30,79,79,2.0
Order Only,0.0,30,205,205,0.0
Order Only,0.005,30,627,627,5.0
Order Only,0.0,30,262,262,0.0
Order Only,0.0,30,252,252,0.0
Normal,0.001,30,4015,4015,1.0
Order Only,0.0,30,4017,4017,0.0
Order Only,0.0,30,264,264,0.0
Order Only,0.004,30,268,268,4.0
Normal,0.001,30,4019,4019,1.0
Normal,0.001,30,4021,4021,1.0
Order Only,0.004,30,298,298,4.0
Order Only,0.004,30,298,298,4.0
Order Only,0.004,30,270,270,4.0
Order Only,0.002,30,826,826,2.0
Order Only,0.004,30,717,717,4.0
Normal,0.001,30,4023,4023,1.0
Normal,0.0,30,241,241,0.0
Normal,0.0,30,243,243,0.0
Normal,0.0,30,630,630,0.0
Order Only,0.001,30,623,623,1.0
Normal,0.002,30,139,139,2.0
Type4 Component,0.001,30,100,100,1.0
Type4 Component,0.002,30,609,609,2.0
Type4 Component,0.0,30,612,612,0.0
Type4 Component,0.002,30,615,615,2.0
Type4 Component,0.0,30,272,272,0.0
Type4 Component,0.0,30,274,274,0.0
Type4 Component,0.0,30,276,276,0.0
Order Only,0.0,30,160,160,0.0
Order Only,0.0,30,164,164,0.0
Normal,0.003,30,168,168,3.0
Normal,0.0,30,118,118,0.0
Raw Material,0.0,122,2096,2096,0.0
Raw Material,0.0,122,2096,2096,0.0
Raw Material,0.0,23,684,684,0.0
Raw Material,0.0,32,3179,3179,0.0
Raw Material,0.0,32,3179,3179,0.0
Raw Material,0.0,32,3179,3179,0.0
Order Only,0.0,30,3811,3811,0.0
Order Only,0.0,30,3727,3727,0.0
Order Only,0.0,30,3589,3589,0.0
Raw Material,0.0,153,14,14,0.0
Order Only,0.0,30,780,780,0.0
Raw Material,0.0,27,3178,3178,0.0
Raw Material,0.0,47,651,651,0.0
Raw Material,0.0,27,3170,3170,0.0
Raw Material,0.0,27,3172,3172,0.0
Raw Material,0.0,27,3172,3172,0.0
Raw Material,0.0,27,3172,3172,0.0
Raw Material,0.0,32,3300,3300,0.0
Order Only,0.0,30,3714,3714,0.0
Raw Material,0.0,22,3184,3184,0.0
Order Only,0.0,30,3470,3470,0.0
Raw Material,0.0,32,3259,3259,0.0
Raw Material,0.0,22,3180,3180,0.0
Raw Material,0.0,32,2440,2440,0.0
Raw Material,0.0,32,3182,3182,0.0
Raw Material,0.0,32,3210,3210,0.0
Raw Material,0.0,32,3210,3210,0.0
Raw Material,0.0,32,3210,3210,0.0
Raw Material,0.0,32,3294,3294,0.0
Raw Material,0.0,30,3364,3364,0.0
Raw Material,0.0,27,3174,3174,0.0
Raw Material,0.0,27,3174,3174,0.0
Raw Material,0.0,27,3174,3174,0.0
Raw Material,0.0,121,4168,4168,0.0
Raw Material,0.0,52,3212,3212,0.0
Raw Material,0.0,30,38,38,0.0
Order Only,0.0,30,3829,3829,0.0
Raw Material,0.0,37,2973,2973,0.0
Raw Material,0.0,32,3217,3217,0.0
Order Only,0.0,30,750,750,0.0
Raw Material,0.0,37,2407,2407,0.0
Raw Material,0.0,37,2407,2407,0.0
Raw Material,0.0,22,3183,3183,0.0
Raw Material,0.0,22,3183,3183,0.0
Raw Material,0.0,22,3183,3183,0.0
Raw Material,0.0,23,3288,3288,0.0
Raw Material,0.0,32,3256,3256,0.0
Raw Material,0.0,32,3256,3256,0.0
Raw Material,0.0,92,17,17,0.0
Order Only,0.0,30,3743,3743,0.0
Raw Material,0.0,23,37,37,0.0
Order Only,0.0,30,3784,3784,0.0
Raw Material,0.0,58,669,669,0.0
Raw Material,0.0,27,3171,3171,0.0
Raw Material,0.0,27,3171,3171,0.0
Raw Material,0.0,27,3171,3171,0.0
Raw Material,0.0,23,3278,3278,0.0
Order Only,0.0,30,3710,3710,0.0
Raw Material,0.0,51,689,689,0.0
Order Only,0.0,30,771,771,0.0
Raw Material,0.0,32,3265,3265,0.0
Raw Material,0.0,32,3265,3265,0.0
Raw Material,0.0,32,3265,3265,0.0
Raw Material,0.0,32,3209,3209,0.0
Raw Material,0.0,37,2408,2408,0.0
Raw Material,0.0,32,3176,3176,0.0
Raw Material,0.0,22,3181,3181,0.0
Raw Material,0.0,32,3269,3269,0.0
Raw Material,0.0,32,3290,3290,0.0
Raw Material,0.0,32,3290,3290,0.0
Raw Material,0.0,32,3216,3216,0.0
Raw Material,0.0,32,3254,3254,0.0
Raw Material,0.0,32,3226,3226,0.0
Raw Material,0.0,52,667,667,0.0
Raw Material,0.0,58,699,699,0.0
Raw Material,0.0,32,3990,3990,0.0
Order Only,0.001,30,4072,4072,1.0
Raw Material,0.0,32,3257,3257,0.0
Raw Material,0.0,32,3257,3257,0.0
Raw Material,0.0,32,3257,3257,0.0
Raw Material,0.0,32,3301,3301,0.0
Order Only,0.0,30,3669,3669,0.0
Raw Material,0.0,61,668,668,0.0
Raw Material,0.0,51,641,641,0.0
Raw Material,0.0,51,641,641,0.0
Raw Material,0.0,92,644,644,0.0
Raw Material,0.0,32,2949,2949,0.0
Raw Material,0.0,122,3550,3550,0.0
Raw Material,0.0,122,3550,3550,0.0
Raw Material,0.0,58,2497,2497,0.0
Raw Material,0.0,58,2497,2497,0.0
Raw Material,0.0,58,2497,2497,0.0
Raw Material,0.0,58,2497,2497,0.0
