plant,item_code
69,125
69,468
70,624
70,626
72,249
72,207
70,449
72,173
72,109
18,163
69,606
72,234
18,184
72,269
18,188
69,200
72,169
14,117
69,611
210,4030
211,4073
211,4080
62,4029
10,77
210,4032
62,4028
210,4034
210,4033
61,4014
62,4036
246,639
62,4022
62,4024
211,4062
62,4044
18,190
69,460
18,186
18,127
72,96
72,39
69,610
72,259
72,122
14,137
69,194
138,57
69,620
72,40
72,91
56,52
72,213
72,265
69,156
70,594
69,472
69,608
14,121
69,614
72,238
72,171
72,167
70,3336
261,106
168,106
72,94
72,230
69,603
69,459
70,596
72,242
72,93
181,144
62,4025
62,4040
62,4045
62,4066
62,4018
62,4056
62,4026
18,78
246,636
263,4042
18,74
61,3979
246,638
62,4077
211,4072
263,4083
211,4063
62,4047
62,4019
51,571
61,4015
211,4064
62,4038
61,3916
18,79
211,4065
62,4027
211,4061
18,75
18,6
62,4021
263,4084
62,4046
18,68
62,4081
210,4031
61,3917
62,4058
62,4037
210,4039
62,4076
18,69
211,4060
62,4020
210,4035
62,4054
62,4023
15,80
62,4041
263,4043
62,4059
61,3974
68,135
68,152
68,142
68,140
68,820
68,725
68,727
68,790
68,743
231,826
68,192
231,154
231,155
61,3949
61,4016
235,809
235,799
243,717
243,719
243,715
72,321
72,322
69,598
69,297
68,301
72,289
72,308
68,225
72,232
69,201
18,191
61,3926
61,3924
235,810
235,800
68,831
72,585
72,290
61,3913
72,629
70,446
69,126
70,627
72,208
72,250
61,3946
69,609
72,270
18,185
69,615
72,266
18,164
72,235
18,189
72,170
69,612
14,118
72,174
18,187
18,128
72,273
70,454
72,45
69,195
72,211
72,271
69,613
72,92
70,197
245,634
18,129
72,102
261,81
14,138
18,138
69,298
243,718
243,716
72,263
72,256
243,714
72,241
68,141
68,143
72,183
72,296
68,136
68,153
72,294
72,210
72,276
72,216
72,286
72,237
72,245
14,139
18,139
72,103
72,233
72,630
18,130
70,198
72,623
72,264
72,272
72,212
72,274
72,260
72,214
61,3947
72,239
72,172
61,3962
72,231
72,168
72,243
68,226
69,619
72,268
18,160
70,578
61,4017
72,587
18,132
72,252
72,258
168,101
72,48
14,177
70,577
72,583
56,53
70,448
72,236
14,193
18,159
72,279
70,455
70,202
72,586
11,581
69,462
72,579
72,580
72,46
72,253
72,267
72,90
69,618
56,61
72,257
72,95
72,251
18,131
72,277
72,293
72,240
138,54
56,54
68,3963
72,209
72,275
68,825
72,295
70,467
56,55
72,182
69,463
72,622
72,246
46,97
181,97
68,616
69,453
69,600
69,599
69,597
72,244
72,86
72,215
72,285
56,63
72,254
68,724
68,726
68,789
70,575
68,742
68,819
72,283
56,60
138,60
138,51
56,51
56,62
138,62
56,59
138,59
14,206
72,206
138,58
56,58
11,582
72,582
46,98
181,98
138,64
56,64
14,100
72,100
14,99
72,99
181,111
46,111
18,229
14,229
60,3912
210,3912
60,3906
210,3906
61,3970
153,3970
60,3902
210,3902
60,3980
210,3980
61,3957
210,3957
150,3948
153,3948
60,3904
61,3904
60,3910
210,3910
60,3900
210,3900
153,3934
61,3934
210,3934
60,3934
61,3927
60,3927
61,3922
60,3922
150,3952
60,3952
210,3952
61,3915
210,3915
72,262
79,262
210,3940
61,3940
61,3938
210,3938
150,3909
61,3909
72,261
79,261
235,791
231,791
79,145
72,145
210,3939
61,3939
61,3941
210,3941
61,3944
210,3944
61,3964
210,3964
61,3905
150,3905
61,3967
210,3967
61,3943
210,3943
210,3968
61,3968
61,558
68,558
61,3965
210,3965
61,3925
150,3925
61,3920
150,3920
153,3954
61,3954
61,3937
210,3937
60,3937
61,3950
210,3950
60,3950
61,3932
210,3932
60,3932
61,3960
210,3960
60,3960
61,3953
210,3953
60,3953
61,3955
210,3955
60,3955
61,3935
210,3935
60,3935
80,110
46,110
181,110
261,110
150,3921
210,3921
60,3921
61,561
150,561
68,561
68,555
150,555
61,555
61,557
68,557
150,557
68,573
61,573
62,573
61,574
68,574
62,574
60,42
210,42
68,42
60,3933
210,3933
61,3933
18,112
68,112
72,112
211,205
210,205
68,205
79,157
72,157
68,157
246,635
245,635
192,635
210,204
211,204
68,204
18,113
72,113
68,113
79,151
72,151
68,151
14,151
79,158
14,158
68,158
72,158
14,150
68,150
72,150
79,150
210,44
68,44
69,44
60,44
14,3285
68,3285
18,3285
15,3285
68,114
14,114
79,114
72,114
18,114
15,114
72,116
68,116
15,116
14,116
11,116
10,116
9,116
79,116
18,116
69,468
72,521
133,486
72,530
72,512
70,449
72,457
72,234
168,477
72,495
72,534
11,510
11,545
133,567
72,490
72,568
72,553
168,535
69,460
72,473
18,127
72,481
72,451
72,529
72,485
72,259
72,480
11,547
72,559
72,456
72,482
72,501
4,536
72,496
133,500
69,472
72,516
133,520
72,507
4,556
72,464
69,459
11,546
231,471
231,469
133,517
72,554
70,446
72,491
72,513
70,454
72,489
4,540
133,564
72,564
72,499
168,478
69,298
4,543
4,505
72,570
11,550
133,518
133,565
72,565
4,506
72,465
70,578
70,578
72,527
46,487
70,577
70,577
72,532
72,474
72,479
70,448
70,455
71,475
69,462
11,514
72,569
133,493
4,541
133,525
70,467
133,450
181,544
72,483
69,463
72,531
11,549
69,453
72,494
72,508
4,492
70,511
69,560
70,575
70,575
46,537
4,497
72,498
46,551
80,551
133,504
4,504
133,524
72,524
133,523
72,523
